title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Pizza vegetariana casera,"Las pizzas vegetarianas se pueden hacer mezclando cualquier tipo de vegetales, es díficil caer en una combinación que no quede bien. En todo caso, lo que queremos con esta receta fácil de pizza casera, es enseñarte una combinación colorida que tiene como ingrediente estrella una mezcla de espinacas y queso.Sigue leyendo en RecetasGratis y disfruta con esta exquisita pizza vegetariana casera a la que hemos añadido tomates frescos, calabacín y cebolla. Estamos seguros que te encantará.","['1\nCuando tengas todos los ingredientes medidos, empieza por estirar la masa de pizza y colocarla en la bandeja para hornear. Procura que la masa cubra todo la superficie y has un dobles en los bordes.Si quieres hacer la masa de forma casera, aquí tienes varias recetas que te pueden servir:Masa de pizza sin levaduraMasa de pizza sin glutenMasa fina para pizzas', '2\nEsparce la salsa de tomate para pizza sobre la base ayudándote con una cuchara para repartirla de forma uniforme. Luego añade un poco de orégano seco y unas cuantas tiras finas de cebolla.', '3\nA continuación, vamos a preparar un sofrito de espinacas. Para ello, lava muy bien las hojas de espinacas y ponlas en una sartén con una gota de aceite, empieza a cocinar y pasados un par de minutos añade el queso mozzarella y mezcla todo junto.', '4\nColoca esta mezcla sobre la base con salsa y termina añadiendo unas rodajas de tomate fresco y de calabacín. Para terminar puedes añadir un poco de queso parmesano por encima, pero este último ingrediente es opcional.', '5\nCocinar en el horno a 190º C. durante unos 10-12 minutos, comprobando que el queso se haya fundido y los bordes de la masa se vean ligeramente dorados.Si has hecho esta pizza casera con masa precocida, comprueba los tiempos de cocción recomendados por el fabricante.', '6\nEsta pizza vegetariana casera es perfecta para disfrutar a la hora de la cena y mi recomendación es que le añadas un toque de aceite picante justo antes de servir. ¡Buen provecho!']","Valoración: 3,6 (26 votos)",2 comensales,15m,Cena,Dificultad baja,,['Recetas al horno'],"['1 lámina de Base para pizza', '1 trozo de Pimiento rojo', '1 unidad de Calabacín', '1 Tomate', '100 gramos de Mozarella', '1 taza de Salsa de tomate', '1 manojo de Espinacas', '1 trozo de Cebolla', '1 pizca de Orégano', '1 chorro de Aceite']",https://www.recetasgratis.net/receta-de-pizza-vegetariana-casera-12425.html
Tallarines al fungi,,"['1\nPicamos la cebolla y el ajo en brounoisse (en cuadraditos pequeños) y los salteamos en una sartén.', '2\nUna vez pochada la verdura, añadimos la seta cortada en brounoisse o en tiras.', '3\nCuando hayamos salteado la seta, añadimos la nata y la sal dejando que espese la salsa.', '4\nPor otro lado ponemos una cazuela con agua a hervir.', '5\nCuando el agua empieza a hervir echamos la sal (una cucharada y media) y la pasta.', '6\nSeguimos las instrucciones que indica el paquete para el tiempo de cocción.', '7\nUna vez cocida la pasta, la escurrimos y vertemos en una fuente.', '8\nVertemos la salsa con las setas por encima y mezclamos bien pero con cuidado.', '9\nSe puede espolvorear todo con un poco de orégano.', '10\nServimos al instante, caliente y acompañado con un poco de queso parmesano rayado en una taza aparte.']","Valoración: 3,3 (22 votos)",,,,,,,"['250 gramos de tallarines', '400 gramos de setas tipo fungi', '1 cebolla', '2 dientes de ajos', '½ litro de nata', 'Sal']",https://www.recetasgratis.net/receta-de-tallarines-al-fungi-12387.html
Pastas (elaboracion artesanal),,"['1\nSi se desea hacer tallarines de espinaca, hervirlas primero, escurrirlas bien y picarlas muy finamente antes de incorporarlas a la masa.', '2\nSi quiere hacerlo con pimientos, atilizar pimientos de lata, tambien bien molidos.', '3\nPara hacer pasta negra, agregar a la masa tinta de sepia o de calamar previamente diluida en agua.', '4\nIntegrar la harina con los huevos y la sal, unir y amasar hasta lograr una masa suave.', '5\nDejar descansar 30 minutos y luego estirarla con palote o con la maquina para elaborar pastas.', '6\nSi posee maquina, con ella cortar tallarines o tagliatelle utilizando las medidas de la maquina.', '7\nSi no posee maquina, una vez estirada, espolvorear con harina, enrollar y cortar rebanadas del ancho que se prefiera con un cuchillo de buen filo.', '8\nDespues desenrollar cada tajada.', '9\nSe debe colgar la pasta en una varilla de madera para que se oree, si es que se va a consumir fresca o para que se seque si se decide guardarla.']","Valoración: 3,5 (24 votos)",,,,,,,"['Para la masa', 'Harina', 'Huevos', 'Sal', 'Para cada 100 gramos de harina', 'Un huevo', 'Una cucharadita de sal, tamaño cafe, al ras']",https://www.recetasgratis.net/receta-de-pastas-elaboracion-artesanal-12182.html
Tallarines a la scarparo.,,"['1\nEn un recipiente coloque la harina, los huevos, una cucharada de aceite y sal.', '2\nMezcle todo, una vez unido vuelque sobre una mesada y amase.', '3\nGolpee la masa sobre la mesada y siga amasando hasta lograr una masa sueve y elastica.', '4\nLogrado esto corte el bollo en cuatro porciones formando cuatro bollos mas chicos, tape con un lienzo y deje descansar una hora.', '5\nLuego tome cada bollo y con un palo de amasar estirelos hasta lograr un espesor de 1,5 o 2 milimetros.', '6\nEspolvoree con algo de harina, erollelos y con un cuchillo filoso cortelos en tajadas anchas (cintitas) o mas angostas (tagliatelli).', '7\nHecho esto tome cada tajada y levantela como si fueran serpentinas, acomodelos sueltos sobre una tabla enharinada para que se oreen hasta el momento de la coccion.', '8\nPara cocinarlos, hagalo en abundante agua con salcuando esta rompa el hervor.', '9\nComo son frescos, se cocinan en unos instantes.', '10\nSALSA: En un mortero coloque los dientes de ajo picados, la albahaca y la mantequilla y triture todo hasta obtener una pasta, luego agregue tres cucharadas de provolone rallado y reserve.', '11\nEn una carerola vierta un fondo de aceite y agregue la cebolla picada.', '12\nDeje cocinar hasta que transparente.', '13\nIncorpore la hoja de laurel y los tomates de lata picados y con su liquido.', '14\nPor ultimo incorpore el vino blanco y deje cocinar a fuego suave, revolviendo de tanto en tanto hasta que espese.', '15\nCuando haya espesado, incorpore la pasta reservada y sazone con sal y pimienta recien molida a gusto.', '16\nEn esta salsa caliente, coloque los fideos ya cocidos, mezcle y sirva.']","Valoración: 3,6 (28 votos)",,,,,,,"['250 gramos de harina.', '3 huevos grandes.', 'una cucharadita tamaño te Sal', 'una cucharada Aceite', '8 dientes de ajo pelados.', '4 cucharadas de albahaca picada.', '2 cucharadas de mantequilla blanda.', '3 cucharadas de provolone rallado.', 'Sal', 'pimienta, a gusto.', '6 cucharadas de aceite de oliva.', 'Media cebolla rallada o picada muy fina.', '2 latas de tomate al natural.', 'Una hoja de laurel.', 'Un tercio de vaso de vino blanco seco.']",https://www.recetasgratis.net/receta-de-tallarines-a-la-scarparo-12152.html
Fideuá con salchichas,,"['1\nEn una cazuela, dorar con aceite la costilla de cerdo y las salchichas, retirar y reservar.', '2\nEn la misma cazuela, sofreir la cebolla y el ajo, picados bien finos.', '3\nAñadir las dos cucharadas de tomate (puede ser tomate frito), las salchichas y las costillas de cerdo reservadas.', '4\nRehogar todo junto durante unos minutos.', '5\nIncorporar la fideuá y cubrirlos con caldo, salpimentar.', '6\nDejar cocer el guiso hasta que la fideuá esté en su punto (por lo general de 10 a 15 min.) eso depende de la marca.', '7\nBueno una vez que compruebe que la pasta esta cocida, se espolvorea con perejil picadito y se sirve caliente.']","Valoración: 3,3 (21 votos)",,,,,,,"['400 grs. de fideüa', '200 grs. de costillas de cerdo troceada', '200 grs. de salchichas frescas', '1 cebolla mediana', '1 diente de ajo', '2 cdas. de tomate triturado', '2 cdas. de aceite de oliva', 'perejil', 'caldo de ave', 'sal y pimienta al gusto']",https://www.recetasgratis.net/receta-de-fideua-con-salchichas-12134.html
Ravioles con salsa de pimientos,,"['1\nCalienta la mantequilla y sofríe la harina hasta que tome un color ligeramente dorado.', '2\nAparte licua la leche evaporada, los pimientos, el agua y el cubito de consome.', '3\nAgrégalo a la harina y cocina hasta que espese un poco moviéndolo constantemente para evitar que se formen grumos. Incorpora los ravioles y sirve caliente espolvoreando el queso Parmesano .', '4\nDecora con jitomates cherry.', '5\nConsejo: Cuece los ravioles con anticipación y manténlos calientes a Baño María hasta el momento de servirlos.']",,,,,,,,"['2 cucharadas de mantequilla', '1 1/2 cucharadas de harina de trigo', '1 lata de leche evaporada', '2 pimientos morrones de lata', '2 tazas de agua (480 ml)', '1 cubo de consome de pollo', '2 paquetes de ravioles, cocidos (500 g) (puede sustituirse por Cualquier pasta al gusto, cocida al dente)', '2 cucharadas de perejil, picado', '1 sobre de queso Parmesano (40 g)', 'Jitomates cherry para decorar (opcional)']",https://www.recetasgratis.net/receta-de-ravioles-con-salsa-de-pimientos-12075.html
Fideos secos a la mexicana,,"['1\nCalentar aceite en una olla y freír los fideos hasta que tomen un color dorado y parejo, cuidando de que no se quemen.', '2\nPoner los fideos a escurrir el exceso de grasa en un plato con papel absorbente y reservar.', '3\nEn el aceite sobrante, que no debe ser mucho, vaciar el puré de tomate y sazonarlo por unos minutos. Añadir el consomé en polvo, la pimienta al gusto y las dos tazas de agua. Dejar que la salsa hierva.', '4\nCuando esto suceda, añadir los fideos y cuando vuelva a hervir, bajar la flama a lo mas bajito y tapar la olla.', '5\nProbar la sazón de los fideos mexicanos y añadir un poco de sal si hace falta.', '6\nRevisar de vez en cuando que aún tengan agua, pero al igual que el arroz, no debe revolverse para que no se bata. Dejar en cocción hasta que queden secos.', '7\nServir los fideos secos mexicanos inmediatamente y añadir una cucharada de crema y esparcir queso en cuadros o rallado al gusto.']","Valoración: 3,8 (30 votos)",3 comensales,15m,Plato principal,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas mexicanas']","['250 gramos de Fideos', '1 lata de Puré de tomate concentrado', '1 cucharada postre de Consomé de pollo en polvo', '2 tazas de Agua (480 mililitros)', '1 pizca de Pimienta negra', 'Crema', 'Queso']",https://www.recetasgratis.net/receta-de-fideos-secos-a-la-mexicana-12073.html
Canelones rellenos de espinacas,,"['1\nCocemos las placas de canelones en agua hirviendo con sal.', '2\nUna vez cocidas las untamos con un poco de aceite de oliva para que no se peguen entre ellas.', '3\nA continuación preparamos el relleno, lavando las espinacas, las hervimos, la escurrimos y las picamos.', '4\nMezclamos las espinacas con el huevo batido, el ajo, el queso parmesano picado y la sal.', '5\nRellenamos con esta mezcla los canelones.', '6\nPrecalentamos el horno a 180º.', '7\nEn una placa de horno salseamos la base con un poco de salsa bechamel, colocamos los canelones, salseamos con tomate, luego el resto de bechamel y terminamos con el queso mozzarella.', '8\nIntroducir al horno hasta que esté gratinada.']","Valoración: 3,4 (22 votos)",,,,,,,"['150 grs. de pasta para canelones', '2 dl de salsa bechamel', '2 dl de salsa tomate', '400 grs. de mozzarella', '1 dl de aceite de oliva', 'Sal al gusto', '300 grs. de Espinacas', '2 huevos batidos', '2 dientes de ajo picados', '100 grs. de queso parmesano']",https://www.recetasgratis.net/receta-de-canelones-rellenos-de-espinacas-11728.html
Pizza tropical,,"['1\nLimpiar y trocear las verduras, los champiñones, y la piña en trozos regulares e iguales. Cubre la base de la pizza con la salsa de tomate. Coloca las verduras, piña y champiñones de forma simétrica por la pizza.', '2\nEspolvorea con el queso parmesano, y si se quiere con el orégano o la albahaca. Hornea a una temperatura de 200ºdurante unos 25 a 30 minutos. Sirve a tu gusto inmediatamente.']","Valoración: 3,8 (32 votos)",,,,,,,"['1 base de pizza grande', '150 grs. de salsa de tomate', '50 grs. de pimiento verde', '50 grs. de pimiento rojo', '100 grs. de champiñones', '50 grs. de tomate natural', '50 grs. de piña natural (de bote si desea)', '150 grs. de queso parmesano rallado', 'Orégano al gusto, o de albahaca']",https://www.recetasgratis.net/receta-de-pizza-tropical-11726.html
Lasaña de carne tradicional,"Si piensas que hacer una lasaña casera es complicado será porque aún no has visto esta estupenda receta de lasaña de carne paso a paso que te enseñamos en RecetasGratis. Apunta bien todos los ingredientes y cocina con nosotros un plato que a todo el mundo le gusta. Usaremos láminas de pasta, que pueden ser precocidas si prefieres, tomate frito, bechamel y por supuesto, carne y mucho queso. Además, también te recomendamos unas cuantas recetas extras por su quieres hacer las salsas de forma casera. En todo caso, te aseguramos que tendrás lista una lasaña de carne tradicional en menos tiempo del que crees y sin muchas complicaciones. ¡A cocinar!","['1\nCalienta el agua con sal y cuando hierva, incorpora una por una las láminas de lasaña. Luego sácalas, pásalas por el agua fría y déjalas escurrir.Recuerda que para hacer esta lasaña de carne puedes usar laminas de pasta precodidas y evitar este paso que puede resultar un poco engorroso.', '2\nPor otro lado, vamos calentando la bechamel. También aprovechamos y doramos la carne en una sartén junto con el tomate frito. Sazonamos al gusto con orégano, albahaca, sal y pimienta y mantenemos la cocción a fuego bajo durante 10 minutos.Aunque estamos haciendo una receta fácil y rápida, si te animas puedes hacer tu propia salsa blanca siguiendo la receta de salsa bechamel para lasaña y no usar tomate frito, sino hacer una salsa de tomate casera, especial para lasaña.', '3\nAhora nos tocar armar la lasaña. Para ello, ubicamos una fuente refractaria y empezamos colocando una capa de pasta, luego una carne con salsa y rociamos por encima con una buena capa de salsa bechamel.Repetimos esta operación hasta terminar con todos los ingredientes y dejando siempre de último una capa de salsa bechamel.', '4\nPara terminar nuestra estupenda lasaña de carne fácil, colocamos capa generosa de queso por encima junto con unos trocitos de mantequilla.Cocinamos en el horno precalentado a 200ºC durante unos 15 minutos o hasta que comprobemos que el queso ya está gratinado.', '5\nSabemos que se ve irresistible, pero deja que la lasaña de carne tradicional repose unos minutos antes de servir para que no se desmorone. Acompaña con un poco de pan, ensalada César y buen provecho, disfruta de este maravilloso plato de lasaña.Esperamos disfrutes con esta receta fácil y si la preparas, no olvides tomarle una foto al plato y compartirla.']",Valoración: 4 (426 votos),6 comensales,30m,Plato principal,Dificultad baja,,['Recetas al horno'],"['1 paquete de Láminas de lasaña', '¾ litro de Bechamel', '400 gramos de Carne picada', '250 gramos de Tomate frito', '50 gramos de Queso rallado', '1 pizca de Orégano', '1 puñado de Albahaca', '1 pizca de Sal', '1 pizca de Pimienta', 'Mantequilla']",https://www.recetasgratis.net/receta-de-lasana-de-carne-tradicional-11578.html
