title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Lasañas de carne con salsa mixta,,"['1\nEn una sartén bien grande y profunda, colocar el aceite de oliva y la manteca, cuando estén calientes rehogar la cebolla, el puerro, el pimiento condimentar con sal y pimienta, añadir la carne picada trabajándola con tenedor y cuchara de madera para ir deshaciéndola, dejar que la carne se cocine a medida que la vamos revolviendo para que no se apelmace y se hagan pelotas grandes de carne, es importante este paso porque la carne debe quedar bien separada, cuando la carne esta bien cocida que ya ha largado su jugo, condimentar con la sal, el pimentón y el comino, tapar y dejar a fuego bajo.Agregar el tomate, el caldo y el laurel, y dejar reducir rectificar el condimento de ser necesario. En una olla grande poner a hervir abundante agua salada cuando rompe el hervor echar la pasta, cuando este cocida colar.En una fuente colocar un poco de salsa blanca en el piso, sobre esta la pasta, luego una capa del relleno de carne, otra capa de masa, otra de relleno, una última capa de masa y rociar con mas salsa blanca y tuco.Espolvorear con abundante queso rallado y llevar al horno precalentado a 200° durante 10 minutos']","Valoración: 3,6 (9 votos)","['18 masas de crepe', '1 cebolla picada', '500g de carne picada de primera', '100cc de aceite de oliva', '25g de manteca', '1 cucharada de pimentón extra dulce', '½ cucharita de comino', '1 pimiento rojo, sin semillas ni nervaduras picado', '1 cucharita de ají molido', '1 blanco de puerro bien picado', '2 hojas de laurel', '250g de puré de tomates', '150cc de caldo(optativo si se desea hacer una salsa más suave)', '250g de queso parmesano rallado grueso', 'Sal gruesa, sal y pimienta', '500cc de salsa blanca (ver salsas)', '500cc de salsa de tomates (ver salsas)']",https://www.recetasgratis.net/receta-de-lasanas-de-carne-con-salsa-mixta-7119.html,,,,,,
Fusilli a la pumarola con chorizos,,"['1\nEn una cacerola poner a hervir abundante agua salada.', '2\nPinchar los chorizos y ponerlos en un recipiente con agua hirviendo, 5 minutos, para desgrasarlos.', '3\nColocar los chorizos sobre papel absorbente y reservar.', '4\nColocar en una cazuela, el aceite y dorar las cebollas, los morrones y el ajo.', '5\nAgregar el vino y dejar evaporar el alcohol, luego incorporar el tomate, el caldo, el laurel, el pimentón, el orégano, los chorizos y salpimentar.', '6\nCocinar entre 15 y 20 minutos hasta que salsa reduzca.', '7\nRetirar los chorizos de la cazuela y con cuidado para no quemarse retirarles la piel, cortarlos en rodajas y volver a la cazuela, ( si la salsa se espesa mucho agregar un poco más de caldo), revolver y poner el fuego a mínimo tapado.', '8\nCocinar los fusilli, y un minuto antes que estén listos colar y volcar en la cazuela, cocinar un minuto más y servir.']","Valoración: 3,3 (6 votos)","['500 g de pasta fusilli', '6 chorizos', '2 cebollas medianas cortadas en tiras', '3 morrones de distinto color, cortados en tiras', '2 dientes de ajo', '2 hojas de laurel', '50 cc de aceite', '500 g de puré de tomates', '200 cc de vino blanco', '100 cc de caldo', '1 cucharada de orégano', '1 cucharada de pimentón extra dulce', 'Sal', 'pimienta a gusto']",https://www.recetasgratis.net/receta-de-fusilli-a-la-pumarola-con-chorizos-7118.html,,,,,,
Canelones gratinados en salsa de tomates,,"['1\nEn un recipiente mezclar el tomate, la mozarella, la albahaca, el aceite de oliva, sal y pimienta a gusto.', '2\nRellenar las crepes con el preparado poniendo 11/2 cucharada en una punta y enrollar para formar el canelón.', '3\nEn una fuente colocar un poco de crema de leche, unos trocitos de manteca y pimienta negra de molinillo y luego acomodar los canelones uno al lado del otro con la abertura hacia abajo.', '4\nBañar por encima con el resto de la crema condimentar con pimienta negra de molinillo espolvorear con abundante queso parmesano rallado y gratinar al horno.']","Valoración: 3,6 (9 votos)","['12 crepes con rúcula (vea receta básica en', 'en panadería y repostería)', '3 tomates pelados, sin semillas cubeteados', '300 de queso mozzarella rallado grueso', '1 cucharada de albahaca fresca picada', '50 cc de aceite de oliva', 'Sal y pimienta a gusto']",https://www.recetasgratis.net/receta-de-canelones-gratinados-en-salsa-de-tomates-7091.html,,,,,,
Canelones de pollo y verdura,,"['1\nEn una cacerola con abundante agua salada y la cucharada de curry, poner a hervir las pechugas de pollo con el hueso y piel.', '2\nAgregar al agua las verduras, la zanahoria, el puerro, las hojas de laurel y el apio.', '3\nPonerlo todo con el agua fría y cocinar a fuego mínimo para que el pollo quede bien tierno y saborizado unas 2 horas aproximadamente.', '4\nLuego retirar el pollo y las verduras.', '5\nQuitarale la piel al pollo y todos los huesos, y picar bien la carne de las pechugas cuidando que no quede ningún cartílago.', '6\nPicar la zanahoria hervida y el puerro.', '7\nEn una sartén con el aceite de oliva dorar la cebolla, agregar el tomate, el pimentón, la zanahoria, el puerro, la acelga y la carne del pollo, salpimentar a gusto, y agregar el caldo reservado poner a fuego mínimo y dejar reducir hasta que la preparación se note espesa y apagar el fuego.', '8\nUna vez que la preparación se haya enfriado proceder a rellenar los canelones, poniendo una hilera del relleno sobre el borde de 10cm.', '9\nAcomaodar los canelones sobre una fuente para horno aceitada y bañarlos con una salsa napolitana a la albahaca(véase salsas), espolvorear con abundante queso rallado y llevar al horno unos 10 minutos.']","Valoración: 3,7 (29 votos)","['12 tapas para canelones (véase masas básicas', 'en panadería y repostería)', '2 pechugas de pollo', '1 zanahoria pelada', '2 blancos de puerro', '1 atado de acelga, blanqueada y picada', '2 hojas de laurel', '2 ramas de apio', '1 cebolla picada', '1 cucharada de curry', '50 cc de aceite de oliva', '1 tomate pelado, sin semillas y picado', '250 g de queso parmesano rallado', 'Sal', 'Pimienta negra de molinillo']",https://www.recetasgratis.net/receta-de-canelones-de-pollo-y-verdura-7089.html,,,,,,
Pasta con hierbas,,"['1\nPrepare una salsa con el aceite de oliva en la que debe freír el ajo.', '2\nAgregue el puñado de romero y tomillo y 2 hojas de laurel, la taza de setas.', '3\nBaje el fuego y cocine bien la salsa.', '4\nAgréguele sal y pimienta al gusto y viértala sobre cualquier pasta recién cocida.', '5\nJusto antes de servirla, agréguele hojas de albahaca fresca y rállele queso parmesano por encima.']","Valoración: 4,1 (7 votos)","['1/2 kg. de pasta a su gusto.', '1/2 taza de aceite de oliva.', '2 ó 3 dientes de ajo.', 'Un puñado de romero y de tomillo.', '2 hojas de laurel.', '1 taza de hongos,setas, tipo porcini.', 'Sal', 'pimienta al gusto.', 'Hojas de albahaca.', 'Queso parmesano rallado.']",https://www.recetasgratis.net/receta-de-pasta-con-hierbas-6763.html,,,,,,
Souflé de fideos con mariscos,,"['1\nLave bien los mejillones en agua fría y bote todos los que estén dañados o abiertos.', '2\nPonga los mejillones en una sartén sin agua y revuélvalos hasta que se abran.', '3\nCorte el calamar en pequeños pedazos y cocínelos al vapor en el jugo de los mejillones.', '4\nRemuévalos de la sartén.', '5\nSaque los mejillones de sus cáscaras y déjelos escurrir con los calamares en un colador.', '6\nPonga los tomates en agua hirviendo por unos minutos; pélelos y córtelos en cuartos, quitándoles las semillas.', '7\nCocine los fideos en agua salada al dente.', '8\nEscúrralos y enjuáguelos en agua fría.', '9\nCaliente la mantequilla, cocine la harina en ella por unos momentos y añádale la leche.', '10\nDéjelo que se enfríe ligeramente.', '11\nRalle el queso.', '12\nMezcle los fideos, los guisantes congelados y todos los otros ingredientes, excepto el queso.', '13\nSazónelo con sal, pimienta, nuez moscada y viértalo en un molde cubierto de mantequilla.', '14\nRocíelo con queso rallado y póngalo en el horno a 220°F (105°C) hornee hasta que el queso se dore ligeramente.', '15\nSáquelo del horno yu sírvalo con hierbas frescas picadas.']","Valoración: 3,6 (10 votos)","['800 gms. de fideos de cinta', '150 de camarones', '1 calamar de 100 gms', '400 gms. de mejillones frescos', '120 gms de guisantes congelados', '3 tomates', '2 cdas. de harina', '2 cdas. de mantequilla', '1/4 litro de leche', '2 huevos', '50 gms. de aceitunas negras', 'Sal', 'pimienta', 'Nuez Moscada', '100 gms. de queso Emmental']",https://www.recetasgratis.net/receta-de-soufle-de-fideos-con-mariscos-6760.html,,,,,,
Fideu,,"['1\nPoned a hervir un litro de agua con sal y una hoja de laurel, cuando empiece a hervir, añadirle el pescado para hacer el caldo.', '2\nEn un cazo aparte calentad agua y cuando arranque el hervor escaldad las gambas ya limpias.', '3\nRetirad las gambas y peladlas, reservad las colas y poned las cáscaras y las cabezas otra vez en el agua al fuego.', '4\nHervid durante 15 minutos más. Pasado este tiempo, trituradlas con la batidora o con un mortero, colad el caldo resultante y añadidlo al resto del caldo de pescado, dejad hervir un ratito todo junto.', '5\nUna vez hecho el caldo, reservadlo.', '6\nEn una paellera para cuatro personas sofreid un par de cebollas picadas bien finas, cuando estén doraditas añadir la sepia cortada a trocitos pequeños y la salsa de la misma, dejad cocer.', '7\nCuando esté casi hecha, añadir las gambas que habíamos reservado antes cortadas a trocitos y terminad de cocer.', '8\nCuando ya esté cocida la sepia, añadid a la paellera el cabello de ángel y tostadlo un poco.', '9\nUna vez tostado cubridlo con el caldo de pescado ¡¡cuidado!! solo cubierto para evitar que nos quede caldosa la fideuà.', '10\nDejad cocer en el fuego durante unos cinco minutos aproximadamente, o cuando ya no quede caldo visible.', '11\nTerminad la fideuà gratinándola durante otros cinco minutos y acompañándola de salsa allioli']","Valoración: 3,5 (4 votos)","['250 grs de cabello de ángel', '1 sepia mediana', '250 grs de gambas rojas', 'Pescado para caldo, cabeza de rape, espinas, cintas, cangrejos', 'Cebollas', 'Una hojita de laurel']",https://www.recetasgratis.net/receta-de-fideu-6757.html,,,,,,
Macarrones a la romana,,"['1\nHervir la pasta en agua salada y dejarla cocer hasta que esté al dente.', '2\nCortar el pollo en cuadritos y secarlos.', '3\nSalpimentar, rebozar en un poco de harina y hacer que se doren en mantequilla.', '4\nVerter el tomate y añadir el caldo; dejar reducir durante uno o dos minutos.', '5\nAgregar el zumo de naranja y el jerez y dejar cocer a fuego lento.', '6\nServir la salsa con la pasta.', '7\nAdornar con unas hojitas de perejil.']","Valoración: 4,3 (32 votos)","['400 gramos de Macarrones', '200 gramos de Pollo o ternera', '1 cucharada sopera de Jerez', '2 cucharadas soperas de Zumo de naranja', '1 taza de Caldo (pollo)', '4 unidades de Tomates triturados', '1 barra de Mantequilla', '1 pizca de Sal', '1 pizca de Pimienta blanca molida']",https://www.recetasgratis.net/receta-de-macarrones-a-la-romana-6754.html,4 comensales,30m,Plato principal,Dificultad baja,,[]
Canelones con pollo y hongos,"¿Has probado alguna vez de mezclar varios rellenos para canelones? Nosotros sí y hemos obtenido como resultado estos espectaculares canelones con pollo y horngos. Anímate a probarlos y sorprende a todos tus invitados con estos canelones con carne, ¡los dejarás con la boca abierta!","['1\nHervir los canelones siguiendo las direcciones del envase. Echar un cubito de pollo al agua. Cuando las láminas de pasta estén listas, se deben enjuagar en agua fría y escurrir bien para evitar que se peguen.', '2\nAdobar las pechugas y dorarlas en la margarina. Añadir la cebolla, salsa de tomate, tomates, chile, cilantro y el vino. Cocinar a fuego moderado.', '3\nLuego, se deben desmenuzar las pechugas y eliminar el hueso. Rellenar los canelones con la mezcla de pollo.', '4\nColocar en molde y agregar la salsa para canelones, hongos y los quesos. Hornear a 350ºF por 20 minutos.', '5\nServir los canelones de pollo y hongos calientes, acompañados de una ensalada de aguacate.']","Valoración: 4,7 (17 votos)","['1 paquete de Canelones', '1 unidad de Cubito de pollo', '3 piezas de Pechugas de pollo', '1 pizca de Condimentos', '110 gramos de Margarina', '½ taza de Salsa de tomate', '½ taza de Tomate enlatado', '1 unidad de Cebolla picada', '1 unidad de Chile', '½ taza de Vino blanco seco', '1 taza de Queso parmesano', '8 onzas de Queso mozarella', '1 tarro de Queso crema', '1 lata de Champiñones']",https://www.recetasgratis.net/receta-de-canelones-con-pollo-y-hongos-6746.html,4 comensales,30m,Plato principal,Dificultad media,,['Recetas al horno']
Lasaña de cinco quesos,,"['1\nMASA: Colocar la harina sobre la mesa formando un cerro. Con la yema de los dedos formar en la cima un pequeño cráter, y colocar los dos huevos. Mezclar e ir agregando el agua.', '2\nUna vez bien mezclado, amasar hundiendo la parte posterior de la palma de la mano sobre la masa y empujar hacia adelante, doblar en cuatro la masa y repetir la operación hasta que la masa quede homogénea.', '3\nEstirar con ayuda del rodillo, formando láminas muy delgadas, cortar con el cuchillo (o con ruedita con forma) al tamaño del molde, teniendo en cuenta que la masa crece en un 30% aproximadamente, después de sancocharla. Sancochar la pasta al huevo por 05 minutos, recordando que la pasta se sigue cocinando al momento de hornear.', '4\nSALSA BLANCA: En una Olla pequeña derretir la mantequilla, e ir agregando la harina y la leche, sin dejar de mover con el batidor de alambre. Cuando rompa el hervor, agregar sal, pimienta, nuez moscada. Si le quedaron grumos, puede licuar suavemente.', '5\nARMADO DE LASAÑA: Cubrir el fondo del molde con una capa muy delgada de salsa blanca, para evitar que se pegue la masa al molde. No eche mantequilla (menos margarina), para evitar la formación de capas de grasa.', '6\nColoque una lámina de pasta al huevo. Agregue salsa blanca, estire. Cubra con el queso Edam (tanto el queso Edam, Gouda y Egmond se cortan en rebanadas de 25 gramos cada una), mozzarella, parmesano.', '7\nColoque una lámina de pasta al huevo. Agregue salsa blanca, estire. Cubra con el queso Gouda Mailand, mozzarella, parmesano.', '8\nColoque una lámina de pasta al huevo. Agregue salsa blanca, estire. Cubra con el queso Egmont, mozzarella, parmesano. Hornee en horno caliente a 300¼F (175F) por espacio de 20 minutos.', '9\nDejar que gratine al gusto. Es recomendable chequear la lasagna pasados los 20 minutos, ya que todos los hornos no son iguales. Finalmente Servir bien caliente.']","Valoración: 4,7 (18 votos)","['250 gramos de Harina', '2 unidades de Huevo', '100 mililitros de Agua', '100 gramos de Mantequilla', '100 gramos de Harina', '850 mililitros de Agua', '110 gramos de Leche entera en polvo', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Nuez moscada', '100 gramos de Queso Edam', '100 gramos de Queso Gouda', '100 gramos de Queso Egmont', '100 gramos de Queso Mozarella', '100 gramos de Queso Parmesano']",https://www.recetasgratis.net/receta-de-lasana-de-cinco-quesos-6744.html,8 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas al horno']"
