title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
salmon en salsa de almendra,,"['1\nSalpimentar los trozos de salmón, añadir un poco de ajonjoli y estragon. Se pocha el ajo, la cebolla y el puerro, seguidamente se añaden las aalmendras y una vez pasado 5 minutos se tritura todo. Se pasa el salmòn a la planca por ambos lados para sellar y una vez la salsa ha espesado se meten los trozos de salmon y se dejan otros 5 minutos.Se pude acompañar con patatas cocidas y zanahorias.']","Valoración: 3,3 (35 votos)",,,,Dificultad alta,"['Un lomo de salmón partido en trozos, sin piel y sin espinas', 'Almendras', 'sal', 'ajonjolí', 'cebolla', 'puerro', 'ajo', 'pimienta', 'estragón']",https://www.recetasgratis.net/receta-de-salmon-en-salsa-de-almendra-41656.html,,
Mousse de atún y perejil,,"['1\nMezcla todos lo ingredientes exepto la gelatina en la licuadora y se hara una clase de crema.', '2\nLuego calienta la gelatina y unela con la mezcla batela para unirla en un bol, meter a la nevera hasta que quede esponjosa.', '3\nLuego servir y acompañar con galletitas, pan o al gusto.', '4\nEspero que les sirva...']","Valoración: 3,3 (33 votos)",,,,Dificultad baja,"['1 lata de atún grande sin aceite (Si desean mayor cantidad de sabor a Atún pueden colocar 1 lata grande y otra pequeña)', 'Un poco de perejil al gusto picado y lavado', 'Gelatina (SIN SABOR) 1 cajita o sobre o en tabletas', '3 cucharadas de mayonesa', '1 lata de crema de leche.', '1 cucharadita pequeña de sal']",https://www.recetasgratis.net/receta-de-mousse-de-atun-y-perejil-41630.html,,
lenguado a la naranja con gambas,,"['1\nSe frie el lenguado y se reserva,se corta el jamón juliana.', '2\nEn el aceite de freir el lenguado,saltear las gambas y el jamón,añadir el lenguado y seguidamente el zumo de naranja.', '3\nDejar reducir hasta que la salsa quede un poco ligada y ya está.']","Valoración: 3,3 (33 votos)",,,,Dificultad baja,"['1 lenguado de 300 gr', 'el zumo de 2 naranjas', '2 lonchas de jamón salado', 'aceite de oliva o mantequilla', 'harina para freir un poco el lenguado', '8 gambas peladas']",https://www.recetasgratis.net/receta-de-lenguado-a-la-naranja-con-gambas-41618.html,,
Truchas al vino blanco,,"['1\nLimpiar muy bien la trucha.', '2\nColocar en una olla con el vino blanco y el concentrado disuelto en el agua hervida.', '3\nAgregar el laurel, la sal y la pimienta.', '4\nAñadir las hierbas aromáticas, los nabos y las zanahorias cortadas en rodajas pequeñas.', '5\nDejar cocinar a fuego muy lento hasta que el pescado esté en su punto.', '6\nDejar enfriar en la misma olla procurando que no se recueza.', '7\nTomar la mitad de los huevos, sólo las yemas de huevo duro y machacarlas con el aceite de oliva y el perejil picado fino.', '8\nPreparar una salsa parecida a la mayonesa añadiendo aceite de oliva hilo a hilo.', '9\nBatirlas bien como si se hiciera una mayonesa.', '10\nCuando la salsa está espesa se agrega el fumet, colado, en el que se coció el pescado.', '11\nDebe quedar con una consistencia término medio.', '12\nCortar la trucha fría en cuatro porciones y colocarlas en una fuente ovalada.', '13\nAñadir la salsa por encima.', '14\nDecorar con los espárragos y las claras de los huevos finamente picadas y el resto de los huevos cortados en rodajas y pasados por el perejil picado finito.', '15\nServir.']",Valoración: 4 (7 votos),,,,,"['1 trucha de 1,5 kilos', '250 ccs de vino blanco', '1 cucharada de concentrado de caldo', '2 hojas de laurel', '1 pizca de pimienta', '1 pizca de sal', '1 ramito de hierbas aromáticas', '2 nabos', '4 zanahorias', '4 huevos duros', 'aceite de oliva', 'perejil picado fino', '300 gramos de espárragos cocidos', '400 ccs de agua']",https://www.recetasgratis.net/receta-de-truchas-al-vino-blanco-39566.html,,
Tiradito de lenguado Peruano,,"['1\nCortar el pescado en láminas y estirarlo en un plato.', '2\nMezclar el resto de los ingredientes en una olla y cubrir el pescado con esta salsa.', '3\nDejar macerar.', '4\nAcompañar con choclo (maíz) y camote (batata).']",,,,,,"['500 gramos de lenguado', '1 pizca de sal', '1 ají limo rojo', '12 limones de zumo', '1 ramito de cilantro', '6 ajies amarillos en puré', '1 ají limo amarillo']",https://www.recetasgratis.net/receta-de-tiradito-de-lenguado-peruano-39499.html,,
Tilapia azul sudada (al vapor),,"['1\nEviscerar el pescado si no lo esta, lavarlo bien y hacerle tres cortes a cada uno de sus lado. Abrir cada corte e introducirle trocitos de jengibre, ajo molido, sal y pimienta.', '2\nEn una sartén de tamaño aparente que tenga tapa, ponerle el aceite, llevarla al fuego y cuando esté caliente, agregarle la mitad de la cebolla, sobre ella, acomodar el pescado y cubrirlo con el resto de los ingredientes. Añadirle el vino y el agua, salpimentar y tapar. Dejar cocer unos 15 minutos.Servir acompañado de arroz blanco.']","Valoración: 3,3 (33 votos)",,,,,"['1 tilapia o cualquier pescado de carne blanca', '1 cebolla pequeña, picada a la pluma', '1 tomate roma, despepitado y cortado en gajos', '1 cebollin entero, cortado en trozos', '1 jengibre picadísimo, trozo', '1 diente de ajo, picadito fino', '1 ají o gui', '100 ccs de vino blanco', '100 ccs de agua', '50 ccs de aceite', '1 pizca de sal', '1 pizca de pimienta']",https://www.recetasgratis.net/receta-de-tilapia-azul-sudada-al-vapor-39494.html,,
Tapenade o caviar de aceitunas,,"['1\nSe pone en una batidora las aceitunas (sin hueso) las anchoas y el zumo del limón.', '2\nSe bate todo en la batidora hasta crear una pasta, y dejar en la nevera una hora antes de servir.', '3\nSe sirve encima de pan de molde tostado o pan normal tibio. Delicioso para entrada o aperitivo']",,,,,,"['200 gramos de aceitunas negras', '35 gramos de anchoas, en lata', '1 limón, el zumo']",https://www.recetasgratis.net/receta-de-tapenade-o-caviar-de-aceitunas-39452.html,,
Tallin de boquerones,,"['1\nSe limpian los boquerones y se les quita la espina central y la cabeza.', '2\nSe unen de dos en dos, por la parte interior.', '3\nSe colocan en una cazuela de barro en forma de estrella volviendo a hacer la estrella otras tantas veces como sea necesario hasta cubrir totalmente el fondo de la cazuela.', '4\nSe le añaden los ingredientes: el pimentón, los cominos, los ajos, el aceite y el caldito.', '5\nPor último se les pone el vinagre y se pone al fuego hasta la casi absorción de éste, si se desea, se puede decorar con un tomate maduro cortado en cuatro y con unas tiras de pimiento verde que cocerán con todo lo anterior.', '6\nSe sirven calientes.', '7\nSe llama tallin a una cazuela de barro de fondo cóncavo.']",Valoración: 5 (3 votos),,,,,"['3 cucharadas de aceite', '2 dientes de ajo', '750 gramos de boquerones', '1 caldito', '1 cucharada de cominos', '1 cucharada de pimentón dulce', '250 ccs de vinagre']",https://www.recetasgratis.net/receta-de-tallin-de-boquerones-39440.html,,
Sardinas en aceite,,"['1\nEspolvorear abundantemente con sal fina las sardinas muy frescas y se tienen t en maceración durante 30 minutos.', '2\nPasado este tiempo, se les retira las escamas, se retira la cabeza, las agallas, las aletas y se vacían por dentro.', '3\nSe vuelven a salar y se dejan otros 30 minutos.', '4\nSe secan con un paño fino y absorbente.', '5\nSe colocan en un colador que se sumerge en aceite hirviendo, durante un minuto.', '6\nSe guardan en tarritos pequeños, añadiendo unos granos de pimienta blanca y el tomillo y cubriendo con el aceite hirviendo.', '7\nSe tapa en seguida.', '8\nLa esterilización se hace durante hora y media a 100º centígrados, hay que esperar por lo menos algún tiempo antes de consumirlas, las sardinas con aceite, cuanto mas vieja, mejores están.']","Valoración: 3,3 (35 votos)",,,,,"['300 ccs de aceite de oliva', '12 granos de pimienta blanca', '120 gramos de sal', '1 kilo de sardinas pequeñas', '4 ramitos de tomillo']",https://www.recetasgratis.net/receta-de-sardinas-en-aceite-39344.html,,
Sardinas al horno rápidas,,"['1\nUna vez limpias las sardinas se disponen en una fuente de horno.', '2\nSe las rocía con el aceite y con los cominos.', '3\nSe mete la fuente a horno medio unos 15 minutos, hasta que estén en su punto.', '4\nSe sirven inmediatamente.', '5\nSe pueden acompañar con una ensalada fresca.']","Valoración: 3,3 (33 votos)",4 comensales,45m,,Dificultad media,"['1 cucharada de cominos molidos', '1 kilo de sardinas', '15 ccs de aceite oliva']",https://www.recetasgratis.net/receta-de-sardinas-al-horno-rapidas-39342.html,,[]
