title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Bonito en salsa de perdiz,,"['1\nSalsa de perdiz Se pone al fuego una cacerola con el aceite, (reservándose un poco).', '2\nSe echa la cebolla y el laurel y se deja freír lentamente hasta que esté bien pochada.', '3\nSe añade la harina y luego el vino blanco, dejándolo reducir un poco.', '4\nSe pone el caldo y después de hervir ya está la salsa terminada.', '5\nBonito Después de limpiarlo se laminan los filetes, (sólo la parte blanca, pues la parte negra y las espinas se aprovechan para hacer el caldo corto que se usa en la salsa).', '6\nSe pone al fuego una sartén con un poquito de aceite y cuando esté caliente, se ponen los filetes con sal y pimienta.', '7\nSe les da la vuelta sin que tomen color, se flambean con el coñac, se pasan a una cazuela echándole la salsa por encima y se mete, por último, en el horno durante 5 minutos.', '8\nSe sirve con unas patatas cocidas y un poco de perejil picado.']","Valoración: 3,4 (59 votos)","['sal', 'pimienta', '1 hoja laurel', '3 cebolla picadas en juliana', '100gr. harina', '250 ml. aceite de oliva virgen', '250 ml.caldo de pescado', '1 copa coñac', '1 vaso vino seco', '8 filetes bonito']",https://www.recetasgratis.net/receta-de-bonito-en-salsa-de-perdiz-26692.html,,,,,,
Besugo al horno español,,"['1\nEn una besuguera, se rehoga muy ligeramente la cebolla y el pimiento picado en juliana.', '2\nUna vez rehogado, se cubre con las patatas cortadas en rodajas finas y se sazona todo con sal.', '3\nSe coloca encima el besugo.', '4\nSe le hacen unas incisiones con un cuchillo y se le introducen medias lunas de limón.', '5\nSe mete en el horno.', '6\nCuando esté el besugo a medio asar, se moja con el vino blanco y algo de caldo de pescado.', '7\nSe deja terminar de asar.', '8\nSe presenta en la misma besuguera.', '9\nPara 6 Personas.']","Valoración: 3,3 (57 votos)","['Sal', 'Aceite 200ml', 'Cebolla', '1/4 kg patatas', 'Pimiento verde 100gr', 'Besugo 2kg (1 ó 2 piezas)', 'Vino blanco 200ml', 'Limón', '1 caldo de pescado']",https://www.recetasgratis.net/receta-de-besugo-al-horno-espanol-26689.html,,,,,,
Verduras y hortalizas con salsa de anchoas,,"['1\nLa presentación de los vegetales consiste en clavar las verduras picaditas con palitos de madera en la toronja o en un melón pequeño.', '2\nTambién se pueden presentar de forma más sencilla en una pasapalera con las salsas de anchoas o la de mayonesa con hierbas.', '3\nPara la salsa, colocar todos los ingredientes en la licuadora, triturarlos y llevar la salsa a un envase para servir acompañando los vegetales.']","Valoración: 3,4 (58 votos)","['2 zanahorias cortadas en bastones', '1 célery cortado en tallos pequeños', '250 g de hongos frescos', '1 racimo de rábanos', '200 g de tomates tipo cherry', '1 frasco de maicitos pequeños', '1 coliflor', 'Para la salsa', '1 taza de mayonesa', '1 yogur natural', '1 cda. de mostaza', '1 lata o 50 g de anchoas', '2 cdas. de perejil picadito', '2 cdas. de cebollines picaditos', 'Picante o pimienta al gusto', 'Sal al gusto', '1 brócoli', '1 caja de palitos de madera pequeños', '1 toronja', '1 lata de palmitos']",https://www.recetasgratis.net/receta-de-verduras-y-hortalizas-con-salsa-de-anchoas-26592.html,,,,,,
Salmón Champagne,,"['1\n1. Sazone el salmón con la sal y la pimienta y disponga sobre un recipiente previamente enmantequillado, para luego llevar al horno a una temperatura de 350°C durante unos ocho minutos aproximadamente.', '2\n2. Mientras el salmón está en el horno, en un sartén sofría en el aceite de oliva el ají dulce y la cebolla picados finamente en brunoise.', '3\nAgregue la champaña o en su defecto el vino frizante y deje hervir la mezcla por no más de un minuto. Luego agregue lentamente la crema de leche y corrija la sazón con sal y pimienta.', '4\n3. Para servir disponga el trozo de salmón en medio del plato y decore con la crema de champaña.']","Valoración: 4,4 (7 votos)","['600 gr de salmón fresco cortado en trozos de 120 gr cada uno', '1 taza de champaña o vino frizante', '1/2 cebolla', '2 ajíes dulces', '2 tazas de crema de leche', 'Sal', 'pimienta al gusto', 'Mantequilla', '1 cucharada de aceite de oliva']",https://www.recetasgratis.net/receta-de-salmon-champagne-26544.html,,,,,,
Sierra a la parrilla,"Sigue los pasos de esta receta fácil con pescado y aprende a hacer unas deliciosas ruedas de sierra a la parrilla. Además, con este mismo procedimiento podrás hacer cualquier pescado a la parrilla o la plancha.","['1\nEl primer paso para hacer este pescado asado será preparar el marinado. Para ello, pica finamente y machaca los ajos. Corta finamente el perejil y mezcla todo esto con el aceite y el zumo de limón.', '2\nUnta las ruedas de sierra con el marinado y déjalas en reposo al menos un par de horas para que que absorban bien todo el sabor.', '3\nPasado este tiempo ya podrás cocinar las ruedas de sierra asadas. Colócalas en la parrilla 10 minutos por cada lado y listo. Si quieres también puedes hacerlas a la plancha.', '4\nSirve y disfruta la sierra a la parrilla acompañando con unas patatas asadas y una ensalada de palmito. Y si quieres una salsa especial para pescados, te recomiendo probar el gastric de naranja. ¡Delicioso!']","Valoración: 3,3 (57 votos)","['6 unidades de Rueda de sierra', '4 dados de Ajo', '1 chorro de Aceite de oliva', '3 ramas de Perejil', '2 unidades de Limón (jugo)']",https://www.recetasgratis.net/receta-de-sierra-a-la-parrilla-26542.html,6 comensales,15m,Plato principal,Dificultad baja,,[]
Pescado con champiñones,,"['1\nEn un plato combine 1/4 de taza de la harina, sazone con sal y pimienta al gusto. Enharine los filetes de pescado. Caliente la mitad de la mantequilla en una sartén y fría el pescado hasta que esté ligeramente dorado por ambos lados. Retirey guarde.', '2\nPique una de las cebollas en rodajas delgadas, separe los anillos y dórelos en la mantequilla restante (no olvide agregar una cucharadita de aceite para que no se queme). Retire y guarde.', '3\nLa otra cebolla píquela finamente. Sofría hasta que esté transparente. Adicione el ajo, el romero, el perejil, el apio españa y los champiñones y sofría todo durante 5 minutos. Adicione 1 taza de caldo de pescado y cocine a fuego lento hasta que el líquido se haya reducido a la mitad.', '4\nDore la cucharada de harina restante y disuélvala en la taza de caldo restante. Añada a la preparación anterior y, revolviendo, cocine hasta que espese. Agregue la crema de leche y revuelva bien. Guarde.', '5\nEn una refractaria engrasada coloque de manera alternada capas de pescado y de salsa. Llévelo al horno precalentado a 300º hasta que esté burbujeante y ligeramente dorado por encima.']","Valoración: 3,5 (64 votos)","['6 filetes de pescado', '1/2 taza de harina de trigo', '100 gramos de mantequilla sin sal', '2 cebollas grandes', '4 dientes de ajo, triturados', '1 rama de perejil, finamente picada', '1 tallo de apio, finamente picado', '1 ramita de romero', '1/4 kilo de champiñones, lavados, secos y partidos en laminitas', '2 tazas de caldo de pescado', '1/2 taza de crema de leche', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-pescado-con-champinones-26482.html,,,,,,
Paté de Sardinas,,"['1\nTriture las sardinas muy bien y batiendo.', '2\nIncorpore el queso hasta que esté suave.', '3\nAñada la ralladura y el jugo de limón, el ajo, la sal y la pimienta al gusto y bata muy bien.', '4\nDivida la mezcla en dos moldes.', '5\nAlise la superficie y cubra cada una de ellas con la mantequilla derretida.', '6\nEnfríe en el refrigerador hasta que la mantequilla cuaje y adórnelas con las rebanadas de aceitunas y unas ramitas de perejil.', '7\nSírvalas acompañadas de rectángulos calientes de pan tostado.']","Valoración: 3,5 (64 votos)","['125 grs de sardinas de lata escurridas', '1/3 taza de queso cremoso ablandado', 'Una pizca de ralladura de limón', '1 cucharada de jugo de limón', '1 diente de ajo machacado', 'Sal', 'pimienta negra recién molida', '2 cucharadas de mantequilla derretida']",https://www.recetasgratis.net/receta-de-pate-de-sardinas-26477.html,,,,,,
Nigiri Sushi,,"['1\nEs muy importante que el pescado sea muy fresco.', '2\nAntes de prepararlo, tenerlo un rato en la parte más fría del frigorífico, pues esto hará más fácil el cortarlo.', '3\nIr sacando el pescado del frigorífico, a medida que se vaya preparando.', '4\nCortar en rodajas de unos 7 mm. de espesor como máximo.', '5\nDeshacer en tiras finas las sepias o calamares.', '6\nReservar.', '7\nSeguir las instrucciones de la siguiente receta', '8\nArroz blanco avinagrado.']","Valoración: 3,4 (58 votos)","['300 g de filetes de pescado crudo variado (dorada, salmón, lenguado, atún)', '100 g de sepias frescas o calamares', 'Salsa de soja clara']",https://www.recetasgratis.net/receta-de-nigiri-sushi-26450.html,,,,,,
Merluza Gitana,,"['1\n1. Se enharinan los trozos de merluza y se fríen en aceite bien caliente, hasta que se doren.', '2\n2. Luego, se ponen en una cazuela, y en el aceite que sobra en la sartén se echan los dientes de ajo, la cebolla y los tomates, se sazona con la sal y pimienta.', '3\n3. Cuando todo está bien sofrito, se vierte sobre el pescado, se añade una copita de agua tibia y se deja que vaya cociendo a fuego muy lento.', '4\n4. Finalmente, se retira la merluza de la cazuela, con gran cuidado para que no se deshaga, y se sirve rociada con su salsa.']",Valoración: 4 (1 voto),"['600 gr. de merluza', '3 dientes de ajo picados', '1 cebolla picada', '2 ó 3 tomates mondados (pelados) y picados', 'Aceite', 'Sal', 'Pimienta', 'Harina']",https://www.recetasgratis.net/receta-de-merluza-gitana-26438.html,,,,,,
Mero o Dorado en Salsa de Cebollín,,"['1\n1. Pida al pescadero el pescado entero y solicite le saque los lomos. Debenrán ser dos trozos de pescado gruesos.', '2\n2. Ponga a cocinar el pescado en Baño de María, cuidando de no sobrecocinarlo.', '3\n3. Pique el cebollín y colóquelo en un envase refractario junto con la salsa de soya, el jengibre y la pimienta.', '4\n4. Caliente el aceite hasta el punto de fritura y viértalo en el refractario sobre la mezcla.', '5\n5. Coloque los lomos de pescado en una bandeja de servir y báñelos con la salsa, reservando un poco para llevar a la mesa. Sírvalo y acompañe con arroz blanco.']",Valoración: 4 (4 votos),"['2 kgs. de lomo de mero o dorado', '4 ramas de cebollín', '6 cdas de salsa de soya', '1 taza de aceite', '1 cda de raíz de jengibre finamente picado', 'Pimienta al gusto']",https://www.recetasgratis.net/receta-de-mero-o-dorado-en-salsa-de-cebollin-26439.html,,,,,,
