title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Dorada al horno,"El pescado es un alimento de la dieta equilibrada básica que deberíamos comer al menos una vez por semana. Así que si no sabes cómo prepararlo pero quieres empezar a comer sano y equilibrado sigue esta receta paso a paso de RecetasGratis.net y aprende cómo hacer una dorada al horno con patatas con esta receta de dorada al horno.¡disfruta de una plato delicioso, sano y nutritivo!","['1\nPara preparar esta receta de dorada al horno fácil, primero trabajaremos el pescado. Para ello, Coge la dorada, lávala bien y salpimiéntala con las especies que más te gusten. Yo he trabajado con una dorada grande de un kilo aproximadamente, pero puedes preparar dos pequeñas. Aparte, ve engrasando con aceite una bandeja o molde especial para horno.', '2\nAdemás, lava, pela y corta las patatas de la dorada al horno. Yo las he cortado en rodajas finas para que se cocinen mejor, pero puedes cortarlas en gajos o cubos, sólo procura que los trozos no sean muy gruesos. También corta, el tomate y la cebolla en rodajas, y los ajos.', '3\nColoca las patatas en la bandeja de forma que hagan una capa de base, añade un poco de sal y coloca encima la dorada. Luego reparte de forma uniforme la cebolla, el tomate y el ajo junto con un poco de perejil, un chorro de aceite y el vino.', '4\nLleva la bandeja de dorada al horno precalentado a 180ºC, por 35 minutos aproximadamente. Cuando veas que el pescado está dorado y tiene apariencia crocante o crujiente, es que ya estará listo.', '5\nSirve la dorada al horno con patatas y baña el pescado con el mismo jugo de su cocción, así quedará delicioso. Y aunque es un plato bastante completo, siempre puedes acompañarlo con una ensalada de piña y lechuga. No olvides visitar el blog La Cocina de Juani y encuentra más recetas como esta.']","Valoración: 4,7 (3 votos)",2 comensales,30m,Plato principal,Dificultad baja,,"['Receta sin lactosa', 'Recetas al horno']","['1 unidad de Dorada (1kg)', '500 gramos de Patatas', '1 unidad de Cebolla', '2 unidades de Tomate', '2 dientes de Ajo', '1 vaso de Vino blanco', '1 cucharada sopera de Perejil', 'Aceite de oliva', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-dorada-al-horno-55876.html
Salmón con salsa de espinacas,"El salmón es un pescado versátil, que se puede realizar con distintos tipos de salsa y condimentos. Para esta oportunidad realizaremos una salsa de espinacas, con notables propiedades antioxidantes y poca cantidad de grasas. Aunque esta salsa tiene un toque de crema de leche, en sí se trata de una receta muy saludable, te invito a realizarla durante los días de Semana Santa o cuando más te apetezca. Sigue leyendo y aprende a preparar salmón con salsa de espinacas de forma fácil.","['1\nAntes de realizar esta receta de salmón, el primer paso es alistar todos los ingredientes.', '2\nEn una sartén con aceite, sofreír el ajo y la cebolla cortados finamente con una pizca de sal durante unos minutos hasta que esté transparente la cebolla.', '3\nEn una olla con agua hirviendo y sal, agregar la espinaca y cocinar durante 6 minutos, hasta que reduzca su tamaño.', '4\nEs momento de licuar la espinaca, la cebolla y el ajo con un poco de caldo de verduras o agua, hasta obtener una mezcla homogénea y suave.', '5\nAgregar la salsa de espinacas a la olla y cocinar durante 5 minutos más, añadir la crema de leche, sal y pimienta para rectificar sabor.', '6\nEn otra sartén con un poco de aceite, cocinar los filetes de salmón previamente salpimentados por ambos lados durante 3 minutos.', '7\nEs momento de servir el salmón y disfrutar con la salsa de espinaca, esta preparación es ideal para consumir acompañada de un arroz con almendras. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']","Valoración: 4,3 (3 votos)",2 comensales,30m,Plato principal,Dificultad media,,['Recomendada para perder peso'],"['300 gramos de Salmón', '1 manojo de Espinaca', '100 mililitros de Crema de leche (½ taza)', '1 unidad de Cebolla blanca', '1 diente de Ajo', '30 mililitros de Aceite de girasol', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salmon-con-salsa-de-espinacas-55849.html
Merluza en papillote con verduras,"En esta receta vamos a realizar un filete de merluza siguiendo un método de cocción denominado papillote. Dicho método consiste en adicionar una proteína con o sin verduras, previamente marinada y envuelta en papel de aluminio para que se cocine con el calor que se genera de una manera indirecta, sin tocar el fuego. ¿Quieres conocer la receta? En RecetasGratis.net te enseñamos a cocinar merluza en papillote con verduras, ¡no te la pierdas""","['1\nEl primer paso para realizar la receta de pescado en papillote es dejar listos todos los ingredientes.', '2\nEn un bol adiciona los filetes de merluza, agrega el ajo en polvo, la cebolla en polvo y un poco de vino blanco. Deja marinar en el refrigerador durante una hora aproximadamente.', '3\nUna vez estén marinados los filetes de merluza, corta cuatro cuadrados grandes de papel de aluminio y adiciona encima cada uno de los filetes con las verduras cortadas en tiras.', '4\nAgrega un poco de sal y pimienta al gusto, también un poco del jugo del marinado de nuestra merluza en papillote.', '5\nEnvuelve el pescado con el papel de aluminio, lo ideal es que quede como un sobre para que se realice bien su cocción y no se salgan los jugos de la preparación. Lleva al horno durante 30 minutos aproximadamente.', '6\nSirve la merluza en papillote bañando con el jugo de la preparación, este tipo de cocción va a concentrar los sabores así que obtendremos una receta exquisita. Puedes acompañarla con unas patatas al horno. Si deseas puedes añadir algunas de las verduras con las que cocinamos nuestra receta. Si quieres más recetas con pescado y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']","Valoración: 3,5 (2 votos)",4 comensales,45m,Plato principal,Dificultad baja,,['Recetas al horno'],"['4 unidades de Filetes de merluza', '1 unidad de Zanahoria', '120 gramos de Apio', '1 unidad de Pimiento o pimentón', '1 trozo de Cebolla blanca', '1 cucharada sopera de Ajo en polvo', '1 cucharada sopera de Cebolla en polvo', '1 copa de Vino blanco', '1 pizca de Sal', '1 pizca de Pimienta', '1 unidad de Papel aluminio']",https://www.recetasgratis.net/receta-de-merluza-en-papillote-con-verduras-55824.html
Salmón al horno con especias,Esta receta también podría llamarse Salmón Tikka o Salmón Tandoori pero esos nombres son menos conocidos. Y es que este plato de salmón es una famosa receta de la cocina India y se trata de piezas de salmón marinadas en una mezcla de especias con yogur llamada tandoory. Aunque la forma original de cocinar este salmón es en el horno de barro llamado tandoor nosotros lo haremos al horno de forma más fácil.,"['1\nEl primer paso para preparar esta receta india será trocear el salmón. Corta las piezas de pescado en cubos más o menos grandes, tratando de eliminar todas las espinas que pueda tener. Este tipo de corte es a lo que se llama tikka en la India.', '2\nAhora le toca el turno al marinado. Para ello, mezcla el yogur con las especias, agrega todo menos la sal negra, ya que ésta la utilizaremos al final. Puedes utilizar yogur griego si lo deseas y si prefieres que el plato no tenga nada de picante sustituye el pimentón picante por pimentón normal.', '3\nMezcla todo muy bien, de forma que se repartan los ingredientes de forma uniforme. El resultado debe ser una crema color rosa oscuro. Prueba y corrige la sazón si es necesario, evita añadir mucha sal.', '4\nLleva las piezas del salmón a un envase plástico con la salsa de yogur, mezcla todo a conciencia procurando que el salmón quede completamente cubierto con la salsa. Como estamos haciendo salmón marinado, lo ideal es dejar que el pescado coja sabor dejándolo en reposo de un día para otro, pero si no tienes tiempo déjalo al menos una hora.', '5\nAl día siguiente, cuando el salmón haya absorbido todos los sabores de las especias y el yogur, cocinaremos el pescado. Para ello, coloca los cubos de salmón bañados en salsa tandoori en una bandeja forrada con papel para hornear. Coloca las piezas de pescado con la piel hacia abajo.', '6\nPara terminar, precalienta el horno a 180º y cocina el salmón tandoori por unos 15 minutos hasta que veas que las piezas empiezan a dorarse. Deja reposar unos minutos y espolvorea por encima una pizca de sal negra.', '7\nSirve esta delicia india con unas berenjenas asadas también típicas de la región y disfruta de un plato original y diferente: el salmón marinado al horno estilo hindú.']",Valoración: 5 (2 votos),2 comensales,1h 30m,Plato principal,Dificultad baja,,"['Recetas al horno', 'Recetas indias']","['250 gramos de Lomo de salmón', '1 bote de Yogur natural sin azúcar (125 ml.)', '4 cucharadas soperas de Tandoori', '2 cucharadas soperas de Pimentón picante', '2 cucharadas soperas de Ajo molido', '1 cucharadita de Sal', '1 pizca de Chaat Masala o Sal negra (opcional)']",https://www.recetasgratis.net/receta-de-salmon-al-horno-con-especias-55742.html
Hojaldre relleno de merluza,"Si estás buscando una receta diferente para los días de pascua o simplemente quieres aprender una forma nueva de comer pescado esta receta seguro te gustará. Aprende a prepara unos deliciosos pastelitos salados de hojaldre, y utilízalos también como una forma deliciosa y divertida para que los niños aprendan a comer merluza.","['1\nEl primer paso para prepara estos pastelitos salados de hojaldre será lavar, pelar y cortar las patatas en rodajas finas. Luego, pásalas por aceite caliente para marcarlas y deja enfriar. Reserva.', '2\nA parte, sofríe la cebolla, previamente cortada finamente, sazona con un poco de sal y pimienta y deja en la sartén hasta que empiece a estar traslucida.', '3\nEl pescado y las gambas los puedes colocar al gusto. Puedes desmenuzar la merluza y cortar las gambas finamente, o por el contrario dejar todo en trozos grandes.', '4\nExtiende el hojaldre sobre una superficie plana enharinada, dejándola de un centímetro y medio de grosor aproximado. Luego corta formas circulares con la ayuda de un plato o un cuchillo.', '5\nPara armar los pastelitos de merluza, coloca sobre la mitad del círculo de hojaldre una capa de patata, luego merluza y gambas, unas gotas de limón, la cebolla y una pizca de sal y pimienta. Luego tapa con la otra mitad y presiona ligeramente los bordes, sellándolos con un poco de agua.', '6\nHaz tantos pastelitos como puedas y luego pinta toda la superficie con la yema de huevo batida. La merluza y las gambas deben estar crudas dentro del hojaldre.', '7\nColoca los hojaldres salados en una bandeja previamente engrasada o forrada con papel para hornear y lleva al horno a 200º hasta que se doren.', '8\nSirve los hojaldres rellenos de merluza al salir del horno y disfruta acompañando con una ensalada fresca con champiñones para pascuas o Semana Santa. No olvides visitar mi blog La Cocina de Juani para encontrar más recetas como esta.']",Valoración: 4 (1 voto),4 comensales,30m,Plato principal,Dificultad baja,,"['Recetas para Semana Santa', 'Recetas al horno']","['500 gramos de Masa de hojaldre', '1 unidad de Patata grande', '2 unidades de Cebolla', '400 gramos de Filete de merluza', '200 gramos de Gambas peladas', '2 unidades de Ajo', '1 chorro de Aceite', '1 chorro de Zumo de limón', '1 pizca de Sal y Pimienta', '1 unidad de Yema de huevo']",https://www.recetasgratis.net/receta-de-hojaldre-relleno-de-merluza-55778.html
Trucha al horno con patatas,"La trucha con patatas al horno es un plato perfecto para las personas que les gusta comer muy sano, puesto que la trucha es un pescado con muy poco contenido graso. Es ideal para añadirlo a una dieta saludable y, si preparamos el pescado al horno como te vamos a enseñar a continuación, la receta se vuelve todavía más sana. Personalmente, te recomiendo consumir este plato a la hora de la cena. Sigue leyendo y cocina con RecetasGratis.net trucha al horno.","['1\nAntes de realizar esta receta saludable, el primer paso es alistar todos los ingredientes.', '2\nEn una olla con abundante agua realizar una pre-cocción de las patatas sin pelar, cortadas en cuartos durante 15 minutos.', '3\nCuando las patatas estén listas, córtalas en rodajas gruesas, espolvorea un poco de paprika, sal y pimienta, reserva.', '4\nRetirar la cabeza y las espinas de la trucha, disponer los filetes sobre las patatas, aderezar con ajo macerado, una gotas de limón, sal, pimienta, una pizca de finas hierbas y un poco de aceite. Llevar al horno a 200ºC durante 10 minutos.', '5\nCuando esté lista la trucha con patatas al horno, servir y disfrutar. Esta receta es perfecta para la hora del almuerzo o para una cena ligera, si lo deseas, puedes acompañar con una rodaja de limón y una ensalada fresca. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']","Valoración: 4,4 (10 votos)",2 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para perder peso', 'Recetas al horno']","['2 unidades de Trucha', '2 unidades de Patatas', '2 dientes de Ajo', '1 pizca de Paprika', '1 pizca de Finas hierbas', '30 mililitros de Aceite de oliva', '1 unidad de Limón', '1 pizca de Pimienta', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-trucha-al-horno-con-patatas-55758.html
Bacalao a la gallega,"El bacalao a la gallega es una de las recetas más tradicionales y populares de Galicia y, en general, de todo el país. Es uno de los platos que nunca falta en mi casa durante la Semana Santa, por su exquisito sabor y fácil elaboración. Se prepara con la salsa gallega por excelencia, la ajada, muy utilizada para la realización de múltiples recetas de pescados. ¡Toma nota de los pasos y ponte manos a la obra con RecetasGratis.net!","['1\nPara preparar el bacalao a la gallega cogemos una cacerola con agua y ponemos a cocer la cebolla con las patatas durante 10 minutos a fuego medio.', '2\nPasado el tiempo, incorporamos los lomos de bacalao y dejamos cocer durante 10 minutos más.', '3\nAhora vamos con la salsa gallega. Para hacerla, cogemos una sartén, vertemos aceite de oliva y cocinamos los dientes de ajo cortados en láminas. Cuando veamos que el ajo empieza a dorarse, lo retiramos del fuego y añadimos una cucharada de pimentón dulce. Removemos y retiramos del fuego para evitar que se queme el pimentón.', '4\n¡Listo! Servimos el bacalao a la gallega con las patatas y la salsa por encima. Como ves, se trata de una receta muy fácil, llena de sabor y, sobre todo, tradición. Más recetas como esta en mi blog Mi Mundo Salado, ¡no te lo pierdas!']",Valoración: 4 (2 votos),2 comensales,30m,Plato principal,Dificultad baja,,"['Recetas españolas', 'Recetas gallegas']","['2 unidades de Lomos de bacalao desalados', '1 unidad de Cebolla pequeña', '4 unidades de Patatas medianas', 'Aceite de oliva virgen extra', '2 dientes de Ajo', '1 cucharada sopera de Pimentón dulce']",https://www.recetasgratis.net/receta-de-bacalao-a-la-gallega-55744.html
Merluza a la sidra,"En esta receta de RecetasGratis.net vamos a preparar un pescado muy rico, merluza a la sidra. Puede parecer un plato complicado de hacer pero, como veréis, aunque lleve algo de tiempo, su preparación no es nada difícil y el resultado merece la pena. Aunque existen muchas maneras de preparar este plato, yo he elegido una receta digamos ""base"", y he adaptado la cantidad de los ingredientes, me ha salido muy buena. ¡Veréis que rico!","['1\nPara empezar a preparar la receta, cortaremos las patatas en rodajas ni finas ni gruesas, añadimos sal al gusto y freímos despacio, hasta que empiecen a dorarse. Cuando estén listas, las vamos colocando repartidas por la base de la fuente de manera que cubramos todo lo posible la superficie de la misma. Mientras se fríen las patatas, podemos aprovechar para ir preparando los ingredientes de la salsa con sidra.', '2\nLimpiamos las rodajas de merluza, las pasamos por harina y cocinamos en aceite bien caliente hasta que se empiecen a dorar por ambos lados. Según vayan cocinándose las piezas de merluza, las vamos colocando sobre la base de patatas que tenemos lista en la fuente. Vamos con lo ""goloso"" de la receta, la salsa.', '3\nCogemos la cebolla, las cabezas de ajo y los tomates, los limpiamos bien y picamos todo en trozos pequeños. Acordaos de quitar el corazón de los ajos. Para preparar la salsa necesitaremos 2 o 3 cucharadas de aceite usado anteriormente para freír la merluza (lo suficiente para que cubra la base de la sartén). Antes de usarlo, debemos colarlo para limpiarlo de los restos de harina que hayan podido quedar.', '4\nPonemos el aceite en una sartén grande y cuando esté caliente añadimos la cebolla y el ajo y lo dejamos pochar a fuego medio. Una vez tengamos la cebolla pochadita, le añadimos el tomate, el pimentón, salamos y mezclamos todo bien. Luego, vertemos el coñac o brandy y la sidra, removemos de nuevo hasta que se nos hayan mezclado bien los ingredientes y dejamos cocinar a fuego medio durante 15 minutos aproximadamente, removiendo de vez en cuando.', '5\n¡Ya tenemos la salsa lista! Solo nos queda pasarla por el pasapurés o por la batidora con la finalidad de obtener una preparación más fina y sin grumos. Precalentamos el horno a 200ºC. Repartimos las 12 almejas por la fuente y añadimos toda la salsa por encima, procurando que cubra bien todos los trozos del pescado. Metemos la fuente con la merluza en el horno cuando esté caliente y horneamos durante 10 minutos, manteniendo la temperatura indicada.', '6\nPasados los 10 minutos en el horno, la merluza a la sidra estará lista servir. Más recetas fáciles y deliciosas como esta en mi página El Blog de Omi.']",Valoración: 5 (1 voto),6 comensales,45m,Plato principal,Dificultad baja,,"['Recetas al horno', 'Recetas españolas', 'Recetas asturianas']","['6 rodajas de Merluza', '1 unidad de Cebolla grande', '500 gramos de Tomates', '12 unidades de Almejas', '4 unidades de Patatas', '2 unidades de Dientes de ajo', '1 cucharada postre de Pimentón picante', '500 mililitros de Sidra natural (La de escanciar, no confundir con la espumosa)', '3 cucharadas soperas de Coñac o Brandy', 'Harina para rebozar', '', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-merluza-a-la-sidra-55718.html
Tacos de pescado al pastor,"Esta variante de los famosos tacos mexicanos al pastor es ideal para la cuaresma. Disfruta el hacer y compartir con tu familia preparando la receta de los tacos de pescado al pastor. Al ser el pescado su ingrediente principal, podemos sustituirlo por cualquier variedad de pescado de temporada. Verás que es tan fácil de prepararla como disfrutarla y en RecetasGratis.net te decimos cómo.","['1\nPon a remojar los chiles en agua caliente para que se hidraten por unos 10 minutos.', '2\nAhora, para elaborar nuestra salsa de pastor, licua todos los ingredientes y reserva.', '3\nEn una sartén anti adherente pon la tilapia en cubos y cocina un poco, sazonando con sal y pimienta. Si no consigues tilapia, puedes utilizar cualquier otro pescado de carne blanca como la panga o dorada.', '4\nDespués agrega la salsa de pastor, mueve hasta integrar bien y deja que se cocine bien la salsa.', '5\nUna vez bien mezclado, notarás como cambia un poco de color y se intensifican los aromas.', '6\nRetira del fuego y sirve acompañado de unas tortillas mexicanas de maíz y con el resto de los complementos.']",Valoración: 5 (2 votos),5 comensales,30m,Entrante,Dificultad baja,,['Recetas mexicanas'],"['½ kilogramo de Tilapia en cubos', '2 piezas de Chile guajillo desvenado y sin semillas', '2 piezas de Chile ancho desvenado y sin semillas', '1 diente de Ajo', '¼ pieza de Cebolla blanca', '40 gramos de Achiote', '120 mililitros de Jugo de naranja', '4 cucharaditas de Vinagre de manzana', '2 gramos de Sal', '1 gramo de Pimienta negra molida', '½ kilogramo de Tortillas de maíz', '1 pieza de Cebolla blanca picada', '10 ramas de Cilantro picado', '300 gramos de Limones en cuartos', '200 mililitros de Salsa roja', '200 gramos de Piña en almibar']",https://www.recetasgratis.net/receta-de-tacos-de-pescado-al-pastor-55709.html
Merluza en salsa americana,"Esta salsa americana está hecha a base de un fumet de pescado y mariscos, el cual da un sabor delicioso a nuestra preparación. En esta receta de RecetasGratis.net vamos a realizar un pescado muy común, la merluza, y vamos acompañarla con esta salsa base tan tradicional en el mundo gastronómico. Sigue leyendo y prepara esta exquisita receta de merluza en salsa americana.","['1\nEl primer paso es prealistar los ingredientes de nuestra merluza en salsa.', '2\nLleva una sartén a fuego medio con un poco de aceite de oliva y añade las finas hierbas para que el aceite se infusione.', '3\nUna vez caliente, agrega cada uno de los filetes de merluza con sal y pimienta para cocinarlos.', '4\nDale la vuelta al filete de merluza y, una vez observes que la cocción del pescado está en el punto deseado, añade la salsa americana a al sartén y deja conservar a fuego bajo durante 3-4 minutos más. Consulta la receta de la salsa americana casera y hazla tú mismo.', '5\nCuando esté lista, sirve la merluza en salsa acompañándola con cualquier carbohidrato. En este caso, yo la acompañé con quinoa y hierbabuena. Si deseas más recetas con pescado y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']",Valoración: 5 (1 voto),4 comensales,30m,Plato principal,Dificultad baja,,[],"['4 filetes de Merluza fresca', '250 mililitros de Salsa americana', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Finas hierbas']",https://www.recetasgratis.net/receta-de-merluza-en-salsa-americana-55700.html
