title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Chocolate para beber,,"['1\nColocamos la leche en una ollita y llevamos al fuego,(reservamos un poco de leche fria para disolver la fecula).', '2\nRallamos el chocolate y se lo agregamos a la leche junto con el azucar.', '3\nCuando rompe el hervor lo bajamos al fuego lo mas suave posible y colocamos la fecula disuelta en la leche fria, vamos revolviendo continuamente hasta que espese un poco y retome el hervor.', '4\nLo servimos bien caliente con vainillas.']","Valoración: 3,7 (22 votos)","['1 litro de leche', '150 grs chocolate p/taza', '100 grs azucar', '2 cucharadas de fecula de maiz', 'Varios', 'Vainillas']",https://www.recetasgratis.net/receta-de-chocolate-para-beber-9793.html,,,,,,
Crema pastelera al cafe,,"['1\nColocar en una olla la leche y la mitad del azucar y llevar a fuego suave,por otro lado batir las yemas con el resto del azucar y el almidon y agregamos un poco de la leche ,cuando la leche esta caliente colocamos el batido de huevos y revolvemos a fuego suave hasta que espese y el cafe lo agregamos cuando esta fria la preparacion.']","Valoración: 3,8 (18 votos)","['500cc leche', '6 yemas', '40 grs almidon de maiz', '120 grs azucar', '25 grs cafe instantaneo']",https://www.recetasgratis.net/receta-de-crema-pastelera-al-cafe-9786.html,,,,,,
Helado de rompope con pasas,,"['1\nHidrate la grenetina en el agua y disuelva en baño maria.', '2\nBate las yemas con el azúcar hasta que esponjen.', '3\nCaliente la leche y la crema,cuando casi hierva agregue las yemas batidas y la vainilla, mezcle a fuego lento hasta que espese.', '4\nRetire del fuego, integre la grenetina,el rompope y las pasas.', '5\nVierta a un tazón de acero y congele.', '6\nDespués de una hora, si nota que comienza a congelarse, bátalo vigorosamente y congele de nuevo.', '7\nRepita la operación y sirvalo decorado al gusto.']",Valoración: 4 (13 votos),"['1 cucharada de grenetina', '1/2 taza de agua.', '2 yemas.', '1 cucharada de vainilla.', '300 ml de leche.', '300 ml de crema.', '1 taza de rompope.', '1 taza de pasas.', '80 g de azúcar']",https://www.recetasgratis.net/receta-de-helado-de-rompope-con-pasas-9775.html,,,,,,
¡Fácil y paso a paso!,Si no sabes cómo hacer dulce de arroz no te pierdas esta receta fácil que te enseñamos en RecetasGratis. Aprenderás de manera sencilla y rápida cómo hacer dulce de arroz con leche paso a paso para deleitar los paladares más exigentes. Ya verás como a toda tu familia y amigos les gusta por su sabor y textura. ¡Un clásico que nunca falla!,"['1\nPonemos a hervir el agua con la sal, canela y la piel de naranja.', '2\nCuando llegue a ebullición le añadiremos el arroz, sin lavar para que quede más cremoso.', '3\nEsperamos removiendo a que hierva, dejamos 5 minutos a fuego medio, apagamos y tapamos la cacerola hasta que se haya consumido el agua.', '4\nPonemos, entonces, la mitad de la leche y removemos sin parar hasta que vuelva a hervir, momento en el que bajamos la lumbre y continuamos removiendo a intervalos cortos para que no se agarre al fondo.', '5\nAl mismo tiempo vamos añadiendo la leche que vaya necesitando hasta consumir la indicada o agregando más, dependiendo del espesor que queramos darle al dulce de arroz con leche.', '6\nHay que tener en cuenta que este dulce de arroz sigue esponjando a medida que enfría. Al servir, en frío o en caliente, añadiremos el azúcar a gusto del comensal y una pizca de canela por encima.Y si te gustan las recetas al estilo de este dulce de arroz con leche no te pierdas otras como el dulce de tapioca o el dulce de batata, piña y coco.']","Valoración: 3,8 (20 votos)","['1,5 litros de leche', '200 mililitros de agua', '150 gramos de arroz redondo', '1 piel de media naranja', '1 palito de canela', '1/2 cucharadita de sal', 'Azúcar a gusto', 'Canela molida']",https://www.recetasgratis.net/receta-de-dulce-de-arroz-9736.html,4 comensales,45m,Postre,Dificultad baja,,[]
Rico pay,,"['1\nSe deshacen las galletas con las manos, lo mas que se pueda.', '2\nDespués se meten en la licuadora.', '3\nLa galleta debe quedar pulverizada.', '4\nVaciarla en un molde mediano.', '5\nDerretir la mantequilla y agregarlas a las galletas.', '6\nHacer una masa uniforme y expandirla en el molde.', '7\nNo debe quedar ni muy delgada ni muy gruesa.', '8\nSe coloca el molde en el horno a una temperatura de 230°C por 30 minutos.', '9\nNota: Revisar despues de la media hora, cada 5 minutos que la masa no se pase.', '10\nCuando este lista, dejar enfriar a temperatura hambiente.', '11\nEn la licuadora agregar el queso Philadelfia y la lata de la lechera.', '12\nSe le agrega unas gotitas de limón y una mínima porción de la cascare del mismo rallada.', '13\nRevolver muy bien.', '14\nCuando la masa este fría se le agrega lo que esta en la licuadora.', '15\nSe mete al refri y en 4 horas, esta listo para disfrutarse.', '16\nNota: sabe mejor al día siguiente!!']",Valoración: 4 (4 votos),"['1 Paquete Galletas María', '400 gr Paquetes Queso Philadelfia', '300 gr Lata de Lechera (leche condensada)', '150 gr Mantequilla', '1 Limón']",https://www.recetasgratis.net/receta-de-rico-pay-9731.html,,,,,,
Atole de platano,,"['1\nBates el platano de manera que quede como pasta,en un recipiente, mojas la masa de manera que se incorpore bien con el agua hasta que quede liquida.', '2\nPones a fuego lento el platano, despues la masa colada y por último la leche, si lo deseas agrega azucar al gusto.']","Valoración: 3,9 (28 votos)","['1 platano macho maduro', 'masa', '1 lt.leche', 'agua (suficiente)']",https://www.recetasgratis.net/receta-de-atole-de-platano-9700.html,,,,,,
Manjar de fresa,,"['1\nMezcle la galleta con la margarina y el azucàr.', '2\nForre un molde de pay (pie)previamente engrasado y mètalo al refrigerador.', '3\nEn una cacerola a fuego bajo ponga el agua hirviendo,vacie la gelatina moviendo continuamente hasta que se disuelva.', '4\nRetire del fuego y añada los hielos.', '5\nUna vez tibia,lìcuela con una taza de fresas,vacie en la corteza del pay(pie)y refrigere hasta que cuaje.', '6\nPonga a baño maria una taza de mermelada y cuando estè suave cuèlela.', '7\nPonga una capa delgada sobre el pay(pie).', '8\nColoque el resto de las fresas como adorno y bañelas con el resto de la mermelada.']","Valoración: 3,3 (12 votos)","['1 gelatina sabor fresa de 170g', '1 1/2 taza de mermelada de fresa', '1 1/2 taza de agua hirviendo', '1 taza de hielos', '2 tazas de fresas lavadas y desinfectadas', '3 tazas de galletas MARIA molidas', '1 barra de margarina de 90g derretida', '3/4 de taza de azucàr']",https://www.recetasgratis.net/receta-de-manjar-de-fresa-9677.html,,,,,,
Pasta frola de dulce de leche,"La pasta frola o pastafrola es muy común en casi toda latinoamérica. Se puede hacer con casi cualquier relleno, pero con dulce de leche es una gran tentación para todos los amantes del dulce, ya sea como merienda, postre o como tarta para un evento familiar, seguro que hará las delicias de pequeños y grandes.La pastafrola de dulce de leche es muy sencilla de hacer, solo hay que dejar reposar la masa media hora en la nevera y, en poco tiempo, tendremos un postre maravilloso. Prepara ingredientes pues, en RecetasGratis, tenemos la receta perfecta para ti. Sigue leyendo y descubre con nosotros cómo hacer pasta frola de dulce de leche.","['1\nPara hacer la pasta frola de dulce de leche lo primero es elaborar la masa. Para ello, pon en un bol la harina con la levadura química o polvo de hornear, el azúcar y la mantequilla o manteca cortada en trozos no muy grandes. Amasa con los dedos deshaciendo la mantequilla con el resto de ingredientes hasta conseguir un aspecto parecido al serrín o a la arena mojada.\nTruco: puedes sustituir la levadura por bicarbonato sódico en la misma cantidad.', '2\nIncorpora el extracto de vainilla y el huevo. Mezcla con las manos hasta conseguir una masa homogénea. Forma una bola con ella, envuélvela en papel film transparente y resérvala en la nevera durante 30 minutos.', '3\nPasado el tiempo de reposo, precalienta el horno a 180 ºC. Enharina una superficie de trabajo y extiende la masa con un rodillo enharinado. Engrasa un molde de unos 20 cm de diámetro con un espray desmoldante o con un poco de aceite o mantequilla derretida. Extiende la masa, acomódala bien al molde y retira la masa sobrante. Reserva la masa sobrante para decorar la pastafrola de dulce de leche.', '4\nRellena el molde con el dulce de leche y extiéndelo bien con una espátula. Aprende a hacer tu propio dulce de leche con esta receta: ""Cómo hacer dulce de leche"".', '5\nEnharina de nuevo la superficie de trabajo y el rodillo, extiende los recortes de masa sobrante y corta tiras largas con un rodillo dentado o un cuchillo. Esto lo usarás para decorar la pastafrola de dulce de leche, de manera que puedes ser creativo/a y darles forma al cortarlas.', '6\nVe formando un enrejado con las tiras en la superficie de la tarta. Luego, hornea la pastafrola con calor arriba y abajo a 180 ºC durante 30 minutos. Si ves que la tarta se tuesta demasiado, cúbrela a media cocción con papel de aluminio.', '7\nDeja enfriar la tarta en una rejilla y sírvela fría. Aunque puede resultar un tanto largo debido a que la masa debe reposar unos minutos, esta es una receta de pasta frola de dulce de leche fácil y económica, que puedes tener lista para sorprender a tus invitados en días especiales o cuando te apetezca un postre distinto. Y si quieres ir un poco más allá, prepara pasta frola de dulce de leche y coco espolvoreando coco rallado por encima una vez sacada del horno, ¡el contraste es exquisito!Espero que te haya gustado y te invito a que visites mi blog Cakes para ti.']","Valoración: 3,9 (19 votos)","['300 gramos de harina de trigo común', '1 cucharadita de levadura química o polvo de hornear', '100 gramos de azúcar (½ taza)', '175 gramos de mantequilla o manteca fría sin sal', '1 huevo L', '1 cucharadita de esencia de vainilla', '1 lata de dulce de leche (397 g)', 'Coco rallado (opcional)']",https://www.recetasgratis.net/receta-de-pasta-frola-de-dulce-de-leche-9592.html,8 comensales,1h 30m,Postre,Dificultad baja,,['Recetas al horno']
Arrollado con manzanas,,"['1\nBatir los huevos con el azucar y la miel hasta obtener punto letra, luego agregar la harina sin batir, llevar a una placa para horno rectangular forrada con papel enmantecado y enharinado, llevar a horno fuerte por espacio de 8m, retirar y dejar enfriar.', '2\nPor otro lado en una olla colocar las manzanas peladas y cortadas en rodajas junto con el azucar, colocar fuego suave(no agregarle agua) hasta que estan cocidas,dejar enfriar.', '3\nLuego tomar el pionono y rellenar colocar las manzanas junto a la crema y unir bien, con esto rellenar el pionono, arrollar y llevar a la heladera. Antes de servir espolvorear con el azucar impalpable.']","Valoración: 3,5 (13 votos)","['Arrollado', '6 huevos', '6 c azucar', '6 c harina', '1 c miel', 'PARA EL RELLENO', '6 manzanas', '100 grs de azucar', 'crema pastelera', 'azucar impalpable']",https://www.recetasgratis.net/receta-de-arrollado-con-manzanas-9580.html,,,,,,
La verdadera receta del tiramisu italiano,,"['1\nPor primera cosa hacer la crema con mascarpone, huevo ,azucar.', '2\nMezclar muy bien los ingredientes hasta hacer una crema fluida.', '3\nTomar una fuente media con borde.', '4\nHacer el cafe que tiene que ser utilizado caliente y mojar cada biscocho muy bien.', '5\nDe vez en vez poner los biscochos mojados en la fuente y terminar el primer piso.', '6\nAhora hechar un poco de crema y untar todo el pisoHacer ahora el secundo piso en la misma manera hasta que terminen los biscochos.', '7\nEn el ultimo piso despues de anadir la crema utilizar el cacao en polvo como capa por el postre.', '8\nMeter nel frigorifico por dos horas mas o meno y despues a comer.']","Valoración: 3,9 (28 votos)","['250 gramos de bizcochos de soletillas', '250 gramos de queso mascarpone', '100 gramos de azucar', '30 gramos de cacao en polvo de eso amargo', '1 huevo', '600 ml de cafe a la italiana entonce fuerte']",https://www.recetasgratis.net/receta-de-la-verdadera-receta-del-tiramisu-italiano-9531.html,,,,,,
