title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
¡Receta vegana sin azúcar!,"Esta mantequilla o crema de avellanas casera es ideal para preparar muchos platos. Por ejemplo, puede usarse para acompañar unas tostadas y convertirlas en un desayuno energético y saludable; pero también se puede mezclar con yogures o cremas, usarla para preparar turrones o helados y hacer una rica crema de chocolate si le añadimos este ingrediente. Además, las avellanas nos aportan muchos beneficios gracias a su contenido en minerales y vitaminas E, B, A y C.En esta receta de crema de avellanas hemos utilizado avellanas tostadas, pero se pueden comprar crudas y tostarlas en el horno. También, si te gusta que la pasta sea dulce, puedes añadir azúcar moreno a la mezcla cuando tritures las avellanas, así como también edulcorante o cualquier otro azúcar que te guste. La cantidad será a tu gusto, solo tienes que ir probando y seguir nuestros pasos para aprender cómo hacer crema de avellanas casera de forma fácil y rápida.","['1\nPela la piel y limpia las avellanas. Échalas en un robot de cocina o un procesador de alimentos potente. Puedes cortarlas en trozos para que sean más fáciles de triturar al hacer la crema de avellanas con batidora.', '2\nVe triturando en el robot poco a poco, para y mueve las avellanas que se queden en las paredes del robot para que esas también se trituren bien. Continúa así hasta que las avellanas se hagan polvo.', '3\nPara hacer esto hay que tener paciencia, cuesta un poco que se triture todo. Sigue haciendo lo mismo para evitar que las avellanas se metan entre las cuchillas y no se trituren bien.', '4\nCon el tiempo se irá formando una crema gracias al calor de la máquina y la grasa que irán soltando las avellanas. Cuando se forme una pasta de avellanas, añade algo de azúcar si quieres la crema de avellanas dulce.Si quieres notar un poquito las avellanas en cada bocado, puedes dejarlas sin triturar por completo para que queden pequeños grumos.', '5\nY si te gusta que quede como una crema, sigue triturando hasta que quede como una crema de untar.Para conservar la crema de avellanas métela en unos botes de cristal y guárdala en la nevera. Sácala de la nevera unos minutos antes de utilizarla.']",,2 comensales,15m,,Dificultad baja,,[],['250 gramos de avellanas tostadas'],https://www.recetasgratis.net/receta-de-crema-de-avellanas-casera-74514.html
Receta mexicana fácil,"El gaznate es un dulce de forma cilíndrica que se elabora con una pasta de trigo rellena de merengue. Es muy popular en México, especialmente en la zona central del país, pues quién no recuerda a los merengueros por las calles de México con su charola llena de estos riquísimos dulces. En RecetasGratis, queremos que aprendas cómo hacer gaznates paso a paso en casa para que puedas disfrutar de este postre mexicano desde la comodidad de tu hogar. Requieren algo de paciencia e ingredientes, pero el resultado final será muy satisfactorio y delicioso. ¡Sigue leyendo!","['1\nComienza la preparación de los gaznates integrando los ingredientes secos: harina, sal y azúcar.', '2\nAñade la mantequilla y amasa hasta integrarla por completo. Posteriormente, añade el jugo de naranja de forma gradual. Mezcla hasta obtener una masa elástica y déjala reposar en el refrigerador por 20 minutos.', '3\nDivide la masa en aproximadamente 8 o 10 porciones. Con ayuda de un rodillo, estira cada porción lo más delgada posible sin que llegue a romperse. Si es necesario, puedes cortar en rectángulos. \nTruco: Puedes enharinar el rodillo para que sea más fácil estirar la masa.', '4\nToma el molde, envuélvelo con la masa aplanada y sella con un poco de huevo batido para evitar que se despegue. \nTruco: No es necesario engrasar o enharinar el molde, una vez frito el gaznate el molde saldrá fácil.', '5\nCalienta el aceite en un sartén y fríe los gaznates hasta que estén dorados. Retíralos y colócalos sobre papel absorbente hasta que se enfríe. Entonces, podrás quitar el molde.', '6\nPara preparar el merengue dulce, pon el azúcar y el agua en una olla. Calienta y ve mezclando hasta obtener un almíbar liviano.', '7\nEn un recipiente, monta las claras a punto de nieve, añade la ralladura de limón y el almíbar que preparaste. Mezcla hasta lograr una consistencia suave y esponjosa.', '8\nOpcionalmente, puedes añadir unas gotas de colorante vegetal rojo para obtener el color típico de este dulce mexicano.', '9\nUna vez lista la mezcla, procede a rellenar el gaznate con el merengue usando una manga pastelera y una duya o jeringa. Decora con granillo o lluvia de colores.']",Valoración: 5 (1 voto),8 comensales,45m,Postre,Dificultad baja,,['Recetas mexicanas'],"['2 tazas de harina de trigo (280 gramos)', '½ cucharadita de sal', '1 cucharada sopera de azúcar', '130 gramos de mantequilla a temperatura ambiente', '100 mililitros de jugo de naranja', '1 huevo batido', '1½ tazas de aceite vegetal', '1 molde para gaznate o cannoli', '3 claras de huevo', '1 pizca de sal', '¼ taza de agua (60 mililitros)', '180 gramos de azúcar', '1 ralladura de limón', '50 gramos de granillo de colores para decorar', '2 gotas de colorante vegetal rojo']",https://www.recetasgratis.net/receta-de-gaznates-74519.html
Arroz con leche en microondas,"El arroz con leche es un postre tradicional con gran aceptación, sobre todo si es casero. El problema de este postre es que lleva mucho tiempo de cocción y hay que trabajarlo con mucho mimo. Al hacer este delicioso postre en el microondas, nos vamos a ahorrar tiempo y el resultado es bastante bueno, con un sabor muy parecido al tradicional.Aunque para cocinar al microondas es importante conocer nuestro propio microondas, en RecetasGratis te damos las claves para que, tengas la marca que tengas de microondas, puedas sacar su máximo rendimiento, obteniendo un rico arroz con leche. Vamos con la receta para saber cómo hacer arroz con leche en microondas.","['1\nPon en un bol apto para el microondas el arroz con la mantequilla troceada, el agua y una pizca de sal. El bol donde lo vayas a poner tiene que ser bastante grande, mejor que sea más hondo que ancho. Cocina tapado con una tapadera apta para el microondas durante 5 minutos a 750 W. Si tu microondas no pone el tipo de potencia, ponlo a máxima potencia.', '2\nSaca el arroz del microondas con cuidado de no quemarte y añade la leche y la corteza de limón (también puedes añadir una cucharadita de extracto de vainilla), intentando que no tenga mucha parte blanca, que es la parte que más amarga del limón. Cubre de nuevo con la tapadera y cuece el arroz con leche en el microondas a 750 W o potencia máxima durante 5 minutos más.\nTruco: Recuerda que el bol tiene que ser grande para que el líquido no se salga y se derrame.', '3\nSaca de nuevo el bol del microondas, remueve un poco el arroz, cubre con la tapadera y mételo de nuevo en el microondas. Reduce la potencia del microondas a 350 W y cocina el arroz con leche durante 15 minutos más. Si no sabes la potencia de tu microondas, cuece el postre a mínima potencia.', '4\nSaca el arroz del microondas, comprueba que aún le queda leche y que no la ha absorbido del todo, pues una vez frío, tiende a quedarse el arroz un poco seco, de ahí que sea preferible que le sobre al principio. Prueba el punto de cocción y si lo ves bien, añade las cucharadas de azúcar. Retira la corteza de limón, remueve y prueba que esté en su punto de dulzor para ti.\nTruco: Si el arroz ya lo ves cocido pero está más bien seco, agrega más leche y remueve, no hará falta que lo cocines más.', '5\nPuedes consumirlo recién hecho, aún tibio, ya que está delicioso, pero si lo prefieres frío, resérvalo en la nevera hasta que se enfríe. En el momento de servir, espolvorea la canela en polvo por encima. Como ves, hacer arroz con leche en microondas es mucho más sencillo y el resultado no tiene nada que envidiar a la receta original. Si te apetece descubrir más formas de cocinar este delicioso postre, no te pierdas esta otra Receta de arroz con leche condensada o esta otra Receta de arroz con leche peruano.Espero que te haya gustado y te invito a que visites mi blog Cakes para ti.']",,4 comensales,30m,Postre,Dificultad baja,,['Recetas al microondas'],"['250 gramos de arroz', '300 mililitros de agua (1¼ tazas)', '15 gramos de mantequilla', '1 pizca de sal', '1 limón', '700 mililitros de leche', '4 cucharadas soperas de azúcar', '1 cucharada postre de canela en polvo']",https://www.recetasgratis.net/receta-de-arroz-con-leche-en-microondas-74509.html
Flan de leche condensada SIN HORNO,"Si hay un postre que destaca por encima del resto por ser popular en casi todas las gastronomías del mundo ese es el flan. Este dulce se suele preparar con huevo y cocinar al horno, sin embargo, hoy en día hay muchas formas de prepararlo sin alterar su sabor. Por ello, en RecetasGratis mostramos una sencilla receta de flan de leche condensada sin horno, que se cocina a fuego lento al baño María, introduciendo el molde en una olla más grande. También se podría hacer en una olla rápida en tan solo 15 minutos.Verás que este flan queda igual de bueno que el típico flan hecho en el horno, de manera que si no dispones de este electrodoméstico, sin duda, esta es una opción perfecta. Sigue leyendo y descubre con nosotros cómo hacer flan de leche condensada sin horno.","['1\nPon el azúcar en una sartén para hacer el caramelo. Deja que se dore a fuego medio y, cuando esté dorado, retíralo del fuego.', '2\nCubre todo el fondo del molde con el caramelo líquido moviéndolo para que se reparta por las paredes del molde. Mete el molde en la nevera mientras preparas el flan de leche condensada sin horno.', '3\nColoca los huevos en un bol y bátelos. Añade la leche condensada y la leche normal y bátelo todo con unas varillas o un robot batidor. Puedes hacer tu propia leche condensada con esta receta.', '4\nAgrega una cuchara de esencia de vainilla y mezcla.', '5\nCuela la mezcla pasándola por un colador por si quedase alguna tira del huevo o impurezas. Así, tu flan de leche condensada sin horno quedará con una textura más suave.', '6\nVierte la masa del flan en el molde con el caramelo. El nuestro es un molde de 20 cm de diámetro con un agujero en el centro.', '7\nSi tu molde tiene tapa, ponla. Si no, cubre la superficie con papel de aluminio para evitar que el flan se queme. Si tu molde es como el nuestro, deja el agujero del centro destapado.', '8\nIntroduce el molde en una olla un poco más grande, añade agua hasta cubrir una tercera parte del molde, que corresponde más o menos a 3 cm. Tapa la olla con su tapadera y deja que se cocine a fuego alto hasta que el agua empiece a hervir. Entonces, baja a fuego medio-bajo y cocina el flan de leche condensada durante 40 minutos. A los 30 minutos, pínchalo con un palillo para ver si está listo o necesita esos 10 minutos extra. Recuerda que también puedes hacer este proceso en una olla exprés, pero con 15 minutos de cocción.', '9\nCuando veas que el flan está listo, apaga el fuego. Puedes dejar que se enfríe dentro del cazo o sacar el molde del cazo, dejar que se enfríe y luego meterlo en la nevera hasta que esté listo o, mejor, dejarlo toda la noche. Al momento de servir, sácalo dándole la vuelta al molde, así quedará con el caramelo por encima. Como ves, esta receta de flan de leche condensada sin horno es fácil y nos da como resultado un postre increíble. Y si encima la haces con la olla exprés, ¡será una receta rapidísima!', '10\nSi prefieres elaborar esta receta de flan de leche condensada sin horno con VÍDEO, te invitamos a seguir los pasos que te enseñamos en nuestro canal de YouTube. ¡Mira el vídeo aquí!']",,6 comensales,45m,Postre,Dificultad baja,,['Recomendada para vegetarianos'],"['6 huevos', '500 mililitros de leche condensada', '500 mililitros de leche', '1 cucharada sopera de esencia de vainilla', '100 gramos de azúcar para hacer el caramelo']",https://www.recetasgratis.net/receta-de-flan-de-leche-condensada-sin-horno-74506.html
Tarta de queso de La Viña (San Sebastián),"La famosa tarta de queso vasca de La Viña, también conocida como cheesecake de San Sebastián, es un famoso postre reconocido como una de las mejores tartas. Su elaboración es muy sencilla, así como lo es su increíble el resultado, pues queda jugosa, untuosa y deliciosa.Podrás disfrutar de esta tarta en el desayuno o en la merienda, es muy fresquita y encantará a todos en casa. Descubre todos los pasos para prepararla y descubre en RecetasGratis cómo hacer tarta de queso de La Viña.","['1\nPara comenzar con esta tarta de San Sebastián, añade el queso crema en un recipiente y el azúcar. Ve aplastando para facilitar el mezclado.\nTruco: puedes agregar mas azúcar si te gusta más dulce.', '2\nAñade el resto de ingredientes: huevos, nata y harina. Mezcla con unas varillas eléctricas o manuales hasta que todo quede completamente integrado. Por otro lado, precalienta el horno a 200 ºC con calor arriba y abajo. Humedece una hoja de papel de hornear.\nTruco: precalienta el horno a 200ºg calor arriba y abajo y humedece bajo el grifo una hoja de hornear.', '3\nEscurre el papel de hornear y forra el molde con cuidado. Empuja con los dedos el papel para que quede perfectamente forrado en cada esquina. Vierte la mezcla de la tarta La Viña y lleva al horno ya precalentado. Deposita el molde a altura media-baja y hornea por 40 minutos aproximadamente.', '4\nPasado este tiempo, verifica que la tarta de queso al horno ya esté lista pinchando el centro con un palillo. Seguramente, estará cremosa, pero no debe quedar demasiado cuajada o no tendrá ese punto jugoso.Después, enfría a temperatura ambiente unas horas y lleva al refrigerador un par de horas más.\nTruco: si en el horno ves que la tarta está dorando demasiado por arriba, cúbrela con un papel de aluminio.', '5\nEl resultado salta a la vista, esta es la tarta de queso La Viña original y deliciosa que todos querrán probar. Puedes añadir mermelada de frutos rojos que le irán de cine, pero con un buen café con leche o un zumo natural para los mas jóvenes de la casa, será suficiente para disfrutarla. ¡Lista para comer!']",,6 comensales,45m,Merienda,Dificultad muy baja,,"['Recomendada para vegetarianos', 'Receta sin gluten', 'Receta sin sal', 'Recetas españolas', 'Recetas vascas']","['4 huevos L', '500 gramos de queso crema o tipo Philadelphia', '250 mililitros de nata para montar (1¼ tazas)', '180 gramos de azúcar blanca', '1 cucharada sopera de harina de maíz o harina común de trigo', 'Molde desmontable de 19 cm x 6 cm alto', '1 hoja de papel de hornear o sulfurizado']",https://www.recetasgratis.net/receta-de-tarta-de-queso-de-la-vina-san-sebastian-74500.html
Empolvados chilenos,"Los empolvados son un dulce tradicional de Chile relativamente fácil y bastante rápido de hacer; te pueden sacar de un apuro en cualquier momento, pues es perfecto para reuniones familiares o visitas con amigos. Se confunden fácilmente con alfajores, pero los empolvados son más blandos, más grandes y con menos ingredientes. Su nombre se debe a la apariencia que les da el azúcar flor al servirlos.¿Lo mejor? Llevan pocos ingredientes y se hornean en 10 minutos. Son a base de huevos y harina, normalmente se rellenan con dulce de leche y se espolvorean con azúcar flor o azúcar glass. Otra opción, si tienes, es rellenarlos con mermelada o crema de chocolate y avellanas tipo Nutella. ¡Prepáralos como más te guste y descubre cómo hacer empolvados chilenos en RecetasGratis!","['1\nPrecalienta el horno a 180 °C. Separa los huevos y mezcla las yemas con 3/4 de taza de azúcar flor hasta que agarre un poco de consistencia.', '2\nBate las claras a punta de nieve y agrégale la mezcla anteriormente preparada, revuelve con movimientos envolventes y vierte la mezcla en una manga para decorar. Si no tienes, puedes improvisar una abriendo un huequito en una esquina de una bolsita de plástico y metiendo allí la mezcla.', '3\nSobre una bandeja con un poco de papel mantequilla, forma discos de mezcla del tamaño de tu palma aproximadamente.', '4\nHornea los discos por unos 10 minutos a 180 °C, revísalos constantemente porque se doran rápido y pueden quedar muy tostados.\nTruco: No los pinches ni los toques hasta que estén a temperatura ambiente, ya que pueden desinflarse o quebrarse. Cuando estén temperados serán un poco más firmes.', '5\nRellena cada disco por la parte inferior para cubrir bien los bordes y júntalos por la parte del arequipe o manjar. Sirve con un vaso de leche tibia y disfruta estos riquísimos empolvados chilenos.']","Valoración: 3,5 (4 votos)",4 comensales,30m,,Dificultad media,,['Recetas chilenas'],"['5 huevos', '1 taza de harina de trigo (140 gramos)', '1 cucharadita de polvo de hornear (levadura química)', '1 taza de azúcar flor o glass', '300 gramos de dulce de leche (manjar, arequipe)', 'papel de hornear']",https://www.recetasgratis.net/receta-de-empolvados-74494.html
Cómo hacer leche nevada casera,"Si te gustan los postres con leche estás en el artículo correcto, la leche nevada es un postre típico en la gastronomía chilena y argentina. Es a base de leche, maicena y huevos. Recibe el nombre de leche nevada como referencia a los copos de merengue que lleva de adorno en la parte superior. Tiene un sabor muy suave y reconfortante y una textura cremosa que encanta tanto a grandes como a pequeños.Puedes darle un toque especial a tu receta de leche nevada agregando salsa de caramelo o chocolate por encima al servir. Si quieres descubrir cómo hacer leche nevada, sigue leyendo el paso a paso que compartimos en RecetasGratis y cuéntanos cómo te fue.","['1\nCon cuidado, separa las claras de las yemas de los huevos y bate las claras a punto de nieve. En un recipiente aparte, bate las yemas también.', '2\nEn una olla, hierve la leche con el azúcar y la vainilla a fuego medio-bajo.', '3\nColoca copos de merengue encima de la leche y cocínalos sin remover por 4 minutos aproximadamente. Saca todos los copos antes de integrar el huevo y la maicena. Cuando rompa a hervir, añade las yemas a la leche y la maicena disuelta en 2 cucharadas de agua o leche y revuelve bien con unas varillas.', '4\nSirve la leche en unos moldes individuales y resérvala unas horas en la nevera. Al momento de servir, decora con el merengue y come el postre bien fresquito con un poco de canela espolvoreada por encima. ¡Lista tu receta de leche nevada!']",Valoración: 4 (1 voto),3 comensales,30m,Postre,Dificultad media,,['Recetas chilenas'],"['3 huevos', '3 tazas de leche (720 mililitros)', '1 cucharadita de esencia de vainilla', '3 tazas de azúcar (600 gramos)', '2 cucharaditas de maicena', '2 cucharaditas de canela (opcional)']",https://www.recetasgratis.net/receta-de-leche-nevada-74498.html
Torta de merengue frutilla,"La combinación de los sabores del merengue, frutos rojos y la crema chantilly, hace de la torta de merengue uno de los postres más delicados y deliciosos que existen. La presentación suele variar, como también las frutas que se utilizan. Por ejemplo, puedes preparar una receta de torta de merengue con frambuesas, fresas, arándanos o una combinación de ellos.En todo caso, lo que no cambia es que se presenta en capas compuestas por discos de merengue, crema y frutas. En el caso de nuestra receta, la elaboramos con frutillas o fresas, pero tú puedes escoger las que más te gusten. Si no es temporada de frutos rojos, puedes utilizar los congelados sin problema. Lo importantes es usar productos de calidad y seguir las instrucciones y recomendaciones que te traemos en RecetasGratis para saber cómo hacer una torta de merengue perfecta.","['1\nEl merengue constituye la base de este delicado postre, por lo tanto, es lo primero que se debe hacer. Para esto, separa las claras de las yemas y pesa el resto de los ingredientes. Precalienta el horno a su mínima temperatura. Si tu horno es demasiado caliente, considera mantener la puerta ligeramente abierta durante el horneado de la torta de merengue italiano.', '2\nBate las claras a máxima velocidad y cuando empiecen a subir, añade el azúcar poco a poco y en forma de lluvia.', '3\nCuando la hayas agregado toda, adiciona el azúcar glass ya tamizada, también poco a poco.', '4\nEn este punto, ya debes tener un merengue bastante fuerte. Es el momento de agregar la vainilla y el jugo de limón.', '5\nSolo falta sumar la maicena. Tamízala al igual que el azúcar glass. La textura del merengue es firme y brillante.', '6\nPasa el merengue a una manga pastelera. La manga ayudará a formar los merengues de las tortas de una manera más uniforme. Si no tienes una, no te preocupes, también puedes hacerlo con una cuchara, pero te tomará más tiempo.', '7\nHornea los merengues en papel de cocina. Para esto, tienes dos opciones: pica tres círculos de 20 centímetros de diámetro o dibújalos en el papel que pondrás en el fondo de la bandeja. En cualquiera de los casos, adhiere el papel a la bandeja con un poco del mismo merengue.', '8\nHornéalos por 1 hora a temperatura muy suave. Deben volverse completamente firmes, ¡pero cuidado!, son muy frágiles. Espera que enfríen por completo dentro del horno antes de retirar el papel. Aun así, hazlo con suma suavidad y delicadeza. Si no, se romperán y tendrás que repetir todo el proceso.', '9\nMientras los merengues se hornean, pica las frutas y llévalas al fuego junto con el azúcar y el limón.', '10\nCocínalas hasta obtener un sirope espeso. Al igual que los merengues, enfríalo completamente.', '11\nUna vez que ya tienes los merengues y la mermelada, entonces llegó el momento de preparar la crema chantilly, que será el elemento de la torta que ayudará a darle estructura. Para esto, coloca la crema de batir en un envase metálico y llévala al congelador por unos 20 minutos. También congela las aspas de la batidora.', '12\nTamiza el azúcar glass junto con la leche en polvo.', '13\nAhora, saca del congelador la crema y bate a máxima velocidad. Cuando comience a levantar, espolvorea el azúcar glass y la leche. También añade la vainilla o el saborizante de tu elección. Bate por varios minutos más hasta que esté más firme.', '14\nEs importante hacerlo hasta que la crema tenga estructura y no más, porque puede convertirse en mantequilla.', '15\nEmplatar la torta de merengue con frutilla es relativamente sencillo. Extiende una capa fina de crema en el plato y coloca allí el disco. Esa crema servirá para mantener el disco en su sitio mientras armas la torta.', '16\nPon una capa de chantilly sobre el disco y extiéndela bien.', '17\nEsparce la mermelada con suavidad.', '18\nViene otra capa de crema. Es importante que no sean demasiado gruesas.', '19\nPon encima el segundo merengue y repite la operación anterior.', '20\nCulmina con el último círculo y ya está armada la torta.', '21\nSolo falta adornar la torta. Hazlo con la mermelada y la crema de la forma que más te guste. Si tienes fresas naturales, puedes colocarlas para hacer más vistosa tu torta de merengue casera.']",Valoración: 4 (2 votos),10 comensales,24h,Postre,Dificultad muy alta,,['Recetas al horno'],"['6 huevos', '200 gramos de azúcar (1 taza)', '140 gramos de azúcar glas', '15 gramos de maicena', '1 cucharada postre de vainilla', '1 cucharada postre de jugo de limón', '500 gramos de frutillas o fresas', '250 gramos de azúcar (1¼ tazas)', '10 mililitros de jugo de limón', '3 gotas de colorante rojo', '500 mililitros de crema para batir con, al menos, 30% de grasa', '65 gramos de azúcar glas', '20 gramos de leche', '1 cucharada postre de vainilla']",https://www.recetasgratis.net/receta-de-torta-de-merengue-74493.html
Helado de coco casero y cremoso,"Esta receta de helado de coco casero es muy fácil de preparar y está hecha con ingredientes que conocemos y podemos quitar o añadir para hacer un postre más saludable. Además de disfrutar del fresco y delicioso sabor del coco, también podrás degustar en este helado una textura suave y muy cremosa, pues lleva leche condensada. En este caso, hemos añadido leche de coco para aportarle sabor, pero más adelante te daremos una opción para hacerlo solo con coco rallado si no tienes leche de coco en casa o no te gusta usarla. No importa cómo lo hagas, podrás prepararlo sin heladera y en muy poco tiempo, así que te invitamos a continuar leyendo para que descubras cómo hacer helado de coco en pocos pasos. ¡Perfecto para refrescarnos!","['1\nAntes de preparar el helado de coco, guarda todos los ingredientes en la nevera con excepción del coco rallado. Lleva la nata al congelador 10 minutos antes de empezar con la receta. Ahora, vierte en un bol la leche de coco y la leche condensada, mezcla bien. Guarda en la nevera mientras prepararas la nata.', '2\nSaca la nata del congelador, ponla en un bol y bátela hasta que esté la nata montada.', '3\nUna vez hemos montado la nata, saca la mezcla anterior de la nevera y ve añadiendo la nata montada a esta mezcla. Incorpórala poco a poco con movimientos envolventes y suaves hasta que quede bien integrada.', '4\nEn este momento puedes añadir un par de cucharadas de coco rallado y mezclarlas.', '5\nCoge un bol, preferiblemente de metal, aunque también puedes usar uno de cristal. Pon en él la crema, tápala con papel film y métela al congelador. Al cabo de una hora, sácala y remuévela. Vuelve a tapar y métela en el congelador por otra hora más. Repite el proceso tres veces. Posteriormente, deja el helado de coco cremoso en el congelador por unas 6 o 7 horas o hasta el próximo día.', '6\nCuando esté listo, saca tu helado de coco casero del congelador. Déjalo unos 10 minutos para que se descongele un poco y puedas servirlo fácilmente. Puedes prepararlo en copas, en vasos y en cucuruchos. ¡Adórnalo con los toppings que prefieras y disfruta!', '7\nSi quieres revisar una versión de esta receta más simple y con menos ingredientes, ¡mira nuestro vídeo de helado de coco con coco rallado!']",Valoración: 4 (2 votos),6 comensales,6h,,Dificultad baja,,[],"['400 mililitros de nata para montar (2 tazas)', '1 bote de leche condensada pequeño', '200 mililitros de leche de coco', '2 cucharadas soperas de coco rallado (opcional)', '1 cucharada sopera de bolitas de caramelo o chocolate']",https://www.recetasgratis.net/receta-de-helado-de-coco-74490.html
"Qué es, cómo hacerlo y para qué sirve","¿Qué es azúcar invertido? El azúcar que normalmente utilizamos para hacer nuestra repostería está formado por varias moléculas de sacarosa. Una molécula de sacarosa, de hecho, es la unión de una molécula de glucosa con una molécula de fructosa. Hacer azúcar invertido implica, precisamente, el divorcio entre estas dos moléculas, la glucosa y la fructosa. Este divorcio, normalmente, lo hace ya nuestro estómago cuando digerimos azúcar, pues se dan las cualidades necesarias para que esto suceda: hay humedad, acidez y calor. Por lo tanto, para hacer azúcar invertido en casa solo vamos a necesitar añadir al azúcar un poco de agua, un ácido y calor.¿Quieres seguir sabiendo más sobre el azúcar invertido? Sigue leyendo que en RecetasGratis te damos todas las claves para saber cómo hacer azúcar invertido y para qué sirve.","['1\nPara hacer esta receta de azúcar invertido lo mejor es usar los sobres gasificantes que venden para repostería. Son sobres dobles de sodas, donde ya va la cantidad exacta que tienes que poner para la receta. Hay de varias marcas, pero todas llevan un sobrecito blanco y otro de color o con puntos. También algunas marcas te indican justo qué es lo que lleva cada sobre. Uno de los sobres contiene ácido tartárico y málico, pero que puedes sustituir por una cucharadita de zumo de limón, y otro sobre incluye el bicarbonato sódico, que utilizarás sin posibilidad de sustitución.\nTruco: La cantidad exacta de los sobres es de 3,3 gramos de ácido tartárico y málico y 2,2 gramos de bicarbonato sódico.', '2\nPon en un cazo el agua, mejor mineral, y caliéntala a fuego medio. Cuando empiece a hervir, añade el azúcar y remueve.', '3\nAgrega el sobrecito del ácido tartárico y málico (o la cucharadita de zumo de limón si no tienes sobres), remueve y deja cocer a fuego suave durante unos 7-8 minutos.', '4\nRetira la mezcla del fuego, añade el sobrecito de bicarbonato sódico y remueve.', '5\nEl bicarbonato hará que el azúcar invertido espumee. Remueve de vez en cuando mientras lo dejas enfriar para que cada vez haga menos espuma.', '6\nUna vez frío, vierte el azúcar invertido casero en un tarro hermético y guárdalo en la nevera.\nTruco: Te recomendamos que pongas en el tarro la fecha de elaboración del azúcar invertido.', '7\nY ya tienes tu receta de azúcar invertido lista para ser utilizada. Como ves, tiene una consistencia similar a la de un jarabe, es por ello que también es conocido como jarabe de azúcar invertido. Aguantará bien guardado en la nevera hasta 1 año.Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.']",,6 comensales,15m,Postre,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['150 mililitros de agua (preferiblemente mineral)', '350 gramos de azúcar (1¾ tazas)', '3 gramos de ácido tartárico y málico o una cucharadita de zumo de limón', '2 gramos de bicarbonato sódico']",https://www.recetasgratis.net/receta-de-azucar-invertido-74468.html
