title,intro,order,votes,url,comensales,duración,para,dificultad,coste,types,ingredientes
10 tipos de mole,"Una de las formas más entrañables de conocer un país consiste en probar sus sabores, porque cada bocado nos regala un poquito de su historia y cultura. Así que si quieres conocer México, pero no está entre tus planes viajar por el momento, date gusto probando sus sabores más emblemáticos, la mejor forma de hacerlo, es iniciando con un buen mole. ¡Su sabor es bravío y alegre! Asimismo, debes saber que el mole es el platillo rey en la mesa mexicana, siempre está presente en las celebraciones sociales más relevantes y días festivos, por eso no falla en bautizos, bodas, cumpleaños y en el Día de Muertos. ¡Hasta canciones le han dedicado!En RecetasGratis te presentamos los 10 tipos de mole que existen. Conoce un poquito de la historia, curiosidades y todos los secretos de sus recetas. ¡Así podrás prepáralos en casa y darte gusto!",[],,https://www.recetasgratis.net/articulo-tipos-de-mole-76459.html,,,,,,,
Receta ORIGINAL,"La salsa gravy consiste en una elaboración tradicional inglesa. Esta se preparación sirve para cualquier tipo de carne a la plancha, asada, etc. Una salsa muy sencilla en la que se prepara un roux un poco dorado junto con un caldo concentrado de carne que se realiza tostando huesos, estos se cocinan a fuego medio durante 3-4 horas para que quede un caldo bien concentrado. Por ello, es mejor comprarlo ya preparado o comprar crema concentrada de carne y mezclar con el caldo.En RecetasGratis te enseñamos cómo hacer salsa gravy fácil y rápida. ¡A cocinar!","['1\nEmpieza la receta de salsa gravy añadiendo un cazo al fuego medio con la mantequilla y la harina. A continuación, remueve todo junto para que se deshaga bien la harina y se cocine con una cuchara de madera hasta que adquiera un color dorado. Elaborar este paso es hacer un roux.', '2\nEn este paso debes elaborar un caldo de carne que puede ser comprado o hecho con una pastilla, sin embargo, debe ser un caldo de carne concentrado. Este se prepara tostando los huesos y la carne en el horno o en una cazuela hasta que estén dorados, añade agua y deja cocer un par de horas.', '3\nAñade el caldo a la cazuela con el roux. A continuación, con unas varillas remueve y mezcla hasta que se vaya espesando. Debes saber que la cantidad de caldo es según te guste de textura la salsa. Luego, prueba de sal y rectifica, añade también un poco de pimienta. Si lo deseas, como opcional también puedes añadir la salsa inglesa, un par de cucharadas de vinagre, zumo de limón, hierbas aromáticas, etc.', '4\nSigue cocinando la salsa hasta que empiece a hervir y la tengas al gusto, debe quedar una crema lisa.\nTruco: si se hacen grumos por la harina, se puede triturar la salsa.', '5\nCuando tengas lista la salsa, solo debes servir con la carne que más te guste. Se puede preparar con antelación o de un día para otro, adquirirá más sabor. Por otro lado, se conserva varios días en la nevera. ¡Ya puedes degustar la deliciosa salsa gravy! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,https://www.recetasgratis.net/receta-de-salsa-gravy-76336.html,4 comensales,15m,,Dificultad baja,,[],"['500 mililitros de caldo de carne', '30 gramos de harina', '40 granos de mantequilla', '1 pizca de Sal', '1 pizca de pimienta', '2 cucharadas soperas de salsa inglesa o vinagre']"
Salsa de jitomate para sopes,"Si estás buscando una salsa para acompañar los antojitos mexicanos, debes saber que con los sopes queda deliciosa. Esta receta de salsa de jitomate para sopes es ideal, elaborada con jitomates y proporcionando el picor con chile de árbol tostadito. Además, debes saber que contiene muy pocos ingredientes y la convierte en una salsa ligera y picosa es su característico proceso de cocción. ¡Asimismo, en esta receta conocerás los tips sobre cómo hacer salsa de tomate!Si quieres aprender a preparar esta rica salsa, en RecetasGratis te enseñamos cómo hacer salsa de jitomate para sopes.","['1\nPara comenzar la receta de la salsa de jitomate para sopes, en una olla vierte dos tazas de agua y agrega los jitomates, deja que hiervan por unos 5 minutos hasta que notes que estén suaves y la piel se haya despegado ligeramente. Cuando lleguen a este punto, retira el agua y deja enfriar un poco.', '2\nCuando los jitomates estén tibios o se puedan manipular sin quemarte, es momento de pelarlos. Puedes usar una cuchara para sacar la pulpa o bien con tus manos retira la piel con mucho cuidado, luego reserva.', '3\nAhora en una sartén o comal caliente tatemar el trozo de cebolla, los dientes de ajo y los chiles de árbol. Debes cuidar que no se quemen, pues la salsa podría tornarse amarga, bastará con unos cuantos segundos para que tomen un color ámbar. Por otro lado, la cebolla y el ajo deben quedar bien tostados.', '4\nCuando la cebolla, el ajo y los chiles estén tostados, es momento de llevarlos a la licuadora junto con los jitomates, una pizca de comino, sal y pimienta al gusto. Licúa por un par de minutos hasta que todo esté completamente molido.', '5\nLo ideal es que no quede grumosa ni espesa, si queda muy espesa puedes agregar un chorrito de agua. También si lo prefieres puedes colar la salsa, esto es completamente al gusto. ¡Ahora sí, ya puedes servir tus sopes y a comer!\nTruco: debes saber que esta salsa roja para tostadas es exquisita. Asimismo, también puedes utilizar esta elaboración para combinar como más te guste.']",,https://www.recetasgratis.net/receta-de-salsa-de-jitomate-para-sopes-76246.html,10 comensales,15m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas mexicanas']","['3 piezas de jitomates grandes', '1 puñado de chiles de árbol secos', '2 docenas de ajo', '1 cebolla blanca', '2 trozos de agua', 'sal al gusto', 'pimienta al gusto', '1 pizca de comino']"
Salsa de aguacate para tacos,"¿Has preparado unos tacos, pero te hace falta una buena salsa? En esta oportunidad compartimos una deliciosa receta de salsa de aguacate o palta para que acompañes tus tacos. Esta salsa taquera de aguacate es perfecta para la mayoría de los tacos, como los de arrachera, los tacos al pastor y hasta los tacos de pescado, puesto que tiene el balance perfecto entre acidez, picor y cremosidad. De hecho, en muchas taquerías siempre es la salsa que más piden y claramente se ha vuelto la favorita de muchos, y es que, ¿quién puede resistirse a la combinación de tomate verde, chile serrano y aguacate?Si quieres descubrir cómo hacer salsa de aguacate para tacos, sigue leyendo esta receta paso a paso.","['1\nPara hacer esta receta de salsa de aguacate para tacos, primero limpia y lava muy bien todos los ingredientes. Especialmente es muy importante limpiar los tomates verdes, pues suelen venir con grasa y tierra. Por su parte, a los chiles serrano retírales el tallo, lava y desinfecta el cilantro y pela los dientes de ajo.Si quieres un sabor ligeramente distinto, en la salsa puedes sustituir el chile serrano por chile jalapeño, o bien, si eres valiente y te gusta el picante, puedes añadir chile habanero verde o amarillo. Darle el nivel de picor es completamente al gusto.', '2\nCorta en trozos pequeños el tomate, la cebolla y los dientes de ajo para facilitar más adelante el licuado, se cocine uniformemente y tome mejor sabor.', '3\nCalienta una cucharadita de aceite en una olla o sartén, agrega los tomates verdes, los dientes de ajo, el trozo de cebolla y los chiles serrano. Deja que frían ligeramente con el aceite a fuego medio-alto por unos 3-5 minutos, dando vueltas constantemente para que no se quemen.', '4\nCuando estén ligeramente fritos, pasa los ingredientes a la licuadora con un chorrito de agua, una pizca de sal, una pizca de pimienta, la rama de cilantro y el aguacate previamente pelado y cortado en cubos para facilitar el licuado. Licúa por al menos 3 minutos o hasta que la salsa esté cremosa y ligera.', '5\nUna vez licuada la salsa, ya puedes pasarla a un recipiente. Agrega el jugo de un limón, mezcla, comprueba la sazón y listo, ya podrás disfrutar de una deliciosa y cremosa salsa de aguacate para tacos.Si te apetece probar salsas distintas, no te pierdas esta otra Receta de salsa roja para tacos.']",Valoración: 5 (1 voto),https://www.recetasgratis.net/receta-de-salsa-de-aguacate-para-tacos-76162.html,10 comensales,15m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin gluten', 'Recetas mexicanas']","['3 tomates verdes', '4 trozos de chile serrano', '3 dientes de ajo', '1 aguacate maduro', '1 rama de cilantro', '1 trozo de cebolla', '1 cucharadita de aceite', '1 pizca de sal y pimienta al gusto']"
Salsa de tomate para flautas,"Si has preparado unas ricas flautas, pero te hace falta una buena salsa para acompañar, esta receta de salsa de tomate para flautas es ideal. Asimismo, aprende de una manera muy sencilla a preparar esta elaboración, los ingredientes son pocos y, además, son muy económicos. Al final resultará una salsa para flautas muy rendidora que puede prepararse tanto cocida como cruda, también podrás elegir qué tan picante deseas y el tipo de chile, chile serrano o chile seco como por ejemplo el chile de árbol o el chile morita.En RecetasGratis te enseñamos cómo hacer salsa de tomate para flautas. ¡A cocinar!","['1\nPara empezar con la receta de salsa de tomate para flautas, primero lava muy bien todos tus ingredientes: los jitomates, la cebolla y los chiles, también retira el tallo. A continuación, quita la cáscara a los dientes de ajo.', '2\nPara ayudar a que se licúe más fácilmente, corta en trozos los tomates, la cebolla y los chiles. Si decides usar chile serrano, también puedes retirar las semillas del jitomate y, si no quieres que pique demasiado la salsa, también puedes quitar las semillas, tanto a los chiles de árbol como a los chiles serranos.', '3\nLleva a la licuadora los tomates, la cebolla previamente picada, los chiles, los dientes de ajo, una pizca de sal, una pizca de orégano seco y media taza de agua. A continuación, licua todo muy bien aproximadamente 2-3 minutos hasta obtener una salsa muy ligera.', '4\nCuando hayas licuado la salsa de tomate mexicana, pasa a un recipiente y ya estará lista para servir con tus flautas. Debes saber que las flautas de pollo en salsa roja están exquisitas. Por otro lado, si lo deseas, puedes comprobar el sabor o la sazón y, si lo ves necesario, puedes añadir un poco más de sal al gusto y un poco más de orégano seco. También, si observas la salsa muy espesa, puedes agregar un chorrito de agua.']",,https://www.recetasgratis.net/receta-de-salsa-de-tomate-para-flautas-76155.html,8 comensales,10m,Acompañamiento,Dificultad muy baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas mexicanas']","['4 jitomates medianos', '1 trozo de cebolla blanca', '2 ajo', '1 rama de chiles de árbol secos', '1 pizca de orégano seco', '1 pizca de sal', '½ taza de agua (120 mililitros)']"
Salsa roja para tacos,"Si quieres disfrutar de unos ricos tacos, sabes que no puede faltar en tu comida una salsa picosita. Asimismo, unos dirán que la salsa verde es la mejor, otros que la salsa roja es primordial para unos tacos, pero independientemente de la preferencia de muchos, la mayoría coincide y sabe que un taco sin salsa no es un taco. Por ello, aprende a preparar una deliciosa y picosita salsa roja, una receta tradicional muy sencilla que hará de tus tacos un platillo riquísimo, los ingredientes son muy fáciles de conseguir y, en general, es muy sencilla de preparar.Si quieres saber cómo hacer salsa roja para tacos, sigue leyendo y comprueba lo fácil y delicioso que es. ¡A cocinar!","['1\nPara hacer esta receta de salsa roja para tacos, primero limpia y lava muy bien todos los ingredientes. Para ello, limpia los chiles secos muy bien, quita el tallo y, si no quieres una salsa muy picosa, retira también las semillas. A continuación, lava los tomates, el cilantro y la cebolla. También pela los dientes de ajo.', '2\nEn una sartén o comal caliente tatema los tomates, el trozo de cebolla y los dientes de ajo, proporciona la vuelta constantemente para que se asen uniformemente todo. Debes vigilar que no se quemen los dientes de ajo o tomarán un sabor amargo. Cuando estén suficientemente asados y tatemados, retira los ingredientes de la sartén o comal.', '3\nPon a tatemar los chiles secos, mantén una temperatura muy baja y proporciona la vuelta cuando notes que se inflan un poco.\nTruco: vigila que no se quemen o se amargaran completamente y no se podrán utilizar.', '4\nCuando tengas todos los ingredientes tatemados, es momento de llevar a la licuadora con una taza de agua caliente. A continuación, agrega un poco de sal al gusto y, luego, licúa mínimo 2 o 3 minutos.', '5\nCuando la salsa esté licuada, agrega el cilantro, puedes usar solo las hojas o bien puedes picar finamente. A continuación, mezcla para integrar y, luego, ya estará lista para comer. ¡Acompaña con los tacos que más te gusten!']",,https://www.recetasgratis.net/receta-de-salsa-roja-para-tacos-76153.html,8 comensales,10m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['2 tomate huaje', '5 chiles de árbol secos', '2 chiles morita', '1 trozo de cebolla', '2 dientes de ajo', '1 rama de cilantro fresco', 'sal al gusto', '1 taza de agua caliente']"
Salsa para flautas,"Las flautas son un exquisito platillo que no falta nunca en la cocina de muchas familias, ya que son rápidas de preparar, económicas y rendidoras. Además, es bien sabido que siempre es importante preparar una salsa para acompañar. Asimismo, en algunos lugares incluso esta salsa la vierten sobre todas las flautas. En esta ocasión, te mostramos cómo preparar una salsa mexicana verde para flautas, una elaboración con una textura única y sabor inigualable que hará de este platillo el mejor de todos.En RecetasGratis te enseñamos cómo hacer salsa para flautas mexicanas. ¡A cocinar!","['1\nPara hacer la receta de salsa para flautas, primero limpia muy bien todos los ingredientes. A los tomates verdes o tomatillos, debes retirar la cáscara y lavar muy bien con agua y jabón, pues estos suelen tener tierra. A continuación, retira el tallo de los chiles serrano y lava bien. Luego, pela los dientes de ajo, lava también muy bien el cilantro, la cebolla y el aguacate.', '2\nEn una sartén calienta 1 o 2 cucharadas de aceite vegetal, agrega los dientes de ajo, los chiles y los tomatillos, cocina todos los ingredientes unos 5-6 minutos para que se doren. Mueve constantemente y mantén a una temperatura media baja para evitar se quemen.', '3\nMientras se cuecen los tomatillos, los chiles y los dientes de ajo, pica finamente la cebolla y el cilantro, también corta en cubos pequeños el aguacate y reserva. Puedes poner unas gotitas de limón al aguacate para que no se oxide mientras continúas con la receta, aunque lo ideal es picar al momento.', '4\nCuando los tomatillos, los chiles serranos y los dientes de ajo estén doraditos, lleva a licuar con una media taza de agua, una pizca de sal y una pizca de pimienta, licúa mínimo por 2 minutos.', '5\nCuando esté todo licuado, pasa a un recipiente y agrega la cebolla, el cilantro y el aguacate picados previamente, mezcla para integrar todo. Comprueba de sal y, si lo crees necesario, puedes añadir más sal al gusto. ¡Lista la salsa para flautas ahogadas!']",,https://www.recetasgratis.net/receta-de-salsa-para-flautas-76154.html,8 comensales,15m,Acompañamiento,Dificultad muy baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas mexicanas']","['4 tomates verdes', '3 chiles serrano', '1 pieza de aguacate mediano', '½ pieza de cebolla', '2 dientes de ajo', '1 rama de cilantro fresco', '1 cucharada sopera de aceite', 'sal al gusto', 'pimienta al gusto']"
Salsa para locro,"El locro es un guiso con una base de zapallo, maíz y/o porotos que, según la zona de América del Sur, en particular Argentina, Perú y Bolivia, se incorporan más o menos ingredientes característicos de la región. Su origen es previo al 1800, ya que es una creación de los pueblos originarios. Por ese motivo, se sigue consumiendo en fiestas patrias, como el 25 de mayo (Día de la Revolución) o 9 de julio (Día de la Independencia). Este plato se suele acompañar con una salsa sabrosa y bien condimentada, que puede o no ser picante. Su preparación es muy sencilla y cada familia o cocinero tiene su propio “secreto” para hacerla única.En RecetasGratis te enseñaremos cómo hacer salsa para locro, una receta fresca, rica y fácil. ¡No te la pierdas!","['1\n¿Te preguntas cómo se hace la salsa para el locro criollo? Pues bien, para empezar con la receta de salsa para locro, primero debes limpiar y cortar las ramas de verdeo separando la parte verde de la blanca. Pica ambas partes por separado.', '2\nPela y pica la cebolla blanca para saltearla junto con la parte blanca del verdeo y la cucharadita de aceite en una sartén a fuego máximo. En cuanto empiecen a transparentar, baja el fuego al mínimo y agrega 1 cucharada de agua caliente si se están pegando. Repite unas 2 a 4 veces, para que queden bien cocidas. La última vez, sube el fuego a máximo y reemplaza el agua por el vino o caldo casero.', '3\nMientras, lava y ralla el tomate fresco o pisa el tomate perita de lata.', '4\nSi estabas salteando tus verduras con vino, retíralas una vez que no sientas más olor ácido. Si era con caldo, una vez que este se haya evaporado. Mézclalas junto con el tomate y la parte verde del verdeo en el cuenco donde quieras servir tu salsa. Condimenta a gusto con comino, pimentón y ají molido, si decides utilizarlo para darle un toque picante. ¡Listo!\nTruco: si te gustan las elaboraciones picantes, añade ají molido para elaborar una salsa picante para locro.']",,https://www.recetasgratis.net/receta-de-salsa-para-locro-76001.html,4 comensales,30m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Receta sin sal', 'Recetas argentinas']","['3 ramas de cebolla de verdeo', '1 cebolla blanca mediana', '1 cucharada sopera de pimentón dulce', '½ cucharadita de comino', '1 cucharadita de aceite', '25 centímetros cúbicos de vino blanco o caldo casero', '½ cucharadita de ají molido (opcional)', '½ taza de tomate pisado (opcional)']"
Receta FÁCIL y RÁPIDA,"Los tamales no están completos si no incorporan algún tipo de salsa, sin embargo, aún con todas las variedades de tamales que existen, podrás observar que siempre van acompañados de alguna elaboración, incluso los tamales dulces. Por ello, siempre es delicioso tener la textura de la masa del tamal acompañada con una salsa. Asimismo, si quieres aprender a preparar una rica salsa para tamales, esta receta te va a encantar, ya sea que decidas usarla para el relleno o para bañar el tamal una vez que esté listo.En RecetasGratis te enseñamos cómo hacer salsa para tamales verdes, para que prepares y disfrutes de unos ricos tamales. ¡A cocinar!","['1\nPara hacer esta receta de salsa para tamales, primero limpia muy bien los tomates verdes y los chiles serranos. A continuación, retira la cáscara de los tomates y lava muy bien, ya que estos pueden contener tierra. Luego, retira el tallo de los chiles y también lava muy bien.\nTruco: la cantidad de ingredientes rendirá para medio litro de salsa, puedes duplicar las cantidades según lo requieras.', '2\nEn una olla con suficiente agua, pon a cocer los tomates verdes y los chiles serranos. Cuando hiervan, deja a fuego bajo durante 3 minutos o hasta que, tanto los tomates como los chiles, estén suavizados y hayan cambiado su color. Asimismo, notarás que se tornan de un verde muy opaco, cuando lleguen a ese tono estarán perfectos.', '3\nLleva a licuar junto con el trozo de cebolla, los dientes de ajo, las hojas de epazote, la cucharadita de consomé de pollo en polvo y una taza de agua. Si quieres, puedes usar agua de la misma cocción de los tomates y los chiles, licúa por al menos unos 3 minutos.', '4\nCuando esté licuada la salsa, calienta una cucharada de aceite o manteca en una olla y, después, vacía la salsa y deja cocinar durante 2-3 minutos. Mueve de vez en cuando y mantén a una temperatura baja.', '5\nAgrega una pizca de sal, una pizca de pimienta y una pizca de comino, este puede ser en polvo o entero, el comino complementará el sabor de la salsa y el tamal, también aportará un olor delicioso. Cocina durante 2 minutos más a fuego medio bajo y, luego, estará lista.', '6\nPuedes utilizar la salsa para rellenar el tamal o para bañarlo. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,https://www.recetasgratis.net/receta-de-salsa-para-tamales-76127.html,10 comensales,30m,Acompañamiento,Dificultad muy baja,,"['Recomendada para vegetarianos', 'Recetas mexicanas']","['6 tomates verdes', '1 trozo de cebolla', '3 chile serrano', '2 dientes de ajo', '1 pizca de comino', 'sal al gusto', 'pimienta al gusto', '1 taza de agua (240 mililitros)', '1 cucharadita de consome de pollo', '1 cucharadita de aceite vegetal', '2 hojas de epazote fresco']"
Salsa de chile pasilla,"Si necesitas elaborar una salsa para tus guisados y para complementar tus comidas, esta salsa de chile pasilla te va a encantar. Asimismo, podrás usarla como adobo para bañar o para disfrutar en pequeñas porciones, como por ejemplo, en tacos. También debes saber que el chile pasilla en su versión fresca se puede encontrar como chile chilaca, este es de tonalidad verde y amarilla, no es picoso. Cuando está seco o deshidratado adquiere el nombre de chile pasilla y el sabor tiene acentos dulces que van muy bien con muchas preparaciones.Si te preguntas cómo hacer salsa de chile pasilla con jitomate, no te pierdas esta receta y sigue leyendo. ¡A cocinar!","['1\nPara empezar con la receta de salsa de chile pasilla, primero limpia muy bien los chiles retirando el tallo. Si lo deseas, puedes abrir con unas tijeras y retirar las semillas y las venas también. Es recomendable utilizar guantes o limpiar muy bien las manos para que no queden enchiladas, el chile pasilla no suele ser picante, pero si puede irritar la piel.', '2\nAñade en remojo los chiles pasilla ya limpios en un recipiente con una taza y media de agua caliente, deja reposar durante 10 minutos hasta que estén perfectamente suavizados. Es importante que el agua esté caliente, también puedes llevarlos a una olla y dejar que hiervan unos 3 minutos.', '3\nMientras reposan los chiles en el agua, en una sartén calienta dos cucharadas de aceite y, enseguida, añade el trozo de cebolla, los dientes de ajo, los tomates verdes y el jitomate, fríe moviendo constantemente durante 5 minutos.', '4\nLleva a licuar todo junto: los chiles pasilla remojados en agua, los tomates, el jitomate, la cebolla y el ajo frito. Agrega un poco de agua de los chiles y también un poco de sal, pimienta y orégano, licúa durante 3 minutos.', '5\nEn pocos minutos tendrás una deliciosa salsa para acompañar los ingredientes que desees. Asimismo, en una sartén asa media cebolla fileteada y unos filetes de carne, que puede ser arrachera o cualquier otro tipo de carne. Cocina hasta llegar al punto de cocción deseado.\nTruco: debes saber que la carne de puerco en salsa de chile pasilla está deliciosa.', '6\nSirve en tortillas de maíz y baña con la salsa de chile pasilla. ¡Disfruta el rico y ligeramente dulce sabor del chile pasilla agregando un toque de limón! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,https://www.recetasgratis.net/receta-de-salsa-de-chile-pasilla-76128.html,6 comensales,30m,Acompañamiento,Dificultad baja,,[],"['6 chile pasilla', '2 tomates verdes', '1 jitomate', '1 trozo de cebolla', '2 dientes de ajo', '1 pizca de sal', '1 pizca de pimienta', '1 pizca de orégano seco', '2 cucharadas soperas de aceite', '1½ tazas de agua caliente', '4 filetes de arrachera o carne al gusto', '½ cebolla', 'sal y pimienta al gusto']"
