title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Chutney de mango,"El chutney de mango es un tipo de mermelada con especias muy utilizada en la cocina hindú. Su preparación es muy sencilla y sin duda te ayudará a realzar el sabor de tus platos favoritos. Sigue paso a paso esta receta india y sorprende a todos con un acompañante exótico y original, una salsa agridulce que realzará el sabor de tu mejores platos.","['1\nPara hacer esta receta india utilizaremos la variedad de mango conocida como manga, procurando que estén bastante maduros. Teniendo esto en cuenta, pela y corta la fruta en trozos pequeños.', '2\nA continuación, mezcla el mango con todas las especias. La idea es que se forme como un puré con algún que otro trozo entero de fruta. Deja esta preparación marinando de un día para otro.\nTruco: Recuerda que la guindilla es un ingrediente opcional que aportará un toque picante a la receta.', '3\nAl día siguiente, pica finamente la cebolla y el ajo y añade esto al puré de mango. Añade también el resto de ingredientes de la receta y revuelve hasta repartir de forma más o menos uniforme.', '4\nCocina el mango a fuego a suave durante unos 60-90 minutos, removiendo de forma ocasional para evitar que se pegue. El resultado debe tener una textura como de mermelada.\nTruco: Puedes pasar el chutney ya listo por la licuadora para conseguir una textura lisa o si prefieres puedes dejarlo así y sentir los trozos de fruta dentro de la salsa.', '5\nDeja reposar y cuando el chutney de mango haya tomado temperatura ambiente, conserva en la nevera dentro de un frasco de cristal. Esta salsa de mango hindú la puedes utilizar para acompañar carnes como el magret de pato o las típicas samosas indias.']","Valoración: 3,3 (3 votos)",1 comensal,30m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas indias']","['3 Mangos maduros', '225 gramos de Azúcar moreno (1¼ tazas)', '225 mililitros de Vinagre', '1½ cucharadas soperas de Canela en polvo', '1½ cucharadas soperas de Curry', '1 cucharada sopera de Jengibre molido', '1 unidad de Cebolla', '1 diente de Ajo', '1 pizca de Sal', '1 pizca de Guindilla en polvo (opcional)']",https://www.recetasgratis.net/receta-de-chutney-de-mango-57590.html
Salsa crudivegana de tomate,"Las salsas crudiveganas están hechas a base de ingredientes crudos que no provienen de los animales. La receta que os proponemos en RecetasGratis.net es una salsa crudivegana de tomate que combinamos con el dulzor de la ciruela y el picante de la pimienta. Esta salsa no sólo es para quienes lleven una dieta vegana, sino que se puede incluir en todo tipo de dietas. Anímate y disfruta de esta salsa de tomate diferente y saludable.","['1\nReunimos todos los ingredientes para elaborar la salsa crudivegana de tomate.', '2\nPelamos el ajo y ponemos la mitad en una vaso de batidora. Recuerda eliminar el centro del ajo, esa parte que es más oscura, ya que tiene un sabor amargo que no nos interesa.', '3\nPelamos las ciruelas, quitamos el hueso, las troceamos y las ponemos en el vaso de la batidora. Otra fruta que combina bien con el tomate es el mango.', '4\nPelamos los tomates, los troceamos y los añadimos al vaso de la batidora.', '5\nAgregamos el comino, la pimienta, la sal y un chorrito de aceite. Batimos la salsa crudivegana de tomate. Si la salsa queda muy espesa podemos añadir un poco de agua.', '6\nComo no hemos quitado las pepitas del tomate, debemos pasar la salsa por un colador para que quede más fina y sin grumos.', '7\nEsta receta de salsa crudivegana de tomate es ideal para combinar con verduras asadas. En RecetasGratis.net podéis encontrar otras salsas veganas como el pesto rojo vegano o la salsa de ajo vegana. ¡Que disfrutéis!']",,2 comensales,15m,,Dificultad baja,,['Recomendada para veganos'],"['2 unidades de Tomate', '2 unidades de Ciruelas negras', '1 pizca de Comino molido', '1 pizca de Pimienta blanca molida', '½ diente de Ajo', '1 pizca de Sal', '1 chorro de Aceite de oliva']",https://www.recetasgratis.net/receta-de-salsa-crudivegana-de-tomate-57502.html
Salsa satay,"La salsa satay proviene de Indonesia y se elabora con mantequilla de maní, principalmente, aunque también cuenta con sabores fuertes, ya que contiene ingredientes como ajo, jengibre y ají. Es ideal para acompañar brochetas de pollo o de langostinos. Sigue leyendo y descubre el paso a paso en RecetasGratis.net para elaborar esta deliciosa salsa satay.","['1\nAntes de realizar esta receta asiática, el primer paso es alistar todos los ingredientes.', '2\nEn una sartén con aceite caliente, sofríe la cebolla cortada en cubos pequeños hasta que esté blanda. Luego, agrega el ajo y el jengibre cortado finamente, mezcla y cocina un minuto mas.', '3\nAgrega un poco de agua y el zumo de limón para seguir con la elaboración de la salsa para pescados. Deja cocinar durante 1 minuto más.', '4\nEs momento de añadir la mantequilla de maní y la salsa de soja; mezcla todo muy bien.', '5\nPara obtener una textura más espesa, licua la salsa con la guindilla roja cortada finamente. Después, agrégala de nuevo a la sartén y deja cocinar un minuto más, rectifica sabor con sal y pimienta.', '6\nSirve la salsa satay y disfruta. Esta preparación asiática es ideal para acompañar brochetas de todo tipo y pescados a la plancha. Cuéntamos qué te ha parecido y con qué comida has decidido acompañarla.']",Valoración: 5 (2 votos),2 comensales,30m,Acompañamiento,Dificultad baja,,[],"['2 cucharadas soperas de Mantequilla de maní', '2 dientes de Ajo', '1 cucharadita de Jengibre', '1 cucharadita de Guindilla roja', '80 gramos de Cebolla blanca', '1 cucharada sopera de Salsa de soja', '1 unidad de Limón', '2 cucharadas soperas de Aceite', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salsa-satay-57493.html
Salsa puttanesca,"La salsa puttanesca se utiliza para acompañar pastas, es originaria del centro de Italiay su preparación es fácil y rápida. Entre los ingredientes de esta famosa salsa roja para pastas encontramos el puré de tomate, las anchoas y las aceitunas, todos aportando un sabor increíble a la receta.","['1\nAntes de realizar la salsa puttanesca, el primer paso es alistar todos los ingredientes.', '2\nEn un sartén con aceite, sofreír el ajo cortado finamente a fuego muy bajo durante 1 minuto.', '3\nAparte en un procesador, agregar los trozos de tomate y licuar muy poco hasta obtener un puré grumoso, no debemos obtener un jugo de tomate.\nTruco: También podemos utilizar puré de tomate en lata.', '4\nAgregar el puré al sartén y cocinar a fuego bajo durante 15 minutos, revolviendo constantemente, salpimentar.\nTruco: Tener cuidado con la sal, ya que las anchoas son ya saladas. Te recomiendo dejar la sal para el final porque puede que no necesites añadir nada extra.', '5\nAgregar las aceitunas cortadas por la mitad, las alcaparras y las anchoas cortadas finamente, cocinar a fuego lento durante 10 minutos más.', '6\nFinalmente agregar el perejil finamente cortado y mezclar todo muy bien.', '7\nServir la salsa puttanesca y espolvorear con queso parmesano, esta salsa es ideal para acompañar cualquier tipo de pasta. Y si te gustan las salsa rojas puedes probar la salsa arrabiata o la deliciosa salsa pomodoro.Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']","Valoración: 4,9 (8 votos)",2 comensales,30m,Plato principal,Dificultad baja,,[],"['4 unidades de Tomates rojos', '2 cucharadas de postre de Aceitunas negras', '2 cucharadas de postre de Aceitunas verdes', '2 filetes de Anchoas', '2 unidades de Ajo', '2 cucharadas de postre de Alcaparras', '1 cucharada sopera de Aceite de oliva', '1 cucharada postre de Perejil', '2 cucharadas soperas de Queso parmesano', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salsa-puttanesca-57484.html
Salsa de berenjena para pasta,"¿Cansado de acompañar tus pastas siempre con las mismas salsas? Entonces prueba esta salsa de berenjena y tomate, que te servirá tanto para una pasta como para una carne a la brasa. Sigue leyendo y descubre con RecetasGratis.net los pasos a seguir para elaborar esta increíble salsa.","['1\nPreparamos los ingredientes para esta salsa para pasta, a base de berenjena y salsa de tomate. Las especias son opcionales, o puedes incluir alternativas.', '2\nLavamos la berenjena y la cortamos en daditos. En una sartén la freímos con un poco de aceite.', '3\nCuando la berenjena esté lista, añadimos la salsa de tomate, junto a la hoja de laurel y las hojas de albahaca previamente lavadas y troceadas. También añadiremos un poco de azúcar para eliminar la acidez del tomate, así como sal, orégano y pimienta negra al gusto. Dejaremos que se cocine el conjunto durante unos cinco minutos, o hasta que el agua de la salsa de tomate se haya evaporado.', '4\nVertemos la mezcla para esta salsa de berenjena en el vaso de la licuadora, junto a queso parmesano al gusto. Lo licuamos todo bien fino.', '5\nSi queda muy espesa, hay que añadir aceite de oliva.', '6\nLa salsa de berenjena ya está lista. Puedes servirla a la mesa en un bol, si es para acompañar una carne.', '7\nEsta salsa de berenjenas es ideal para una pasta corta. ¿Qué plato harías tú con esta salsa? Déjanos un comentario y cuéntanos cómo te ha salido.']","Valoración: 4,6 (5 votos)",2 comensales,15m,Acompañamiento,Dificultad baja,,[],"['1 unidad de Berenjena', '½ lata de Salsa de tomate', '1 hoja de Laurel', '2 hojas de Albahaca', '1 chorro de Aceite de oliva', '1 cucharadita de Azúcar', '1 cucharadita de Sal', '1 pizca de Pimienta negra', '1 pizca de Orégano', '1 cucharada sopera de Queso parmesano']",https://www.recetasgratis.net/receta-de-salsa-de-berenjena-para-pasta-57411.html
Aderezo para ensalada cítrica,El aderezo para ensalada cítrica que os proponemos en RecetasGratis.net está elaborado a base de frutas cítricas y vinagre de módena. Esta forma de aliñar las ensaladas es distinta y más original que la típica vinagreta de vinagre y aceite. Animaos a preparar este buenísimo aderezo para darle vida a las ensaladas de siempre.,"['1\nReunimos todos los ingredientes para preparar el aderezo para ensalada cítrica.', '2\nEn un bol, mezclamos los zumos, tanto el de pomelo como el de lima junto con la ralladura de naranja y el azúcar. Movemos hasta que se integre bien el azúcar.', '3\nA continuación, añadimos el vinagre balsámico, el aceite de oliva y una pizca de sal. Mezclamos con un tenedor o unas barillas.', '4\nPrueba la vinagreta y corrige la sazón si es necesario. Luego ya podrás servir y disfrutar el aderezo para ensalada cítrica con la ensalada de bacalao y naranja o con un carpaccio de ternera con parmesano. ¡Esperamos vuestros comentarios!']",,2 comensales,15m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['2 cucharadas soperas de Zumo de lima', '2 cucharadas soperas de Zumo de pomelo', '1 cucharadita de Azúcar', '1 pizca de Sal', '1 cucharada postre de Vinagre balsámico', '3 cucharadas soperas de Aceite de oliva', '1 cucharadita de Ralladura de naranja']",https://www.recetasgratis.net/receta-de-aderezo-para-ensalada-citrica-57402.html
Salsa de maní picante,"La salsa de maní picante es perfecta para acompañar pescados y pollo. Esta salsa es muy fácil y rápida de realizar, tiene un sabor fuerte y también se puede consumir fría con ensaladas frescas. Si no tienes mantequilla de maní puedes utilizar maní natural tostado y posteriormente licuado. Sigue el paso a paso y aprende a preparar esta deliciosa salsa de maní con RecetasGratis.net.","['1\nAntes de realizar esta receta el primer paso es alistar todos los ingredientes.', '2\nEn un sartén con aceite, sofreír la cebolla finamente picada a fuego bajo, hasta que esté blanda.', '3\nA continuación, en un bol mezclar la mantequilla de maní, el zumo de limón, el ají tabasco y la cebolla cocinada. Recuerda que si no consigues la mantequilla puedes hacerla tú mismo siguiendo la receta de mantequilla de maní.', '4\nAgregar la salsa de soya y un poco de agua hasta obtener la textura de una salsa espesa, rectificar sabor con sal y pimienta.\nTruco: También se puede utilizar caldo de pollo.', '5\nFinalmente servir la salsa de maní picante y añadir un poco de maní cortado en trozos y disfrutar. Te recomendamos probar esta salsa como acompañante de un pollo a la plancha o mejor aún, unas croquetas de pescado y surimi o unos palitos de pescado. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']",,3 comensales,30m,,Dificultad baja,,['Recomendada para veganos'],"['3 cucharadas soperas de Mantequilla de maní', '50 gramos de Cebolla blanca', '2 unidades de Limón', '1 unidad de Salsa de soja', '1 cucharadita de Ají tabasco', '2 cucharadas soperas de Maní natural', '1 cucharada sopera de Aceite de oliva', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salsa-de-mani-picante-57287.html
Mayonesa de aguacate,La mayonesa de aguacate no es más que una salsa con un toque casero diferente. Las mayonesas saborizadas se realizan a partir de una mayonesa casera añadiendo algunos ingredientes extras al final. Veamos el paso a paso de esta receta fácil y utiliza la mayonesa de aguacate para darle un sabor original a tus platos.,"['1\nNuestro primer paso para realizar la receta de mayonesa casera es prealistar los ingredientes.', '2\nLo primero que debemos hacer es separar en un tazón las yemas y las claras. Para hacer la mayonesa de aguacate sólo necesitaremos las yemas de huevos. Las claras puedes reservarlas para hacer un desayuno ligero como ejemplo unos huevos con nopales light.', '3\nCon un batidor de mano ve batiendo y añade el aceite en forma de hilo, como se observa en la fotografía. De esta manera los ingredientes van emulsionando de forma pareja.\nTruco: La cantidad de aceite es relativo pero si podemos decir que esta salsa contiene bastantes calorías ya que su cantidad de grasa es alta.', '4\nA medida que ve batiendo junto con el aceite, la mayonesa va cogiendo cuerpo y va emulsionando. Este proceso es lento y tienes que hacerlo con mucho cuidado.', '5\nLo ideal es obtener una crema de consistencia cremosa y color blanquecino, como la que observas el la foto. Si deseas puedes añadir sal, pimienta negra y un poquito de pasta de ajo al gusto.', '6\nPara aclarar un poco la mayonesa casera añade el vinagre blanco y el zumo de los limones, de esta manera observarás que va a tomar un tono más claro.', '7\nA continuación, añade el aguacate en trozos irregulares y mezcla muy bien los ingredientes hasta que se integren en su totalidad.', '8\nPor último y para dar un toque de sabor extra a nuestra receta de mayonesa saborizada, añade el cilantro fresco o si deseas puedes cambiarlo por perejil. Mezcla muy bien los ingredientes y estará listo para servir.\nTruco: Si deseas puedes rectificar el sabor agregando algún ingrediente más que sea de tu preferencia', '9\nSirve nuestra mayonesa de cilantro y disfruta con lo que desees. Es importante que la mantengas refrigerada en la nevera hasta el momento de consumir, lo ideal es acompañarlo como aderezo de ensaladas, pescados blancos hasta con patatas fritas queda realmente exquisito. Si deseas más recetas de salsas y tienes algún comentario o inquietud, escríbenos.¡Disfruta!']","Valoración: 4,8 (4 votos)",4 comensales,30m,,Dificultad baja,,[],"['2 unidades de Huevos', '1 chorro de Aceite de girasol u Oliva', '1 unidad de Aguacate maduro', '2 cucharaditas de Zumo de limón', '1 cucharadita de Vinagre blanco', '1 pizca de Sal', '1 cucharadita de Pasta de ajo', '1 pizca de Pimienta negra', '1 cucharadita de Cilantro fresco']",https://www.recetasgratis.net/receta-de-mayonesa-de-aguacate-57243.html
Aderezo de cilantro para ensaladas,"En esta receta vamos a realizar un aderezo para ensaladas con un ingrediente muy popular y fácil de conseguir. Un aderezo cremoso ideal para quienes quieren comer de forma saludable y cuidar la dieta, pues está salsa se hará a base de yogur griego. Vamos a ver el paso a paso del aderezo de cilantro para ensaladas y manos a la obra.","['1\nEl primer paso para realizar el aderezo de cilantro es prealistar los ingredientes.', '2\nEn un bol o tazón adiciona el yogur griego, sal, pimienta negra y pasta de ajo al gusto. Mezcla bien todos los ingredientes.\nTruco: Si no consigues yogur griego puedes usar yogur natural clásico', '3\nAñade el aceite de oliva y el vinagre blanco. Mezcla bien los ingredientes del aderezo de cilantro para ensaladas.', '4\nAñade el zumo de los limones. Prueba el aderezo para ensaladas y añade más o menos limón para dejarlo a tu gusto.', '5\nPor último, pica muy fino el cilantro y luego añádelo a la mezcla anterior. Mezcla bien los ingredientes de nuestro aderezo cremoso.', '6\nLo ideal es que obtengamos una salsa cremosa como la que se observa en la fotografía. Refrigera y saca justo antes de servir.\nTruco: Puedes almacenar el aderezo en un frasco de vidrio esterilizado y tenerlo en la nevera o refrigerador hasta por 15-20 días aproximadamente', '7\nEste delicioso aderezo de cilantro para ensaladas combinará perfectamente con una ensalada de quinoa o una ensalada de granada y nueces. Si deseas más recetas de salsa o guarniciones y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']","Valoración: 4,5 (2 votos)",4 comensales,30m,,Dificultad baja,,['Recomendada para perder peso'],"['1 taza de Cilantro', '2 tazas de Yogur griego sin azúcar', '2 unidades de Limones', '1 pizca de Pasta de ajo', '2 cucharadas soperas de Aceite de oliva', '1 cucharadita de Vinagre blanco', '1 pizca de Sal', '1 pizca de Pimienta negra']",https://www.recetasgratis.net/receta-de-aderezo-de-cilantro-para-ensaladas-57241.html
Salsa de arándanos con mermelada,"En esta receta vamos a realizar una salsa de arándanos para acompañar cualquier tipo de carnes blancas o rojas, combinada con una fruta muy apatecida: la piña. Esta salsa agridulce es ideal para acompañar las recetas de Navidad, pues se trata de una elaboración sencilla pero sofisticada y elegante al mismo tiempo. Sigue leyendo y aprende con RecetasGratis.net a cocinar esta exquisita salsa de arándanos con mermelada.","['1\nEl primer paso para realizar nuestra salsa casera es prealistar los ingredientes.', '2\nEn un bol adiciona los arándanos e hidrátalos con la mitad del Brandy.', '3\nLleva una sartén a fuego medio y agrega un poquito de aceite de oliva. Cuando esté caliente, añade la cebolla roja finamente picada y saltéala un poco.', '4\nAgrega la piña en cuadros y saltea con la cebolla roja durante algunos minutos más.', '5\nVierte el vinagre blanco, el azúcar y deja conserva durante unos minutos más. Apaga el fuego.', '6\nLleva la preparación del paso anterior a una olla más honda, agregando los arándanos previamente hidratados con el Brandy y un poco de tomillo. Deja conservar nuestra salsa a fuego medio hasta que reduzca y este líquido se espese y se forme una mermelada. De esta forma, en lugar de utilizar una mermelada industrial, usaremos una elaborada por nosotros mismos, mucho más natural.', '7\nLo ideal es obtener una salsa espesa con las frutas que tenemos en esta receta, puedes dejarla más líquida o más espesa, como tú desees, lo importante es que el sabor sea el ideal para ti. Agrega el resto del Brandy, sal y pimienta negra al gusto. Apaga el fuego y deja enfriar.', '8\nSirve la salsa de arándanos con mermelada para que cada comensal acompañe la carne con la cantidad deseada. Si la quieres más suave, puedes licuarla o procesarla para que se integren todos los ingredientes, o dejar la fruta entera para que las personas identifiquen un poco los alimentos que están consumiendo en la salsa. Esta preparación es realmente deliciosa, ya que tenemos un sabor agridulce ideal para acompañar carnes frías o caliente. También es ideal para Navidad y Acción de Gracias, pues encaja a la perfección con una buena pechuga de pavo al horno. ¡Buen provecho!']",Valoración: 5 (2 votos),8 comensales,1h 30m,,Dificultad baja,,['Recetas para Navidad'],"['250 gramos de Arándanos', '150 gramos de Piña', '1 taza de Vinagre blanco', '1 taza de Azúcar blanco', '1 copa de Brandy', '1 unidad de Cebolla roja', '1 pizca de Tomillo', '1 pizca de Sal', '1 pizca de Pimienta', '1 chorro de Aceite de oliva']",https://www.recetasgratis.net/receta-de-salsa-de-arandanos-con-mermelada-57190.html
