title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Crema de ave casera,,"['1\nLavar el pollo bajo el chorro de agua fría quitándole la piel; ponerlo en una olla con agua y una pizca de sal a cocer, tapándolo hasta que rompa el hervor.', '2\nAtar la rama de apio con el perejíl y añadirlo al caldo, así como los clavos.', '3\nLavar y pelar el puerro y partirlo en dos; pelar los nabos y la zanahoria y añadirlos a la olla en trozos medianos.', '4\nCuando empiece a hervir, destapar y espumar el caldo, dejándolo ¿ hora cociendo. Pasado este tiempo, retirar la pechuga de pollo y dejar escurrir.', '5\nCortarlos en cuadrados menudos y regulares.', '6\nPoner una sartén con una nuez de mantequilla a fundir y añadir la pechuga de pollo y el estragón en rama.', '7\nSaltear 2 minutos y reservar. Pasada 1 hora de cocción, retirar y pasar por un colador fino; poner de nuevo al fuego con la harina de arroz y con la leche, dejándolo que hierva a fuego medio hasta que comience a espesar ligeramente.', '8\nAñadir ahora el pollo rehogado y rectificar la sal y la pimienta.', '9\nDar un nuevo hervor y dejar reposar ¿ hora al menos antes de servirlo.', '10\nEn ese momento, mezclar con las yemas de huevo batido y batir con varillas, templar suavemente y servir adornado con hojas de estragón.']","Valoración: 3,5 (10 votos)","['250 g pechuga de pollo', '1 contramuslo de pollo', '1 puerro grande', '2 nabos', '2 tallos de apio y', 'una rama de perejil', '2 zanahorias', '250 ml leche', '25 g harina de arroz', '2 yemas de huevo', '1 y 1/2 l agua', '2 clavos y', 'estragón en rama', '1 nuez de mantequilla', 'sal', 'pimienta blanca']",https://www.recetasgratis.net/receta-de-crema-de-ave-casera-29498.html,,,,,,
SOPA DE BERROS,,"['1\nCortar los tallos a los berros sin deshacer los manojos; ponerlos dentro de un caldero con abundante agua y limpiarlos separando las hojas de los tallos que hayan quedado.', '2\nReservar las hojas limpias en la nevera. Pelar las cebolletas retirando el extremo y picar en trozos menudos. Pelar las patatas y cortar en cubos irregulares.', '3\nEn una olla mediana poner el aceite a templar con las cebolletas y saltear durante cinco minutos, añadir un poco de sal, agregar los berros y la maizena y remover con una cuchara.', '4\nAñadir las patatas y cubrir de caldo, dejando cocer la sopa a fuego medio durante 15-20 minutos, hasta que las patatas estén bien deshechas.', '5\nMover la sopa de vez en cuando con una cuchara durante la cocción.', '6\nPasar el caldo a una licuadora y añadir la crema de queso hasta dejarla fina, si fuera necesario, colar por un chino. De nuevo en la olla, se templará antes de servirla.', '7\nIncorporando la nata con varillas y rectificando el punto de sal y pimienta. Servir en tazas individuales adornadas con algún manojito de berros.']","Valoración: 3,6 (12 votos)","['3 manojos de berros', '1 ramo de ceboletas frescas', '2 patatas medianas', '1 cucharada maizena', '1 l caldo vegetal o agua', '4 cucharadas nata', '2 cucharadas queso de crema', '3 cucharadas aceite', 'Sal', 'Pimienta blanca']",https://www.recetasgratis.net/receta-de-sopa-de-berros-29371.html,,,,,,
SOPA DE LINO Y CEBADA,,"['1\nPreparar un caldo corto de verduras con zanahoria, nabo, puerro y brécol con un litro y medio de agua fría y sal; cortar las verduras en trozos gruesos y dejar cocer una hora a fuego medio.', '2\nColar el caldo y reservarlo para la receta.', '3\nLas verduras se pueden utilizar como guarnición de otra receta.', '4\nPaso 2 Tostar ligeramente en una sartén los granos de lino y el comino; ponerlo en una cacerola junto a la harina de cebada y la mantequilla y removerlo con una cuchara, hasta mezclarlo muy bien, a fuego suave.', '5\nIr incorporando el caldo frío poco a poco hasta terminarlo y hacer hervir la sopa por espacio de 20 minutos.', '6\nPaso 3 Pasado este tiempo, añadir las hierbas aromáticas y darles un nuevo hervor, retirándolo del fuego.', '7\nMezclar en un cuenco aparte la nata, el yogur y la yema hasta lograr una crema homogénea; añadirla al fondo de la sopera y verter el caldo bien caliente por encima; darle una vuelta con una cuchara, y servirlo enseguida, adornado con alguna hierba fresca.']","Valoración: 3,3 (3 votos)","['1 l caldo de verduras', '2 cucharadas granos de lino', '40 g harina de cebada', '20 g mantequilla', '1/2 yogur natural y la misma cantidad de nata líquida', '1 cucharadita comino en polvo', 'hierbabuena', 'mejorana', 'albahaca', '1 yema de huevo', 'una pizca de sal']",https://www.recetasgratis.net/receta-de-sopa-de-lino-y-cebada-29357.html,,,,,,
SOPA DE HORTALIZAS CON SORPRESA,,"['1\nPelar los hinojos, retirando la primera capa de hojas y el tallo; picar en trozos grandes y pasar por agua; limpiar los puerros limpiando la tierra y cortar en aros: raspar las zanahorias y partirlas en trozos grandes, así como el tallo de apio perfectamente limpio.', '2\nLavar la col cortándole el tallo.', '3\nPaso 2 Poner todas las hortializas en una olla con dos litros de agua con sal y un chorro de aceite, dejándola cocer a fuego medio, aproximadamente una hora después de que comience a hervir.', '4\nEspumar las veces que sea necesario durante la cocción.', '5\nPasado este tiempo, colar el agua del caldo y añadir las hierbas frescas.', '6\nPaso 3 Hacer las bolitas de sémola: fundir la mantequilla en un cacito; retirar del fuego y mezclar con la sémola; añadir el huevo batido; sazonar con las especias y salar ligeramente.', '7\nRemover con una cuchara de madera hasta lograr una mezcla homogénea y bien espesa: dejar reposar en lugar frío cinco minutos.', '8\nPoner el caldo anterior a calentar e ir formando bolitas del tamaño de una avellana, con la ayuda de una cucharita; las echamos en el caldo y las dejamos cocer 10 minutos, sirviéndolo enseguida para que no se deshagan.']",Valoración: 4 (1 voto),"['2 l agua', '2 hinojos medianos', '2 puerros', '2 zanahorias medianas', '1 trozo de col rizada', '1 tallo grueso de apio blanco', '1 rama de perejil', 'mejorana o albahaca fresca', 'sal', 'chorrito de aceite de oliva', '1 huevo', '40 g mantequilla fundida', '80 g sémola de trigo', 'una pizca de sal', 'perejil', 'nuez moscada']",https://www.recetasgratis.net/receta-de-sopa-de-hortalizas-con-sorpresa-29356.html,,,,,,
Caldo gallego con patatas,,"['1\nDejar las alubias 12 horas en remojo. Llenar una olla con dos litros de agua y ponerla a cocer con el unto y el chorizo; cuando comience a hervir, espumar hasta que el caldo quede limpio.Escurrir las alubias y añadirlas al caldo; cuando de nuevo rompa el hervor, bajar el fuego para que cueza de forma continua pero lenta, con burbujas suaves, espumar de nuevo si fuera necesario.Pelar las patatas partirlas en dos y echarlas en el caldo; lavar los grelos quitándoles el tallo grueso y picarlo, cortarlo mediano y agregarlo a la olla, dejando cocer lentamente, hasta que esté todo tierno, y la patata deshecha, cuanto más lento cueza, mejor resultado obtendremos. Servir en cuencos de barro para mantener el caldo muy caliente.']","Valoración: 3,3 (9 votos)","['1 manojo de grelos', '1/4 kilo de alubias blancas', '1 trozo de unto o tocino o manteca de cerdo', '1 chorizo del año', '3 patatas gallegas', 'sal']",https://www.recetasgratis.net/receta-de-caldo-gallego-con-patatas-29288.html,,,,,,
Consome al jerez con trufa laminada,,"['1\nLavar las carnes y despojarlas de la grasa y de pieles; pelar los puerros, el nabo y la zanahoria y pinchar el clavo en el tallo del puerro.', '2\nPoner a cocer las carnes en una marmita, a fuego vivo y en agua fría, e ir espumando el caldo.', '3\nAñadir las verduras peladas y enteras y salar; cuando rompa el hervor bajar el fuego a temperatura media, para que el caldo burbujee de forma lenta durante dos horas.', '4\nRetirar del fuego y sacar las carnes que aprovecharemos para otras recetas.', '5\nSe deja enfriar el caldo y se cuela, pasándolo por un chino, para desgrasarlo (si se puede, es preferible hacer esta operación, dejando enfriar el caldo varias horas antes, para que se recoja toda la grasa en la superficie).', '6\nBatimos las claras con un tenedor y las añadimos al caldo, poniéndolo de nuevo a hervir, volviéndolo a colar por un paño fino de algodón mojado en agua fría para que la grasa restante se quede pegada.', '7\nAsí pues el caldo estará listo para añadirle la trufa laminada y el jerez; se templará de nuevo antes de servir .']","Valoración: 3,5 (10 votos)","['2 l de agua', '500 g morcillo', '1 hueso de caña', 'Media gallina', '2 puerros', '1 nabo', '1 zanahoria', '1 ramo de perejil', '1 clavo', '1 clara de huevo, sal', '3 cucharadas fino seco y una trufa laminada para acompañar']",https://www.recetasgratis.net/receta-de-consome-al-jerez-con-trufa-laminada-29243.html,,,,,,
SOPA NAVARRA,,"['1\nDesmenuzar el chorizo y picar el jamón; pelar la cebolla, la patata, el puerro, el ajo, la zanahoria y la calabaza; retirar las hebras y los extremos a las judías y picarlo todo. Quitar los tallos a la coliflor, dejando solo los ramitos.Sofreir en una olla grande con aceite, el jamón y el chorizo; agregar la cebolla, el puerro y el ajo y dorar ligeramente dándoles vueltas con una cuchara.Añadir el pan y dorarlo y por último agregar el resto de las verduras dejando rehogar el conjunto durante 10 minutos; salpimentar.', '2\nAñadir el caldo, tapar la olla y dejar cocer aproximadamente una hora a fuego suave.', '3\nCuando estén tiernos todos los ingredientes, pasamos la sopa a una cazuela de barro, resistente al fuego y la introducimos en el horno fuerte hasta que se forme costra. Servir de inmediato.Se puede acompañar de huevos escalfados.']","Valoración: 3,3 (9 votos)","['75 g chorizo', '75 g jamón serrano', '4 rebanadas de pan tostado', '3 cogollos de lechuga', '3 patatas', '2 puerros', '1 cebolla', '2 dientes de ajo', '2 zanahorias', '150 g judías verdes', '200 g calabaza', '1 corazón de coliflor pequeña', '6 cucharadas aceite de oliva', '1 l caldo o más si fuera necesario', 'sal y pimienta blanca']",https://www.recetasgratis.net/receta-de-sopa-navarra-29210.html,,,,,,
CREMA DE PEPINO Y YOGUR,,"['1\nLavar las hojas de lechuga y saltear un minuto en una sartén con una nuez de mantequilla y pizca de azúcar.', '2\nDejar enfriar.', '3\nPelar los pepinos y escaldarlos en agua salada unos segundos; pasar por agua fría y cortar en rebanadas gruesas.', '4\nQuitar el corazón al ajo y laminarlo.', '5\nPaso 2 Poner en un vaso licuador, los pepinos, las lechugas, el ajo, el yogur y la menta.', '6\nSalpimentar y batir vigorosamente, hasta lograr una crema fina.', '7\nVolverlo a batir suavemente añadiendo la nata poco a poco, la alcaravea y el vinagre.', '8\nPaso 3 Colarlo por un tamiz fino y conservar en la nevera.', '9\nServir muy fría con unas hojas de hierbabuena fresca.']",Valoración: 4 (4 votos),"['5 pepinos', '8 hojas de lechugas', 'nuez de mantequilla', '1 diente de ajo pequeño', '1 yogur griego', '200 ml de nata líquida', '8 hojas de hierbabuena', '2 cucharadas de vinagre suave', 'pizca de azúcar', 'alcaravea', 'sal', 'pimienta negra']",https://www.recetasgratis.net/receta-de-crema-de-pepino-y-yogur-29149.html,,,,,,
GAZPACHO CON ATÚN Y SALMON FRESCO,,"['1\nComprar la parte más blanca del lomo de atún y el salmón.', '2\nRetirar la piel y espinas. Lavar y dejar secar, manteniéndolo en la nevera tapado.', '3\nPelar los tomates y despepitarlos; cortarlos en trozos pequeños y colocarlos sobre un bol batidor.', '4\nTomar la mitad del pepino y el pimiento, pelarlos y despepitarlos, y añadirlo a los tomates asi como el diente de ajo limpio.', '5\nBatir hasta conseguir una mezcla bien líquida, añadiendo sal, vinagre y aceite y unas gotas de tabasco.', '6\nPasar bien por un chino hasta conseguir una consistencia de crema ligera.', '7\nMeter en la nevera dos horas antes de servirlo.', '8\nPelar las cebollas y remojar bien en aguas; cortar en pequeños cubitos asi como la mitad del pepino y pimiento, del mismo tamaño.', '9\nPicar finamente el estragón y perejil.', '10\nExprimir un limón.', '11\nCortar las rodajas de pescado en tiras de cinco centímetros y diez minutos antes de servir, salar ligeramente y macerar con el zumo de limón, dejándolo en la nevera.', '12\nDisponer en cuatro cuencos con las tiras de pescado en el fondo, cubrir con la crema de tomate y espolvorear con los cubitos de verduras picadas y las hierbas frescas.']","Valoración: 3,3 (12 votos)","['1 kg de tomates bien maduros', '1 pepino grande', '1 pimiento rojo', '1 diente de ajo', '3 cucharadas aceite de oliva', '2 cucharadas vinagre de vino', 'Tabasco', 'Sal', 'Para la guarnición', '100 g de atún', '100 g de salmón freco', '1 cebolla nueva', '1 cucharada de estragón y perejil', '1 limón']",https://www.recetasgratis.net/receta-de-gazpacho-con-atun-y-salmon-fresco-29147.html,,,,,,
CONSOMÉ VEGETAL LIGERO,,"['1\nPelar las zanahorias y cortarlas en trozos grandes, así como las patatas, la calabaza, el nabo y el hinojo.', '2\nLimpiar el puerro, eliminar las hojas terrosas y el extremo y partir en dos, lavar bien el apio y el perejil.', '3\nPoner una olla grande tapada con dos litros de agua fría a fuego vivo y las verduras troceadas, cuando rompa a hervir.', '4\nAñadir el aceite de oliva, salar y dejar cocer, a fuego un poco más suave aproximadamente una hora (hasta que se consuma la mitad del caldo).', '5\nDeshebrar las judías verdes y cortarlas en juliana fina longitudinalmente (en dos o tres tiras cada judía dependiendo de su tamaño).', '6\nPonerlas a cocer al vapor cinco minutos o en un poco de agua salada y dejar enfriar sobre un escurridor.', '7\nCocer los dos huevos y pasarlos por agua fría, para poder pelarlos bien enteros.', '8\nSeparar las yemas de las claras y picar éstas últimas, en pequeños bastones regulares a cuchillo. Aplastar las yemas en un mortero y reservar estos ingredientes.', '9\nColar el caldo por una rejilla fina, para que salga bien limpio y poner de nuevo al fuego en otra olla.', '10\nAñadir a las yemas un poco de caldo para desleirlas bien y agregar al conjunto. Remover con unas varillas.', '11\nTemplar la sopa, rectificar de sal y pimienta y servir en tazas o cuencos individuales, con unas tiras de judias bien repartidas y las claras picadas.']","Valoración: 3,9 (23 votos)","['2 l de agua', '150 g de zanahorias', '100 g de patatas', '100 g de calabaza', '75 g de nabo', '1 bulbo de hinojo', '1 puerro', 'Rama de apio blanco con hojas', '1 chorro de aceite de oliva', '4 granos de pimienta blanca', '1 rama de perejil', 'Sal', 'Para decorar', '100 g de judías verdes', '2 huevos']",https://www.recetasgratis.net/receta-de-consome-vegetal-ligero-29146.html,,,,,,
