title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Crema de brócoli y calabacín,"La crema de brócoli, calabacín y patata que compartimos a continuación es muy fácil de hacer y el resultado es espectacular. Además, todos los ingredientes son aptos para veganos y vegetarianos, de manera que esta crema de brócoli vegana es perfecta para toda la familia.Por otro lado, si no consigues que los más pequeños consuman verduras, alimentos cruciales para garantizar su desarrollo, sin duda mediante la preparación de sopas y cremas es una opción excelente. Sigue leyendo y descubre en RecetasGratis la receta de crema de brócoli y calabacín, con patata y puerro, además de otros ingredientes muy nutritivos.","['1\nLo primero que debemos hacer para preparar la crema de brócoli y calabacín es dejar listos los ingredientes. Las especias son al gusto, de manera que puedes añadir o quitar de la lista. Así mismo, la patata aporta consistencia a la crema, pero si lo prefieres puedes retirarla de la receta. Dicho esto, separamos los arbolitos del brócoli y reservamos el tallo central para preparar el caldo de verduras, por ejemplo.\nTruco: Si no tienes un brócoli grande, usa dos pequeños.', '2\nLuego, cortamos la cebolla en trozos medianos, hacemos lo mismo con el puerro, pelamos la patata y la troceamos también intentando que todos los trozos queden del mismo tamaño. Lavamos el calabacín y lo cortamos siguiendo el tamaño de los trozos de patata. Ahora, ponemos un chorro de aceite de oliva a calentar en una olla profunda y, una vez caliente, pochamos un poco la cebolla y el puerro.', '3\nNo es necesario dejar que se doren los ingredientes, con uno o dos minutos será suficiente. Pasado este tiempo, agregamos el calabacín, mezclamos y dejamos unos minutos más.', '4\nAñadimos el brócoli y la patata, vertemos el agua o caldo de verduras y dejamos cocinar a fuego alto hasta que empiece a hervir. Una vez alcanzado el primero hervor, espolvoreamos las especias al gusto, removemos, bajamos la temperatura para cocer los vegetales a fuego lento-medio, con la olla tapada.', '5\nCuando las verduras estén hechas, probamos para comprobar si hemos de rectificar sabor con sal o no. Una vez que esté al punto, trituramos con la batidora de mano eléctrica hasta que la crema de brócoli, calabacín y patata esté a nuestro gusto. Si quieres, puedes añadir más agua o caldo, según si la crema te gusta más o menos líquida.', '6\nLa receta de crema de brócoli y calabacín se puede servir fría o caliente, aunque recomendamos hacerlo bien caliente para combatir las bajas temperaturas. Así mismo, conforme la cocines varias veces irás modificando las cantidades de los ingredientes hasta encontrar el punto adecuado a tu gusto. Puedes servir la crema vegana con rodajas de calabacín a la plancha, trozos de brócoli o rebanadas de pan.']",Valoración: 4 (2 votos),4 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso']","['1 Brócoli grande', '1 Calabacín mediano', '1 Cebolla', '1 trozo de Puerro', '1 Patata (opcional)', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Tomillo', '1 pizca de Comino', '1 pizca de Nuez moscada', '½ litro de Agua o caldo de verduras']",https://www.recetasgratis.net/receta-de-crema-de-brocoli-y-calabacin-64734.html
Gazpacho manchego con costillas,"No dejes de probar este delicioso gazpacho manchego con costillas de cerdo y las tradicionales tortas cenceñas que nos ha compartido Amada_sin_n desde la app de RecetasGratis. Un plato típico de la región española de La Mancha que se hace con todo tipo de carnes, sobre todo de caza.","['1\nReunir todos los ingredientes del gazpacho manchego fácil.', '2\nSofreír la carne con sal y unos dientes de ajo en camisa (con piel).', '3\nY en la gazpachera se sofríe el pimiento verde a cuadritos y la cebolla picada gruesamente.', '4\nCuando esté bien rehogado todo se pone la carne en la gazpachera, se le añade un litro de agua, se agrega el tomate frito, se rectifica de sal, se añaden todas las especias y hierbas aromáticas al gusto, y se deja hervir el gazpacho manchego con costilla unos 15 minutos.', '5\nUna vez que se consigue hacer un delicioso caldo durante el tiempo de hervor añadir un paquete de tortas de gazpacho manchego o tortas cenceñas y dejarlo cocer durante 20 minutos más.', '6\nA continuación, transcurrido este tiempo se retira el gazpacho manchego con costilla del fuego para que repose 10 minutos. Así ganará en sabor y consistencia. ¡Salud cocineros!Y para digerir bien esta comida tan copiosa te propongo un refrescante sorbete de limón con albahaca.']",,4 comensales,1h 30m,Plato principal,Dificultad baja,,['Recetas españolas'],"['1 paquete de tortas de gazpacho (tortas cenceñas)', '0.5 kg de costilla de cerdo (u otro tipo de carne a elegir)', '1 pimiento verde', '1 cebolla', '3 dientes de ajo', '3 hojas de laurel', 'Tomillo en hoja', 'Orégano en hoja', 'Romero en hoja', '1 bote pequeño de tomatre frito o rallado', 'Azafrán o cúrcuma molidos', 'Pimentón de la Vera', '1 litro de agua']",https://www.recetasgratis.net/receta-de-gazpacho-manchego-con-costillas-64416.html
¡Con tofu y fideos de ñame!,"Los fideos de ñame son un tipo de fideos finos que se utilizan en los platos asiáticos. Son una buena alternativa a la pasta tradicional y además apenas requieren cocción, lo que hará la preparación de este guiso vegano sea aún más fácil.Añadiremos tofu, como fuente de proteína, y verduras al gusto para que el plato de sopa oriental vegana sea aún más colorido y saludable. Si quieres saber cómo hacerlo, sigue leyendo este paso a paso que comparto con RecetasGratis o visita mi blog Vegspiration donde encontrarás muchas otras recetas con tofu fáciles.","['1\nEl primer paso para hacer esta sopa oriental vegana con tofu y fideos de ñame es picar la cebolla, el ajo y el jengibre. Calienta una olla con un poco de aceite y prepara un buen sofrito con la cebolla, el ajo y el jengibre.', '2\nMientras se prepara el sofrito del estofado de tofu corta la verdura: la zanahoria, el apio y la berenjena china en rodajas, el pimiento y el hinojo en trozos medianos. También corta el tofu en dados y resérvalo.', '3\nCuando el sofrito del guiso vegano esté listo añade la zanahoria y el pimiento y cocina un minuto removiendo con la espátula. Añade la berenjena, el apio y el hinojo y cocinamos un poco hasta que la verdura empiece a ablandarse. Incorpora los brotes de soja y los dados de tofu y cocina otros 3-5 minutos', '4\nAñade el agua y la salsa de soja y dejamos que la sopa oriental vegana hierva. Retira la olla del fuego y añade los fideos y la pasta de miso. Remueve y deja reposar hasta que los fideos absorban todo el caldo.', '5\nSirve la sopa de miso vegana con fideos de ñame y tofu con un poco de semillas de sésamo y cilantro fresco picado.']",,2 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para perder peso', 'Recetas japonesas']","['200 gramos de Fideos de ñame', '2 Berenjenas chinas', '2 ramas de Apio', '1 trozo de Hinojo pequeño', '1 Cebolla', '1 Pimiento verde', '2 Zanahorias', '½ Bloque de tofu (125 gramos)', '2 dientes de Ajo', '1 trozo de Jengibre de 1 centímetro', '1 cucharadita de Pasta de miso', '1 puñado de Brotes de soja', '1 chorro de Salsa de soja', '2 vasos de Agua', '2 cucharadas soperas de Aceite', '1 pizca de Semillas de sésamo/ajonjolí']",https://www.recetasgratis.net/receta-de-sopa-oriental-vegana-64185.html
Crema de verduras con quesitos y nata,Si quieres probar una auténtica crema de verduras caseras ultra cremosa échale un vistazo a esta receta de crema de verduras con quesitos y nata que nos ha compartido nuestras usuaria Nievesrg desde la app de RecetasGratis esta vez. Te aseguramos que es súper fácil de elaborar y te costará de hacer menos de 45 minutos.,"['1\nCortar en trozos las verduras.', '2\nPoner a hervir todo. Unos 40 minutos.', '3\nQuitarle el exceso de agua, salpimentar y echar un poquito de aceite de oliva.', '4\nTriturar la crema de verduras con calabaza un poco, echarle los quesitos y un poco de nata. Seguir triturándola hasta que quede como crema (si vemos que no ha salido cremosa, añadir un poquito del caldo de verduras que escurrimos y quitamos antes).', '5\nServir la crema de verduras con quesitos y nata recién hecha.']",,2 comensales,45m,Entrante,Dificultad baja,,['Recomendada para vegetarianos'],"['1 trozo de calabaza', '3 zanahorias', '1 patata', '1 cebolla', '1 puerro', 'Sal', 'Pimienta', 'Aceite de oliva', '2 quesitos', '1 chorrito de nata para cocinar']",https://www.recetasgratis.net/receta-de-crema-de-verduras-con-quesitos-y-nata-64110.html
Puré de calabaza y patata original,"Hoy en día existen un montón de purés, aunque los de verduras son lo más demandados. Además, si se toman calentitos, son muy reconfortantes y ayudan a entrar en calor mientras tomamos vitaminas y el aporte necesario de frutas y verduras recomendadas al día.Junto a RecetasGratis vamos a elaborar dos purés, de patata, con un toque de jengibre, y de calabaza, con un toque de naranja. Por sí solos, están muy ricos, pero los vamos a presentar de una forma más original, pues la comida puede ser divertida, tanto para los que nos gusta cocinar como para los comensales. Seguid leyendo y descubrid con nosotros cómo hacer puré de calabaza y patata original, ¡con forma de damero!","['1\nPara preparar nuestro damero de purés de verduras, primero prepararemos el puré de patatas. Para ello, pelamos las patatas y las ponemos en un cazo con agua y un puñado pequeño de sal. Pelamos también el trocito de jengibre y lo cocemos todo hasta que las patatas estén blandas (unos 20 minutos).', '2\nCuando las patatas estén cocidas, las escurrimos para que suelten todo el agua y le añadimos la nata, la mantequilla, la sal y pimienta (sin el trozo de jengibre). Trituramos todo con la batidora y probamos de sal por si necesita más.\nTruco: en este momento, el puré ya está listo para consumir, si se desea simplemente así, sin darle la forma de damero.', '3\nVertemos en un molde cuadrado, de aproximadamente 17x17 cm y preferiblemente de silicona para que se desmolde mejor, el puré de patata y lo llevamos al congelador entre 4 y 6 horas.', '4\nPara continuar con la receta de purés de verduras en forma de tablero, prepararemos también el puré de calabaza. Para ello, troceamos la calabaza y la ponemos en un cazo, cubierto con un poco de agua y sal. Cocemos hasta que esté la calabaza blanda (sobre 15 minutos).', '5\nEscurrimos la calabaza, añadimos la nata o crema de leche y la ralladura y el zumo de la naranja. Trituramos todo con la batidora, probamos de sal y rectificamos si es necesario. En este momento, el puré ya está listo para consumir si se desea solo.Y si además, quieres conocer cómo elaborar un puré de calabaza y zanahoria, no te pierdas este artículo.', '6\nVertemos el puré de calabaza en un molde cuadrado de unos 17x17 cm aproximadamente y congelamos entre 4-6 horas.', '7\nSacamos los purés del congelador y los cortamos formando cuadrados con ambas elaboraciones, tal y como se muestra en la imagen. De esta manera, el puré de patata y calabaza podrá tomar forma de tablero.', '8\nEngrasamos un molde rectangular con aceite de oliva y formamos el damero alternando un cuadrado de cada puré. ¿Puede ser más original y divertido este puré de verduras?', '9\nAñadimos un poco de sal y pimienta por toda la superficie y espolvoreamos con queso rallado. Dejamos descongelar durante 30 minutos y horneamos el puré de patata y calabaza casero, con el horno precalentado a 200 ºC, durante 20 minutos, con calor arriba y abajo. Servimos enseguida.', '10\nComo veis, hacer divertida la comida no es tan difícil, ya veréis como vais a disfrutar de forma distinta estos purés de verduras. Además, esta receta de puré de calabaza y patata original se convertirá rápidamente en el plato favorito de los niños. Si queréis ver más recetas mías, os invito a mi blog Cakes para ti.Podéis acompañar el puré con un segundo plato, como pollo al horno, y de postre, ¿Qué os parece un pastel de chocolate esponjoso? ¡Es muy fácil!']",Valoración: 5 (2 votos),4 comensales,8h,Entrante,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas al horno']","['800 gramos de patatas', '150 mililitros de nata líquida o crema de leche', '1 cucharada sopera de mantequilla', '1 trozo de raíz de jengibre pequeño', '1 puñado de sal', '1 pizca de pimienta molida', '800 gramos de calabaza ya pelada y sin pepitas', '50 mililitros de nata líquida o crema de leche', '1 naranja', 'queso para gratinar']",https://www.recetasgratis.net/receta-de-pure-de-calabaza-y-patata-original-64046.html
Sopa de lentejas con verduras y setas,"Las setas, como los champiñones u otros tipos de hongos, me gustan mucho ya que se asimilan al sabor de la carne y son bajas en calorías. Por ello, esta receta de sopa de lentejas con verduras y setas es apta para dietas de adelgazamiento. Prepararla es muy sencillo, así que sigue los pasos que comparto en RecetasGratis y ponte manos a la obra.","['1\nPicamos la cebolla, el jitomate y el ajo.', '2\nSalteamos la cebolla y el ajo en un chorrito de aceite caliente.', '3\nCuando se torne transparente la cebolla, añadimos el jitomate y removemos.', '4\nSegundos después, agregamos las lentejas y cubrimos todo con agua.', '5\nMientras se incorporan los ingredientes, cortamos las setas, dejando de lado los trozos más duros.', '6\nAñadimos las setas y salpimentamos la sopa de lentejas con verduras al gusto.', '7\nCuando la preparación esté lista, ¡servimos! Esta receta de sopa de lentejas con verduras y setas es fácil, rápida, deliciosa y muy nutritiva. De segundo, puedes servir unas hamburguesas de coliflor o unas tortitas de brócoli y seguir en la línea de las recetas saludables.']",,4 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Recetas mexicanas']","['1/4 de kilo de lentejas cocidas', '1/2 cebolla picada', '1 diente de ajo picado', '4 jitomates picados', 'Setas en juliana']",https://www.recetasgratis.net/receta-de-sopa-de-lentejas-con-verduras-y-setas-63869.html
Crema de calabaza al curry,"La crema de calabaza que presentamos a continuación en forma de chupitos es ideal para las épocas de frío. Y es que la calabaza puede ser la protagonista de una gran variedad de recetas, puesto que tiene numerosos efectos beneficiosos sobre el organismo, como su elevado contenido de antioxidantes, hierro y betacarotenos. Las variedades de calabaza propias del otoño y del invierno presentan mejores cualidades para ser cocinadas que las del verano, por ello siempre es recomendable optar por productos de temporada a la hora de cocinar. Así mismo, una excelente opción para combatir el frío es consumirla en forma de crema caliente, aunque puede también consumirse cocinada al vapor, al horno o guisada, sola o combinada con otras verduras. En la repostería y los postres tiene una gran variedad de aplicaciones, dando lugar a tartas, galletas, flanes y mermeladas.Para potenciar el sabor del plato y aportar un toque de aroma, añadiremos curry a la preparación. Sigue leyendo y descubre en RecetasGratis cómo hacer crema de calabaza al curry, una receta fácil, rápida y deliciosa.","['1\nPara preparar la crema de calabaza al curry, dejamos listos los ingredientes. Así pues, pelamos y picamos la cebolla y el puerro. Cortamos la calabaza en dados. Pelamos y troceamos la manzana y la zanahoria. Hecho todo esto, ponemos una cazuela al fuego con el aceite de oliva, sofreímos el puerro y la cebolla durante un par de minutos, añadimos la manzana, la zanahoria y la calabaza, y rehogamos unos minutos más. Añadimos el curry y mezclamos durante unos segundos.', '2\nIncorporamos el caldo de pollo y continuamos la cocción de las verduras durante 30 minutos. Si prefieres hacer una crema de calabaza al curry apta para vegetarianos, sustituye este ingrediente por caldo de verduras.', '3\nCuando las verduras estén listas, trituramos en la batidora, volvemos a calentar, salpimentamos y añadimos la nata.', '4\nServimos la crema de calabaza al curry en vasos de chupito y decoramos con cebollino. Esta es una opción perfecta para fiestas o para cuando tenemos invitados especiales, aunque la receta también es ideal para servir en un plato hondo y consumir a modo de cena o almuerzo. Y si quieres descubrir otras recetas fáciles y rápidas como esta, pásate por mi blog La cocina de Catina.']",Valoración: 4 (1 voto),4 comensales,1h 30m,,Dificultad baja,,[],"['1 Cebolla', '1 Puerro', '400 gramos de Pulpa de calabaza', '1 Manzana', '1 Zanahoria', '2 cucharaditas de Curry suave', '¾ litro de Caldo de pollo', '4 cucharadas soperas de Aceite de oliva', '100 mililitros de Nata', '1 cucharadita de Sal', '½ cucharadita de Pimienta negra molida', 'Cebollino para la presentación']",https://www.recetasgratis.net/receta-de-crema-de-calabaza-al-curry-63784.html
Sopa de salchicha y pollo,En menos de 1 hora podrás conseguir esta deliciosa sopa de salchicha y pollo con huevo batido que Gabrielita23 ha traído a RecetasGratis para que todo el mundo pueda disfrutarla. Su combinación de sabores es inigualalbe y encima es muy fácil de elaborar. ¡No te la pierdas!,"['1\nSofreír en un poco de aceite la cebolla y la salchicha cortadas en rodajas.', '2\nAgrega las patatas, la zanahoria, el maíz escurrido y el trozo de pollo. Remueve.', '3\nAgregar agua, cilantro picado y una cucharada de sal (o a tu gusto).', '4\nCocinar el caldo de pollo y salchicha por unos 20 minutos. Luego sacas el trozo de pollo, lo cortas en pedazos para sacar el hueso, y lo agregas de nuevo a la sopa. Pruebas la sal y rectificas si es nevcesario.', '5\nAgregas los huevos batidos ligeramente con un poco de sal. Remueves la sopa de salchicha y pollo y apagas el fuego.', '6\nA mi me encanta este último paso. Cortas cubitos de queso de tu preferencia (el mío edam) y un poquito más de cilantro picadito. Para luego servir la sopa de pollo y huevo hilado y que el queso se derrita y el cilantro fresco suelte su aroma... ¡Una sopa de salchicha y pollo que ninguno en mi casa ni los niños se resisten!']",Valoración: 3 (1 voto),5 comensales,45m,Plato principal,Dificultad baja,,[],"['700 g patatas', '2 zanahorias', '2 cebollas pequeñas', '2 salchichas grandes de tu preferencia', '1 trozo de pollo', '1 lata de maíz dulce', '3 huevos', 'Agua', 'Sal', 'Cilantro', '1 trozo de queso edam']",https://www.recetasgratis.net/receta-de-sopa-de-salchicha-y-pollo-63724.html
Sopa de rodaballo,Esta sopa de rodaballo hecha con caldo de pescado que ha compartido nuestro amigo Angel-r-b-2017 con RecetasGratis te sorprenderá por su delicioso sabor y textura. Si quieres saber cómo prepararla sigue el paso a paso que te detallamos a continuación.,"['1\nSofreír la cebolla con el ajo picados y una vez tengas el color deseado añadir el vino blanco.', '2\nAhora añadimos el caldo de pescado, flambeamos el coñac a parte y lo añadimos al caldo. Añadimos el pan frito, las avellanas.', '3\nLuego cogemos una sartén aparte, añadimos el aceite de girasol, añadimos la guindilla y con mucho cuidado calentamos el aceite y añadimos el pimentón rojo en polvo, y directo al caldo de pescado. Ojo porque el aceite hirviendo y el caldo van a salpicarte toda la cocina así que toma tus precauciones. Tiene que quedarte una salsa cremosa pasada por el túrmix así como la de la fotografía.', '4\nToma un poco caldo de pescado y desmenuza el pescado que tengas, en este caso rodaballo, y hazlo hervir.', '5\nAhora toca juntar el caldo y añadir la crema anterior. Espesar la sopa de rodaballo con pan rallado al gusto. Cuidadito cuando calientes esta sopa de pescado porque se te puede quemar por debajo si no vigilas.']",,4 comensales,30m,Entrante,Dificultad media,,['Recomendada para perder peso'],"['4 cebollas', '2 ajos', 'Pimentón rojo en polvo', '4 rebanadas de pan frito', '1 chorro de coñac', '1 guindilla pequeña', '1 chorro de vino blanco', 'Caldo de pescado o fumet', '1 puñado de avellanas', '200 ml de aceite girasol']",https://www.recetasgratis.net/receta-de-sopa-de-rodaballo-63684.html
Deliciosa y elegante,"Aprende cómo hacer sopa de langosta de forma sencilla y siguiendo instrucciones paso a paso con esta estupenda receta. Las recetas más clásicas con este tipo de marisco puede ser la langosta al ajillo, pero si sabemos aprovechar su carne y su caparazón podemos conseguir un estupendo caldo, perfecto para servir como entrante en una velada elegante.","['1\nExtraer la carne de la langosta, solo de la parte de la cola, y reserva el resto del cuerpo para el caldo. Recuerda separar el hígado y las huevas en caso que de las tenga.Troceamos la carne y reservamos todo.', '2\nPara hacer el caldo de langosta, se derretir la mitad de la mantequilla a fuego lento y añadir los trozos del caparazón de la langosta. Freírlos hasta que algunos trocitos dorados empiecen a engancharse al fondo de la cazuela.', '3\nEn ese punto, se añade la zanahoria, el puerro, la cebolla, el apio y el chalote, todo picado en trozos pequeños. Freímos el conjunto durante un par de minutos para luego añadir el alcohol y dejar que se evapore durante 1 minuto.', '4\nA continuación se añade el agua, la pasta de tomate y un pellizco de sal. Mantenemos la cocción hasta llevar todo a ebullición para entonces reducir la temperatura y dejarlo 30 minutos más hasta que se cueza.Pasado este tiempo, colamos el caldo de langosta.', '5\nAhora, derretimos el resto de la mantequilla y salteamos el hígado de la langosta junto con las huevas en caso de que las hubiese. Incorporamos la nata y batimos hasta que se mezclen los ingredientes.Retiramos del fuego y reservamos.', '6\nPonemos harina en un cuenco y añadimos un par de cucharadas de agua fría. Lo batimos y añadimos un poco de caldo hasta obtener una crema liquida.', '7\nLlevar el resto de caldo de langosta a ebullición y añadir la mezcla de harina. Dejar que hierva a fuego lento durante 5 minutos a la vez que lo removemos.Colar la mezcla de huevas, hígado y nata sobre la cazuela. Reducir el fuego e incorporar la carne de la langosta que teníamos reservada. Dejamos cocer a fuego lento hasta que se caliente.', '8\nAhora ya podemos servirnos un buen plato de sopa de langosta y decorar con el cebollino fresco picado finamente.Este potente caldo lo podemos servir como entrante para una velada especial y si quieres completar el menú, te invitamos continuar con unas brochetas de ternera con fresa y mango y una mousse de chocolate como postre.']",,4 comensales,30m,Entrante,Dificultad baja,,[],"['1 Zanahoria', '1 Puerro', '1 Cebolla', '40 gramos de Mantequilla', '1 Tallo apio', '50 mililitros de Vino blanco', '2 Chalotes', '1 Langosta', '1 cucharada sopera de Pasta de tomate', '1,3 litros de Agua', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-sopa-de-langosta-63370.html
