title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Patatas aconejadas,,"['1\nSe pelan las patatas y se cortan en laminas finas.', '2\nSe frien en la sarten con aceite. Mientras se estan friendo,se hace un machado con ajos, sal,perejil y vinagre, no muy liquido.', '3\nCuando estan fritas, se retira el aceite de la sarten y se añade el machado removiendo a fuego lento.', '4\nSirven como acompañamiento de cualquier plato.']",Valoración: 4 (4 votos),"['4 patatas', 'Perejil', 'Ajos', 'Vinagre', 'Sal']",https://www.recetasgratis.net/receta-de-patatas-aconejadas-7104.html,,,,,,
Zanahorias con panceta y man,,"['1\nCocine las zanahorias en una cacerola con agua salada hirviendo.', '2\nAparte en una sartén cocine tapada a fuego bajo la panceta hasta que suelte toda la grasa y esté bien dorada.', '3\nEscúrrala sobre papel.', '4\nEn la grasa que quedó en la sartén, rehogue las zanahorias por 3 minutos a fuego moderado.', '5\nEspolvoree el maní y la panceta, y revuelva bien.', '6\nSirva caliente, ideal para acompañar pollo o cerdo.']","Valoración: 2,5 (80 votos)","['500g de zanahorias, peladas, cortadas en cubitos', '100g de panceta magra en láminas picada', '3 cdas maní tostado']",https://www.recetasgratis.net/receta-de-zanahorias-con-panceta-y-man-7087.html,,,,,,
Cebollas al gusto,,"['1\nPreparar la salsa Bechamel con la cuarta parte de los ingredientes. Pelar y lavar las cebollas y las patatas. Cortar éstas en trozos y las cebollas en rodajas.', '2\nHervir agua con sal en una cacerola. Hervir las patatas hasta que estén tiernas. Retirar, escurrir y hacer un puré.', '3\nCalentar 1 cucharada de mantequilla en una sartén. Freír las cebollas hasta que estén transparentes. Retirar. Encender el grill.', '4\nEn un bol, mezclar el puré de patatas, las cebollas y la salsa Bechamel. Colocar la mezcla en una fuente refractaria. Espolvorear con pimienta. y queso rallado.', '5\nCortar en pequeños trozos el resto de la mantequilla, y salpimentar la superficie del pastel. Gratinar durante lo minutos.']",Valoración: 3 (2 votos),"['Cebollas', '1 kg. Patatas', '1 kg. Mantequilla', '2 cucharadas', 'Queso gruyére rallado', '50 g. Salsa Bechamel', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-cebollas-al-gusto-7012.html,,,,,,
Alcachofas al roquefort,,"['1\nSacar las hojas duras a las alcachofas. Cortar la parte superior, conservando el cogollo. Rociar con el zumo de limón.', '2\nCalentar agua en una cacerola. Sazonar con sal. Añadir las alcachofas, y cocer durante 20 minutos. Escurrir y dejar enfriar.', '3\nQuitar la pelusilla con un cuchillo afilado.', '4\nEn un bol, deshacer el queso roquefort con un tenedor. Agregar el requesón y el yoghourt. Mezclar hasta obtener una crema espesa.', '5\nCondimentar con unas gotas de tabasco y salpimentar.', '6\nRellenar con esta mezcla el interior de las alcachofas.', '7\nLavar la lechuga y los tomates. Cortar éstos en rodajas.', '8\nDisponer en una fuente las hojas de lechuga y las rodajas de tomate. Colocar encima las alcachofas rellenas.']","Valoración: 3,8 (4 votos)","['8 alcachofas', '100 g de queso roquefort', '3 cucharadas de requesón', '1 yoghourt', '1 lechuga', '3 tomates', 'Tabasco', 'Zumo de un limón']",https://www.recetasgratis.net/receta-de-alcachofas-al-roquefort-7005.html,,,,,,
Pimentón rojo con queso crema,,"['1\nSe pica el pimentón en cuadritos pequeños y se pone a cocinar con el vinagre y el azúcar hasta que tenga punto de melado, se sirve sobre el queso crema.']","Valoración: 4,8 (61 votos)","['1 queso crema grande', '1 taza de azúcar', '3 pimentones rojos de buen tamaño', '1 taza de vinagre']",https://www.recetasgratis.net/receta-de-pimenton-rojo-con-queso-crema-6955.html,,,,,,
Acelgas salteadas con patatas,"¡Te gustan las acelgas y no sabes cómo prepararlas? Pues en RecetasGratis.net te enseñamos y para ello te traemos esta receta fácil de acelgas salteadas con patatas, un plato caliente y delicioso con el que seguro sales de la rutina del menú diario.","['1\nLava muy bien las acelgas. Desecha el tallo que atraviesa la hoja y corta troce el resto de la acelga.', '2\nPara cocinar las acelgas, llévalas a una olla con agua hirviendo, un chorrito de aceite y sal por unos 10 minutos. Luego, escurre y reserva.', '3\nMientras, lava y pela las patatas y las zanahorias. Trocéalas al gusto y cocina en agua hirviendo unos 10 minutos para que ablanden. Luego, escurre y reserva.', '4\nCon todos los ingredientes ya listos, solo queda picar finamente el ajo y hacer un sofrito con esto, las acelgas, la zanohoria y las patatas. Sazona al gusto con sal y pimienta o cualquier otra especia de tu preferencia.', '5\nLas acelgas salteadas con patatas son un plato excelente que nos ayudará a incluir la acelga en nuestra dieta diaria. Sírvelo para la cena o como guarnición de otros platos como un pollo a la plancha.']","Valoración: 4,2 (5 votos)","['400 gramos de Acelgas', '500 gramos de Patatas', '2 dientes de Ajo', '1 pizca de Sal y Pimienta', '500 gramos de Zanahoria']",https://www.recetasgratis.net/receta-de-acelgas-salteadas-con-patatas-6941.html,4 comensales,15m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']"
Pastel de papa con pollo,"Si te gusta el pastel de patata básico, la versión con pollo que te presentamos en RecetasGratis.net te encantará. Además, añadiremos al puré de patatas una serie de verduras que detallamos a continuación. ¡Sigue leyendo y aprende cómo hacer pastel de papa con pollo!","['1\nSe hace un puré con las papas cocinadas y se mezcla con la mantequilla, la sal y los huevos. Se reserva y, aparte, se corta la pechuga de pollo en tiras.', '2\nSe coge una sartén grande y se añade el aceite, el ajo, la cebolla y el pimiento. Cuando estén casi sofritos, se añade la salsa china, la pasta de tomate, el laurel, sal y comino al gusto. Se mezcla bien y se incorpora el concentrado de pollo, la zanahoria pelada y rallada y las arvejas.', '3\nPara seguir con la preparación del pastel de patata, se añade el pollo desmenuzado, cilantro perejil, y se mezcla todo bien. Si fuese necesario, se añade un poco de caldo de gallina y se mezcla. La preparación no debe quedar muy seca pero tampoco jugosa.', '4\nSe coge un pirex grande y se coloca una capa de puré de papas, otra de salsa de pollo y otra de puré de papa. Luego, se añade queso rallado, las tiras de pimiento rojo para decorar y orégano picado. Se hornea el pastel de papa y pollo a 180ºC durante 20 minutos, o hasta que el queso gratine.', '5\nEl pastel de patata y pollo se sirve frío o caliente, como más nos guste, y acompañado de una ensalada fría con vinagreta.']","Valoración: 4,4 (38 votos)","['3 kilogramos de Papas cocinadas', '1 cucharada sopera de Mantequilla', '1 cucharadita de Sal', '2 unidades de Huevos', '1 pieza de Pechuga de pollo grande cocinada', '1 taza de Arvejas cocinadas', '1 taza de Zanahoria rallada', '1 unidad de Cebolla grande cortada en pluma', '1 unidad de Pimiento verde grande cortado en tiras', '5 dientes de Ajo machacados', '2 cucharadas soperas de Salsa china', '2 cucharadas soperas de Pasta de tomate', '2 cucharadas soperas de Aceite', '1 hoja de Laurel', '1 pizca de Sal', '1 pizca de Comino al gusto', '1 cubo de Concentrado de pollo', '1 manojo de Cilantro', '1 pizca de Perejil picado', '½ taza de Caldo de gallina', '1 cuña de Queso mozarella rallado', '1 pizca de Orégano seco al gusto', '1 pizca de Pimiento rojo en tiras para decorar']",https://www.recetasgratis.net/receta-de-pastel-de-papa-con-pollo-6918.html,6 comensales,30m,Plato principal,Dificultad media,,['Recetas al horno']
Muselina de berenjenas,,"['1\nLavar las berenjenas y cortarles el cabito. Cortarlas en rodajas, colocarlas en un colador cubiertas de sal gruesa. Dejar reposar 1 hora', '2\nVolver a lavarlas y cocinarlas en agua y vinagre hasta que estén tiernas.', '3\nPicarlas y procesarlas con el pan remojado.', '4\nAñadir las yemas y l queso rallado. Mezclar con cuchara de madera y condimentar con sal fina, orégano y ají molido.', '5\nBatir las claras a punto nieve y agregarlas a la preparación en forma envolvente.', '6\nColocar la preparación en un molde enmantecado y espolvoreado con pan rallado y cubrir con papel de aluminio para que no se reseque.', '7\nCocinar a baño de María 40. Retirar, dejar pasar el calor fuerte y desmoldar.', '8\nSe puede servir salseado con salsa de tomates.']","Valoración: 3,9 (7 votos)","['1 kg berenjenas', '1 tza de pan remojado en leche y exprimido', '1 tza queso rallado', '2 cdas pan rallado', '5 yemas', '5 claras', '1 cda manteca', '1/2 tza vinagre de manzana', '1 cdita ají molido', '1 cdita orégano', 'Sal gruesa', 'Sal fina']",https://www.recetasgratis.net/receta-de-muselina-de-berenjenas-6908.html,,,,,,
Pan de elote original,,"['1\nSe licúan la mantequilla, los huevos, el maiz y la leche, se le agrega a los ingredientes secos, se mezclan bien hasta que no queden grumos.', '2\nSe vierte en un molde engrasado y enharinado, se hornea a 350° durante 50min. o hasta que al insertar un cuchillo este salga limpio.']","Valoración: 3,6 (23 votos)","['2 Tazas de elote tierno, cocido', 'o 1 lata de maíz en granos', '1 Barra de mantequilla', '3 Huevos', '1 Leche Lechera', '1 Taza de harina de arroz (crema de arroz en polvo)', '2 cditas. de royal']",https://www.recetasgratis.net/receta-de-pan-de-elote-original-6879.html,,,,,,
Torta de mazorca,,"['1\nSe muele o licua la mazorca que quede bien finita, se le agregan los huevos, la leche, la cuajada molida y la mantequilla derretida.', '2\nPor último se agrega el polvo de hornear.', '3\nSe pone en un molde enharinado o en moldecitos pequeños, se les introduce pedacitos de bocadillo y se riegan las uvas por encima.', '4\nSe lleva al horno precalentado a 350°C hasta que este doradita y haciendo la prueba del cuchillo.']","Valoración: 4,5 (39 votos)","['3 tazas de Leche (720 mililitros)', '1½ kilogramos de Mazorca bien tierno', '¼ barra de Mantequilla', '¼ kilogramo de Azúcar', '5 unidades de Huevos', '¼ kilogramo de Cuajada (queso muy fresco pero sin suero)', '½ cucharadita de Polvo de hornear', '1 paquete de Uvas pasas', '1 unidad de Bocadillo de guayaba (dulce de guayaba duro que se puede cortar)']",https://www.recetasgratis.net/receta-de-torta-de-mazorca-6829.html,,,,,,
